,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Market Capitalization,52698783,54161133,56869190,54973550,55785967,58494024,53782005,51073949,56923351,59306441,60064697,70409473,76096392,69488734,69272090,63646389,67941866,65479824,54793517,56574568,50917111,Upgrade
1,Market Cap Growth,-7.41%,-7.41%,5.74%,7.64%,-2.00%,-1.37%,-10.46%,-27.46%,-25.20%,-14.65%,-13.29%,10.63%,12.00%,6.12%,26.42%,12.50%,33.44%,-14.50%,-24.04%,-18.39%,-19.30%,Upgrade
2,Enterprise Value,87950079,87131200,87149201,81985126,81245477,79151400,70040781,67406356,71880955,76698881,75207057,85513122,87226935,80619277,78392279,71376516,75762211,73193085,61219620,64210690,56231353,Upgrade
3,Last Close Price,97300.00,100000.00,105000.00,101500.00,103000.00,108000.00,99300.00,94300.00,105100.00,109500.00,110900.00,130000.00,140500.00,128300.00,127900.00,121500.00,129700.00,125000.00,104600.00,108000.00,97200.00,Upgrade
4,PE Ratio,36.97,37.99,40.16,58.12,90.83,233.79,-24.33,-,-27.71,-,969.41,747.34,-,-,58.17,434.36,56.46,954.64,-,30.24,-,Upgrade
5,Forward PE,26.95,36.61,36.61,36.61,36.97,49.79,46.71,69.92,45.17,39.25,60.09,36.12,78.91,69.02,81.50,-,62.76,43.77,20.41,13.72,10.80,Upgrade
6,PS Ratio,0.73,0.75,0.85,0.87,0.88,1.00,0.95,0.95,1.17,1.48,1.99,3.31,5.76,5.40,4.73,4.30,4.19,3.59,2.09,1.53,1.14,Upgrade
7,PB Ratio,3.13,3.20,3.40,3.27,3.48,3.83,3.54,3.43,3.76,3.98,3.43,4.09,4.45,4.12,4.09,3.75,4.64,4.37,3.92,3.77,3.70,Upgrade
8,P/TBV Ratio,3.21,3.21,3.42,3.29,3.49,3.85,3.55,3.45,3.78,3.99,3.43,4.10,4.45,4.13,4.10,3.75,4.64,4.37,3.92,3.77,3.70,Upgrade
