,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,881176,881176,3107214,3364513,4861988,2690088,2952081,685038,2458387,2927652,1948987,996910,2701561,1914692,1153684,590664,973527,175315,185532,368331,Upgrade
1,Trading Asset Securities,24519200,24519200,13723611,11931217,10672196,19129934,20851826,20169207,11616016,18119612,21229302,15713371,12616027,9567096,1912422,1670512,1053698,1217416,978661,993352,Upgrade
2,Accounts Receivable,-122288,-122288,10790408,9855059,9792430,10435680,8757485,8160609,8521922,12541312,11103684,15926145,14277416,10915945,8533616,6008822,4232128,2423910,2207203,1958538,Upgrade
3,Other Receivables,12064675,12064675,2635485,1519807,1084463,1843284,2709921,2545834,2490779,939231,1578840,607388,551772,464542,324158,326926,285391,198696,148544,215544,Upgrade
4,"Property, Plant & Equipment",44141,44141,47858,47855,55074,61909,69455,53203,59509,49226,32193,29359,32298,37564,35709,39396,41543,37886,37811,40781,Upgrade
5,Goodwill,-,-,-,-,-,7881,8491,9094,-,10301,10911,11514,12111,12720,13330,13933,14530,15140,15750,16353,Upgrade
6,Other Intangible Assets,43129,43129,57273,48791,53507,36161,24559,27546,27147,16793,19273,19243,26846,12295,13560,9234,9994,11851,13226,14025,Upgrade
7,Investments in Debt & Equity Securities,5590902,5590902,32552,33954,32964,34594,34594,34594,189539,28820,28620,13520,19261,-96105,2683884,2687622,949729,1792568,1036628,866408,Upgrade
8,Other Current Assets,201885,201885,13588182,13465069,14003308,5647609,5381604,4772370,13332359,7413543,8479232,9294887,6485329,5503030,6757030,6075917,5737484,5788685,6933927,6460830,Upgrade
