,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Interest and Dividend Income,390843,309462,496874,560498,491293,632585,579882,498445,795814,607681,740699,622716,666296,499735,351489,282059,233217,200801,167625,202335,Upgrade
1,Total Interest Expense,181860,177572,154399,157890,276306,365558,412357,390184,367262,217560,209546,164435,139158,93434,97122,83997,84700,84258,90613,109256,Upgrade
2,Net Interest Income,208983,131890,342475,402608,214988,267027,167525,108261,428552,390121,531153,458281,527139,406301,254367,198061,148517,116543,77012,93079,Upgrade
3,Brokerage Commission,142037,154778,182251,228057,216595,301361,203326,145762,207258,252313,329536,461297,543687,433212,371153,266935,177854,110705,110762,78872,Upgrade
4,Asset Management Fee,41624,23822,35732,5599,44748,5919,36720,5097,53301,4778,4392,5134,5383,3384,3169,2979,3797,3024,3463,3561,Upgrade
5,Underwriting & Investment Banking Fee,-,-15301,5815,24788,107575,-,250.91,7625,193690,-,83279,71840,41175,150558,58694,4624,6469,21189,7117,-,Upgrade
6,Gain on Sale of Investments (Rev),503502,520336,699462,554054,1037801,799753,763945,631993,992019,499297,579282,595313,798581,465489,384785,558851,154362,208885,242631,167154,Upgrade
7,Other Revenue,133800,247594,38096,11802,9680,19478,3212,1564,-141421,2537,20062,14896,21160,73899,31692,20243,9039,17786,-3390,7270,Upgrade
8,Revenue Before Loan Losses,1029946,1063120,1303832,1226907,1631387,1393537,1174978,900302,1733399,1149046,1547704,1606762,1937125,1532842,1103860,1051694,500038,478132,437595,349936,Upgrade
9,Provision for Loan Losses,5765,-39450,98605,-16794,-111985,17652,1934,3489,107621,-2899,-29606,14520,36484,14488,15352,7674,13944,2825,6030,-4303,Upgrade
10,Revenue,1024181,1102570,1205227,1243701,1743371,1375885,1173044,896813,1625778,1151945,1577310,1592242,1900641,1518354,1088508,1044020,486093,475308,431565,354239,Upgrade
11,Revenue Growth (YoY),-41.25%,-19.86%,2.74%,38.68%,7.23%,19.44%,-25.63%,-43.68%,-14.46%,-24.13%,44.91%,52.51%,291.00%,219.45%,152.22%,194.72%,116.44%,56.06%,54.32%,55.94%,Upgrade
12,Cost of Services Provided,414414,357387,245745,350208,420731,297610,252578,235114,289265,337083,420617,414652,501840,394151,357113,205549,225749,132085,118793,116862,Upgrade
13,Other Operating Expenses,7135,17075,20189,14083,13052,10031,6757,18430,65934,-3693,3166,21896,1274,17670,61468,13660,13393,326.81,52.27,-,Upgrade
14,Total Operating Expenses,421549,374462,265934,364291,433783,307641,259334,253545,355199,333390,423783,436548,503115,411821,418581,219209,239141,132411,118845,116862,Upgrade
15,Operating Income,602631,728108,939293,879410,1309588,1068244,913709,643269,1270579,818555,1153527,1155694,1397527,1106533,669927,824811,246952,342896,312719,237377,Upgrade
16,Currency Exchange Gains,-,-,-,-,-95.11,-139.07,5473,1430,-13482,-118907,-2571,26565,-28738,-1089,-1532,-759.46,-1844,-291.07,-855.38,-,Upgrade
17,Other Non-Operating Income (Expenses),5491,4788,6081,4850,7801,4489,3254,3423,10492,3918,3659,3800,1375,2137,6100,2181,-976.39,315.41,1123,710.24,Upgrade
18,EBT Excluding Unusual Items,608123,732896,945374,884261,1317294,1072594,922436,648121,1267588,703566,1154615,1186059,1370164,1107582,674494,826233,244131,342921,312987,238087,Upgrade
19,Gain (Loss) on Sale of Investments,-332810,-285204,-519308,-117386,-339784,-280533,-396802,-471500,-1107739,-651865,-593093,-231332,-326905,-362566,-163396,-145386,69807,-38149,-142072,-165648,Upgrade
20,Pretax Income,275312,447692,426066,766874,982510,792061,525634,176621,159850,51701,561521,954728,1043259,745016,511098,680847,313939,304772,170915,72439,Upgrade
21,Income Tax Expense,23993,69458,81179,149804,164085,152865,104943,36145,52546,9362,105967,193982,205730,149378,104461,137727,68379,55190,32682,13046,Upgrade
22,Net Income,251319,378234,344887,617070,818425,639196,420691,140477,107304,42339,455555,760746,837528,595638,406637,543120,245559,249582,138233,59393,Upgrade
23,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16732,-,-,-,Upgrade
