,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,2225944,2616235,1198563,1788255,2912027,6875568,1582507,2011203,2299944,2867858,4507497,1680858,2348552,2051857,1663036,1197957,2111243,2335881,2176667,1379712,Upgrade
1,Short-Term Investments,23337537,26044215,23074962,20268600,20137705,19012032,19085687,16801690,17414491,19590344,19031670,19888511,21134251,19856464,20104257,19659253,17318128,17876414,16371222,14379594,Upgrade
2,Trading Asset Securities,327.64,357.72,368.31,378.74,370.4,484.06,470.01,467.63,469.61,475.15,463.38,454.77,453.58,186.43,188.56,187.49,187.66,288.59,288.84,293.72,Upgrade
3,Cash & Short-Term Investments,25563808,28660808,24273893,22057233,23050103,25888084,20668663,18813360,19714904,22458677,23539631,21569824,23483256,21908508,21767481,20857398,19429559,20212584,18548178,15759599,Upgrade
4,Cash Growth,10.91%,10.71%,17.44%,17.24%,16.92%,15.27%,-12.20%,-12.78%,-16.05%,2.51%,8.14%,3.42%,20.86%,8.39%,17.36%,32.35%,28.60%,79.09%,70.11%,45.94%,Upgrade
5,Accounts Receivable,4770800,4510729,5116559,4649622,4793282,4417230,4490513,4946647,4620497,4538192,4586009,4580449,4355509,4445330,4587805,3930614,4157129,4592728,4383511,3725352,Upgrade
6,Other Receivables,842597,680210,855658,832284,1126504,880629,846442,831437,911203,730985,785678,693375,664387,665079,637284,607279,492479,842407,693971,527559,Upgrade
7,Receivables,5613397,5190939,5972217,5481905,5919787,5297859,5336955,5778084,5531700,5269177,5371687,5273824,5019896,5110409,5225089,4537893,4649758,5458005,5080431,4268725,Upgrade
8,Inventory,5686840,6103017,6524271,6780800,6128082,5697773,6319892,6704642,5537563,5793386,7096209,7680511,6773072,6380810,6858209,6465943,4905069,5257971,5696222,5733793,Upgrade
9,Prepaid Expenses,65777,101985,105421,116935,52293,49411,56368,68556,83442,109085,56905,37919,40426,74708,46522,167881,38726,23801,70195,68332,Upgrade
10,Other Current Assets,623828,525623,456960,577044,785616,747036,1021601,1030211,692773,742967,806854,890318,793261,972108,1145234,805432,642614,588959,678350,631190,Upgrade
11,Total Current Assets,37553650,40582371,37332761,35013918,35935880,37680162,33403480,32394854,31560382,34373292,36871286,35452396,36109911,34446542,35042535,32834547,29665726,31541320,30073376,26461639,Upgrade
12,"Property, Plant & Equipment",13059977,12750249,12875248,12696698,12625444,12579412,12694819,12673137,12665496,12618021,12677279,12570767,12750118,13074507,13370004,13504486,13779940,14104786,14336070,14487777,Upgrade
13,Long-Term Investments,1373190,1279282,831442,691579,831228,1424817,1529822,755781,742670,753082,750169,1339528,743862,764479,749940,766807,973441,767256,1074178,922936,Upgrade
14,Goodwill,1076022,1138317,1199158,1260543,1321928,1383313,1444698,1506083,1567468,1628853,1690238,1751623,1813008,1874393,1935778,1997163,2058548,2107872,2231150,2298695,Upgrade
15,Other Intangible Assets,1030364,1029683,1053860,1063915,1001132,1013283,1018880,1028895,1042841,1061598,1066131,1074915,1086504,1098770,1121817,1131386,1136501,1108792,1122652,1139561,Upgrade
16,Long-Term Accounts Receivable,398.15,558.68,586.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
