,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,98236,171636,160355,207901,121323,122613,172262,166567,196769,165029,173037,100475,169223,300861,347243,330137,241167,152925,208222,230203,Upgrade
1,Short-Term Investments,173747,122930,233857,253512,283313,283680,418588,426056,347781,316800,319444,288800,204172,3642,3684,-,2869,2704,2447,2471,Upgrade
2,Cash & Short-Term Investments,271983,294566,394212,461413,404636,406294,590850,592623,544550,481829,492481,389275,373396,304503,350927,330137,244036,155629,210669,232674,Upgrade
3,Cash Growth,-32.78%,-27.50%,-33.28%,-22.14%,-25.69%,-15.68%,19.97%,52.24%,45.84%,58.23%,40.34%,17.91%,53.01%,95.66%,66.58%,41.89%,6.63%,-48.21%,13.51%,11.66%,Upgrade
4,Accounts Receivable,82746,88378,90814,95398,108704,115091,122255,122143,122185,143725,144715,156810,208979,81441,101592,136708,158711,131393,131400,130236,Upgrade
5,Other Receivables,7018,7723,9242,8693,11928,6920,16463,21082,11346,15949,6942,7613,5590,11230,4903,3300,2465,4066,4966,15671,Upgrade
6,Receivables,89764,96101,100056,104091,120632,122011,138718,143225,133531,159674,151657,164422,214569,92671,106494,140007,161176,135459,136366,145907,Upgrade
7,Inventory,9094,9376,9077,9101,8714,9222,9099,8985,8734,9457,8718,8432,9129,11694,11990,12245,12996,13632,14194,16503,Upgrade
8,Prepaid Expenses,14785,12807,9130,8319,9174,9069,8352,9771,10249,7930,6640,8906,10753,6576,10143,11670,13406,15484,14243,18352,Upgrade
9,Other Current Assets,10145,29605,15380,10118,6066,7927,8845,24622,20713,22272,17900,18526,19660,13514,14330,12527,9565,9667,8541,8613,Upgrade
10,Total Current Assets,395771,442455,527856,593043,549222,554523,755864,779226,717776,681161,677396,589562,627506,428958,493885,506587,441179,329872,384013,422049,Upgrade
11,"Property, Plant & Equipment",1411171,1320930,1024522,988528,1055378,1078141,1145752,1066745,1061500,944027,750322,794415,851343,1166581,1233824,1338879,1514796,1689541,1818926,1915585,Upgrade
12,Long-Term Investments,10,-,20,20,20,20,20,20,20,20,10,10,-,-,-,1000,1000,1000,1000,1000,Upgrade
13,Other Intangible Assets,271.26,308.59,183.98,208.81,233.65,258.48,283.31,-,-,-,-,-,0.36,8.69,17.03,25.36,37.32,62.32,99.82,137.32,Upgrade
14,Long-Term Accounts Receivable,1295,1440,-,-,-,-,-,238.84,6053,13752,24651,32247,39631,47671,47692,49399,44435,48762,42362,53034,Upgrade
15,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,-,-,1450,1450,1612,1612,1612,1867,-,1387,1387,Upgrade
16,Other Long-Term Assets,46686,46761,46510,47494,48194,48677,49526,50348,51225,51829,51993,52499,51742,52655,53621,54372,55021,57662,57400,58638,Upgrade
17,Total Assets,1855204,1811895,1599091,1629293,1653047,1681620,1951445,1896577,1836573,1690789,1504371,1470182,1571672,1697485,1830650,1951875,2058334,2126899,2305188,2451831,Upgrade
18,Accounts Payable,13127,104264,19018,17212,12337,16305,14802,18460,8346,20186,12783,23329,6341,12338,6128,13963,11514,14343,9927,16476,Upgrade
19,Accrued Expenses,18426,25634,19518,20182,42831,85393,53316,34243,55359,40292,34781,21500,39856,38859,45133,27010,45133,40543,45059,23003,Upgrade
20,Current Portion of Long-Term Debt,152723,110359,74751,54335,54335,48360,48360,38877,38877,21112,14282,26024,91642,98470,114423,124048,138077,154621,146811,165325,Upgrade
21,Current Portion of Leases,42327,42327,42327,42327,42327,46706,52595,46289,42410,34992,26425,29291,39206,33437,34198,34198,34198,34198,34198,34198,Upgrade
22,Current Unearned Revenue,1727,1678,1661,1722,1949,2007,2325,3063,2884,3008,2713,3290,3271,2974,3915,20395,6195,6307,4256,7779,Upgrade
