,Fiscal Quarter,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,+7 Quarters
,Period Ending,"Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jan '13 Jan 1, 2013","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Jan '11 Jan 1, 2011",+7 Quarters
0,Revenue,2348,7698,3232,13153,13153,16178,2003,42738,5096,36368,15599,9476,3517,28394,46541,82312,49903,18897,22926,63709,Upgrade
1,Revenue Growth (YoY),-82.15%,-52.41%,61.38%,-69.22%,158.12%,-55.52%,-87.16%,351.03%,44.90%,28.08%,-66.48%,-88.49%,-92.95%,50.25%,103.01%,29.20%,3.67%,-75.68%,-18.75%,36.67%,Upgrade
2,Cost of Revenue,2225,7541,2965,8062,8062,9425,1531,27449,4848,30923,14161,7358,1590,24014,40606,72557,42776,7209,12270,46642,Upgrade
3,Gross Profit,122.47,157.1,266.29,5091,5091,6752,471.94,15289,247.54,5445,1438,2118,1927,4380,5935,9755,7127,11689,10656,17067,Upgrade
4,"Selling, General & Admin",960.06,2030,333.23,1690,1690,1748,621.43,2301,803.64,1615,980.77,1361,1183,2088,1569,3835,757.56,2158,601.71,1581,Upgrade
5,Other Operating Expenses,-,-,-,409.61,409.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
6,Operating Expenses,960.06,2030,333.23,2100,2100,1748,621.43,2301,803.64,1615,980.77,1361,1183,2088,1569,3835,757.56,2158,601.71,1581,Upgrade
7,Operating Income,-837.58,-1873,-66.94,2992,2992,5005,-149.49,12988,-556.1,3829,457.17,756.72,744.65,2292,4366,5920,6369,9531,10054,15486,Upgrade
8,Interest Expense,-128.02,-193.73,-160.04,-2865,-2865,-4774,-546.32,-8918,-1939,-2758,-1086,-2472,-1558,-2712,-2468,-8008,-1115,-2209,-2048,-1660,Upgrade
