,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,546631,600765,655669,556700,370506,308835,330747,562195,360383,460191,582678,1061915,1013594,518535,537418,553500,493382,407651,377261,286238,Upgrade
1,Short-Term Investments,285750,256390,1500992,359402,586016,554827,415148,111367,579367,284036,255019,155700,98700,46500,61500,22500,7500,69400,69400,22506,Upgrade
2,Trading Asset Securities,520583,712541,29684,215462,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,1352965,1569696,2186345,1131563,956523,863662,745895,673562,939751,744228,837696,1217615,1112294,565035,598918,576000,500882,477051,446661,308744,Upgrade
4,Cash Growth,41.45%,81.75%,193.12%,68.00%,1.78%,16.05%,-10.96%,-44.68%,-15.51%,31.71%,39.87%,111.39%,122.07%,18.44%,34.09%,86.56%,66.87%,70.70%,71.35%,1.07%,Upgrade
5,Accounts Receivable,232993,252281,304216,204894,203226,228217,202460,170435,187488,166103,240488,202151,209929,220020,220484,199023,193021,198778,179530,218899,Upgrade
6,Other Receivables,105988,320426,941326,89585,67248,51420,75351,417985,18274,229758,27896,35763,15452,23212,15501,27338,24192,34553,15776,25041,Upgrade
7,Receivables,338981,572707,1245541,294479,270474,279637,277811,588420,205762,395862,268384,237914,225381,243232,235985,226361,217214,233332,195306,243940,Upgrade
8,Inventory,47470,37904,28468,28578,29065,28367,27460,28702,28028,26697,26331,24669,21112,24328,31349,25434,24491,25720,25351,25045,Upgrade
9,Prepaid Expenses,17693,21396,31849,20231,20162,21433,34842,37674,43834,42170,34108,21768,22926,24818,30740,18840,19730,23949,34429,19684,Upgrade
10,Other Current Assets,54448,72140,59135,60079,69894,47999,69322,80681,88420,114597,61726,58570,60781,89779,99111,96703,133441,96257,104210,97004,Upgrade
11,Total Current Assets,1811557,2273842,3551337,1534931,1346117,1241097,1155330,1409038,1305796,1323553,1228246,1560536,1442494,947191,996103,943339,895758,856309,805957,694419,Upgrade
12,"Property, Plant & Equipment",1401883,1133169,574051,602517,637820,679410,727386,775641,820424,818814,861179,757333,806796,848571,892881,936712,914207,957773,1008347,1034907,Upgrade
13,Long-Term Investments,759362,379837,1453665,1470217,1470217,1526357,1526357,486681,486681,497259,497259,506403,506403,338171,120120,117641,117641,117480,117480,117480,Upgrade
