,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,774786,709174,717535,586417,625862,557206,534603,463274,519206,507325,511588,469279,506525,473630,476612,435364,458572,428964,392773,408557,Upgrade
1,Revenue Growth (YoY),23.79%,27.27%,34.22%,26.58%,20.54%,9.83%,4.50%,-1.28%,2.50%,7.11%,7.34%,7.79%,10.46%,10.41%,21.35%,6.56%,4.83%,-6.34%,-17.11%,-3.53%,Upgrade
2,Cost of Revenue,449860,488724,496377,382622,435588,378463,385822,326633,365927,341863,333865,307013,342297,307114,323747,316584,315596,319184,297909,306867,Upgrade
3,Gross Profit,324925,220451,221158,203795,190274,178743,148781,136641,153279,165462,177723,162266,164228,166516,152865,118780,142976,109779,94864,101690,Upgrade
4,"Selling, General & Admin",101132,96155,77961,60152,50423,66879,50873,56324,53051,54948,35495,41090,29496,30696,36519,32728,53356,29213,25349,21417,Upgrade
5,Operating Expenses,101132,96155,77961,60152,50423,66879,50873,56324,53051,54948,35495,41090,29496,30696,36519,32728,53356,29213,25349,21417,Upgrade
6,Operating Income,223793,124295,143197,143643,139851,111864,97908,80317,100228,110513,142227,121176,134732,135820,116345,86052,89620,80567,69514,80273,Upgrade
7,Interest Expense,-40419,-30478,-38643,-57609,-44059,-57392,-43298,-29604,-1105,-,-,-,-,-,-,-,-,-88.94,-639.14,-1075,Upgrade
8,Interest & Investment Income,100274,4644,27548,11958,5475,7679,5499,8708,4536,7245,7546,8026,1785,3530,3332,2585,3167,3355,3967,1797,Upgrade
9,Earnings From Equity Investments,7546,-1026,-7809,-2243,-8968,-,-8992,-,-14739,4161,-9144,-,1963,-,2478,-,161.25,-,1998,-,Upgrade
10,Currency Exchange Gain (Loss),321.58,-335.73,5234,-4898,-2173,1577,-582.08,582.08,-3915,-18.16,-467.97,-82.7,-,-277.48,-151.83,429.32,-,-141.25,-168.34,309.59,Upgrade
11,Other Non Operating Income (Expenses),53474,6386,-16479,-926.68,2616,846.92,-683.3,-4793,4182,-2186,-838.38,301.14,-14197,10260,-2444,-259.09,681.84,1233,335.49,-41.15,Upgrade
12,EBT Excluding Unusual Items,344990,103485,113047,89925,92743,64575,49852,55209,89186,119715,139323,129420,124283,149332,119560,88807,93631,84925,75007,81263,Upgrade
13,Gain (Loss) on Sale of Assets,-,-,-,-,773.97,1978,-290.72,290.72,-731.68,-,-,-,708.76,-,-,-,1060,1192,-1192,-,Upgrade
14,Pretax Income,344990,103485,113047,89925,93516,66553,49561,55500,88455,119715,139323,129420,124992,149332,119560,88807,94691,86117,73815,81263,Upgrade
15,Income Tax Expense,23272,25298,21504,19965,21759,16399,15252,12698,18657,19181,26038,19897,18582,22576,15775,11956,17695,7839,4367,9581,Upgrade
16,Earnings From Continuing Operations,321719,78187,91543,69960,71757,50154,34309,42802,69798,100533,113285,109523,106410,126755,103786,76852,76995,78278,69449,71682,Upgrade
17,Minority Interest in Earnings,-25374,-24305,29175,-77875,-29497,-17622,-14343,-13936,-19778,-20064,-19624,-19379,-14829,-17860,-17853,-13316,-14067,-13842,-14277,-14513,Upgrade
18,Net Income,296345,53881,120718,-7915,42260,32532,19966,28865,50020,80469,93661,90144,91581,108895,85933,63536,62928,64437,55171,57170,Upgrade
19,Preferred Dividends & Other Adjustments,-,-,-,-,11013,-,-,-,28000,-,-,-,23000,-,-,-,24000,-,-,-,Upgrade
20,Net Income to Common,296345,53881,120718,-7915,31247,32532,19966,28865,22020,80469,93661,90144,68581,108895,85933,63536,38928,64437,55171,57170,Upgrade
21,Net Income Growth,601.24%,65.63%,504.62%,-,-15.51%,-59.57%,-78.68%,-67.98%,-45.38%,-26.10%,8.99%,41.88%,45.53%,69.00%,55.76%,11.13%,-26.29%,-1.03%,27.77%,41.81%,Upgrade
22,Shares Outstanding (Basic),287,287,287,143,143,143,143,143,143,143,143,143,143,72,72,72,72,72,72,72,Upgrade
23,Shares Outstanding (Diluted),287,287,287,143,143,143,143,143,143,143,143,143,143,72,72,72,72,72,72,72,Upgrade
24,Shares Change (YoY),100.00%,100.00%,100.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,0.20%,100.00%,100.00%,100.00%,99.61%,-,-,-,-,-,-,-0.00%,Upgrade
25,EPS (Basic),1033.29,187.87,420.91,-55.20,217.90,226.86,139.23,201.29,153.55,561.15,653.14,628.61,479.19,1518.74,1198.49,886.12,542.93,898.68,769.47,797.34,Upgrade
26,EPS (Diluted),1033.29,187.87,420.91,-55.20,217.73,226.86,139.23,201.29,153.55,561.15,653.14,628.61,479.17,1518.74,1198.49,886.12,542.78,898.68,769.47,797.34,Upgrade
27,EPS Growth,374.57%,-17.19%,202.31%,-,41.80%,-59.57%,-78.68%,-67.98%,-67.95%,-63.05%,-45.50%,-29.06%,-11.72%,69.00%,55.76%,11.13%,-37.61%,-1.03%,27.77%,41.82%,Upgrade
28,Free Cash Flow,-,-1368088,354.91,131612,404413,-29246,197144,64748,672787,-502177,72257,91515,192601,201410,85846,72480,123951,126119,133489,50764,Upgrade
29,Free Cash Flow Per Share,-,-4770.23,1.24,917.79,2820.17,-203.95,1374.78,451.52,4691.65,-3501.90,503.88,638.17,1345.74,2809.03,1197.28,1010.86,1728.72,1758.95,1861.74,708.00,Upgrade
30,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,845.666,-,-,384.394,-,-,384.394,1153.181,-,-,Upgrade
31,Dividend Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-66.67%,-,-,-58.33%,87.50%,-,-,Upgrade
32,Gross Margin,41.94%,31.09%,30.82%,34.75%,30.40%,32.08%,27.83%,29.49%,29.52%,32.61%,34.74%,34.58%,32.42%,35.16%,32.07%,27.28%,31.18%,25.59%,24.15%,24.89%,Upgrade
33,Operating Margin,28.88%,17.53%,19.96%,24.50%,22.35%,20.08%,18.31%,17.34%,19.30%,21.78%,27.80%,25.82%,26.60%,28.68%,24.41%,19.77%,19.54%,18.78%,17.70%,19.65%,Upgrade
34,Profit Margin,38.25%,7.60%,16.82%,-1.35%,4.99%,5.84%,3.73%,6.23%,4.24%,15.86%,18.31%,19.21%,13.54%,22.99%,18.03%,14.59%,8.49%,15.02%,14.05%,13.99%,Upgrade
35,Free Cash Flow Margin,-,-192.91%,0.05%,22.44%,64.62%,-5.25%,36.88%,13.98%,129.58%,-98.99%,14.12%,19.50%,38.02%,42.52%,18.01%,16.65%,27.03%,29.40%,33.99%,12.43%,Upgrade
36,EBITDA,1026237,926739,179931,181631,180757,187004,139641,137937,107606,217354,179626,183374,175069,200220,152610,145484,164886,121101,133321,133898,Upgrade
37,EBITDA Margin,132.45%,130.68%,25.08%,30.97%,28.88%,33.56%,26.12%,29.77%,20.72%,42.84%,35.11%,39.08%,34.56%,42.27%,32.02%,33.42%,35.96%,28.23%,33.94%,32.77%,Upgrade
38,D&A For EBITDA,802444,802444,36734,37988,40906,75141,41733,57619,7378,106841,37398,62198,40337,64401,36265,59431,75266,40534,63806,53625,Upgrade
39,EBIT,223793,124295,143197,143643,139851,111864,97908,80317,100228,110513,142227,121176,134732,135820,116345,86052,89620,80567,69514,80273,Upgrade
40,EBIT Margin,28.88%,17.53%,19.96%,24.50%,22.35%,20.08%,18.31%,17.34%,19.30%,21.78%,27.80%,25.82%,26.60%,28.68%,24.41%,19.77%,19.54%,18.78%,17.70%,19.65%,Upgrade
41,Effective Tax Rate,6.75%,24.45%,19.02%,22.20%,23.27%,24.64%,30.77%,22.88%,21.09%,16.02%,18.69%,15.37%,14.87%,15.12%,13.19%,13.46%,18.69%,9.10%,5.92%,11.79%,Upgrade
42,Revenue as Reported,774786,709174,717535,586417,625862,557206,534603,463274,519206,507325,511588,469279,506525,473630,476612,435364,458572,428964,392773,408557,Upgrade
