,Fiscal Quarter,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017
,Period Ending,"Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Cash & Equivalents,160773,162288,162288,208358,133451,191632,773684,61555,44766,41931,-,-,-
1,Short-Term Investments,80687,370078,370078,214040,546606,671453,471557,15.94,-,46978,-,-,-
2,Trading Asset Securities,85000,85000,85000,100000,219993,249993,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,326461,617365,617365,522398,900051,1113077,1245240,61571,44766,88909,-,-,39103
4,Cash Growth,-63.73%,-44.54%,-50.42%,748.44%,1910.58%,1151.93%,-,-,14.48%,-,-,-,-
5,Accounts Receivable,214578,279570,279570,272651,239039,254329,293085,305560,221828,154489,-,-,-
6,Other Receivables,85725,55591,55591,267238,353089,60200,68415,25424,82045,54252,-,-,-
7,Receivables,300303,335161,335161,539889,592127,314528,361500,332136,303874,208741,-,-,-
8,Inventory,85609,75839,75839,101906,114256,132554,111970,93007,63950,15655,-,-,-
9,Prepaid Expenses,24144,14678,14678,17910,24213,27063,3744,7161,2912,3430,-,-,-
10,Other Current Assets,112395,113145,113145,393281,244559,112552,109955,167692,169047,129195,-,-,-
11,Total Current Assets,848912,1156188,1156188,1575385,1875205,1699775,1832409,661567,584548,445931,-,-,-
12,"Property, Plant & Equipment",18264,16016,16016,4292,4709,5321,5718,6110,6104,6491,-,-,-
13,Long-Term Investments,95738,69561,69561,65578,63828,63828,25156,13886,20154,8317,-,-,-
14,Goodwill,79932,82843,82843,87559,91162,93935,95617,200365,106531,109390,-,-,-
15,Other Intangible Assets,136474,125992,125992,39810,39713,56648,22152,13549,6661,6649,-,-,-
16,Long-Term Deferred Tax Assets,11319,11319,11319,5841,1649,-,-,20,686.24,806.92,-,-,-
17,Long-Term Deferred Charges,3465,3688,3688,4883,-,2927,-,10178,12879,13636,-,-,-
18,Other Long-Term Assets,34250,49890,49890,121943,29835,26321,28989,22638,36540,23084,-,-,-
19,Total Assets,1228354,1515496,1515496,1918291,2119101,1961755,2023041,941314,809968,657305,-,-,-
20,Accounts Payable,88849,146634,146634,119043,90249,106040,132257,108610,98173,134365,-,-,-
21,Accrued Expenses,31263,28505,28505,22897,23366,31301,49854,18164,19519,20565,-,-,-
22,Short-Term Debt,5043,232039,232039,281903,291997,128196,173971,170112,139858,67062,-,-,-
23,Current Portion of Leases,-,-,-,-,-,-,-,172.43,361.31,550.19,-,-,-
24,Current Income Taxes Payable,10789,7615,7615,32059,50057,49950,36047,37028,23281,14615,-,-,-
25,Current Unearned Revenue,-,-,-,995.17,732.49,1292,-,2003,7512,-,-,-,-
26,Other Current Liabilities,68878,79486,79486,86242,96852,87235,76221,189116,160832,57298,-,-,-
27,Total Current Liabilities,204823,494280,494280,543139,553254,404014,468350,525205,449537,294455,-,-,-
28,Long-Term Debt,-,-,-,-,-,-,-,30000,30000,30000,-,-,-
29,Other Long-Term Liabilities,-3200,-,-,-,-,-,-,-,-,59.65,-,-,-
30,Total Liabilities,201623,494280,494280,543139,553254,404014,468350,555205,479537,324515,-,-,-
31,Common Stock,312800,312800,312800,312800,312800,312800,312800,273700,238000,238000,-,-,-
32,Additional Paid-In Capital,1132144,1132144,1132144,1132144,1132144,1132144,1132144,24116,24116,24116,-,-,-
33,Retained Earnings,-301830,-305389,-305389,-13379,89316,82155,73476,51872,42550,42111,-,-,-
34,Treasury Stock,-141715,-141715,-141715,-71930,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,100.31,100,100,-215.43,339.25,307.15,273.77,273.77,872.33,304.61,-,-,-
36,Total Common Equity,1001498,997939,997939,1359419,1534599,1527405,1518693,349961,305538,304532,-,-,101575
