Stock Symbol,Date,Stock Price
600170,2024-09-30,2.45
600170,2024-06-30,2.15
600170,2024-03-31,2.2768
600170,2023-12-31,2.2768
600170,2023-09-30,2.6757
600170,2023-06-30,2.5722
600170,2023-03-31,2.6104
600170,2022-12-31,2.4861
600170,2022-09-30,2.4192
600170,2022-06-30,2.7539
600170,2022-03-31,2.9629
600170,2021-12-31,3.272
600170,2021-09-30,3.7264
600170,2021-06-30,2.5085
600170,2021-03-31,2.6176
600170,2020-12-31,2.6003
600170,2020-09-30,2.6694
600170,2020-06-30,2.5407
600170,2020-03-31,2.6565
600170,2019-12-31,2.9296
