,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,4592,4937,4107,5466,6565,6447,6253,6069,5954,6532,8121,7126,7258,6170,5971,5550,5296,6272,6485,5967,7095,Upgrade
1,Market Cap Growth,-23.41%,-23.41%,-34.31%,-9.95%,10.27%,-1.31%,-23.00%,-14.82%,-17.97%,5.87%,36.01%,28.39%,37.04%,-1.62%,-7.93%,-6.98%,-25.36%,-18.39%,-18.93%,-43.23%,-0.99%,Upgrade
2,Enterprise Value,6386,5608,5123,5975,7074,5931,4938,8250,8135,8295,9111,8040,8172,6503,6085,2559,2305,5653,4700,4400,5528,Upgrade
3,Last Close Price,4.26,4.56,3.70,4.92,5.91,5.81,5.81,5.48,5.38,5.90,7.33,6.51,6.63,5.69,5.43,5.03,4.80,5.68,5.77,5.31,6.31,Upgrade
4,PE Ratio,245.65,-,26.44,28.14,-,13.45,18.58,15.69,12.97,-,8.60,8.00,8.86,11.04,19.39,23.39,33.77,30.98,27.13,19.89,17.16,Upgrade
5,Forward PE,30.43,10.94,10.94,10.94,10.94,10.94,10.94,10.94,10.94,10.94,10.94,10.94,10.94,10.94,10.94,10.45,10.32,11.95,13.57,9.54,11.83,Upgrade
6,PS Ratio,0.17,0.18,0.13,0.15,0.16,0.12,0.11,0.11,0.11,0.13,0.17,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.16,0.15,0.18,Upgrade
7,PB Ratio,0.58,0.62,0.51,0.68,0.83,0.80,0.78,0.79,0.79,0.86,1.09,1.00,1.06,0.94,0.94,0.88,0.86,1.03,1.05,0.95,1.15,Upgrade
8,P/TBV Ratio,0.63,0.63,0.52,0.69,0.84,0.81,0.79,0.80,0.79,0.87,1.10,1.01,1.07,0.95,0.95,0.89,0.87,1.04,1.06,0.95,1.15,Upgrade
9,P/FCF Ratio,-,-,-2.36,-,-,-,-,1.15,1.87,4.35,-71.30,-,-,-,-,1.95,-,1.20,0.95,1.02,1.01,Upgrade
10,P/OCF Ratio,-,-,-2.95,-,-,-,-,1.13,1.85,4.34,-73.66,-,-,-,-,1.94,-,1.20,0.95,1.01,1.01,Upgrade
11,PEG Ratio,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,Upgrade
12,EV/Sales Ratio,0.23,0.21,0.17,0.16,0.18,0.11,0.09,0.15,0.15,0.16,0.19,0.17,0.17,0.15,0.14,0.06,0.06,0.14,0.11,0.11,0.14,Upgrade
13,EV/EBITDA Ratio,14.93,15.15,12.23,47.00,-,21.22,-,25.98,15.37,11.21,9.02,8.49,8.30,7.40,9.27,3.76,4.83,12.44,10.04,8.87,8.08,Upgrade
14,EV/EBIT Ratio,17.53,15.40,12.46,50.02,-,22.13,-,27.02,15.73,11.41,9.13,8.59,8.38,7.48,9.39,3.80,4.89,12.59,10.17,8.97,8.15,Upgrade
