,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,11963,11555,10594,9348,11595,9834,9608,8820,9968,9820,9568,7548,11989,11247,8652,7856,7334,6780,5974,5876,Upgrade
1,Other Revenue,86.89,262.11,-,497.02,185.63,134.13,-,335.99,-116.76,116.76,-,255.92,-158.96,158.96,-,183.22,-92.55,92.55,-,288.52,Upgrade
2,Revenue,12050,11817,10594,9845,11780,9968,9608,9156,9851,9936,9568,7804,11830,11406,8652,8039,7242,6872,5974,6164,Upgrade
3,Revenue Growth (YoY),2.29%,18.56%,10.26%,7.52%,19.59%,0.31%,0.43%,17.33%,-16.73%,-12.88%,10.58%,-2.93%,63.37%,65.97%,44.83%,30.42%,-30.99%,-35.00%,-41.98%,-41.00%,Upgrade
4,Cost of Revenue,10749,10873,9758,9184,10147,9274,9050,8704,9376,8920,8278,6492,10034,9208,7288,7844,6488,6182,5449,5693,Upgrade
5,Gross Profit,1301,943.93,836.03,660.9,1633,693.8,557.85,451.81,475,1017,1290,1312,1796,2198,1364,195.41,753.22,690.45,524.99,471.42,Upgrade
6,"Selling, General & Admin",389.64,368.21,367.69,603.12,409.33,382.67,338.07,414.87,427.78,407.7,333.32,486.34,487.63,299.31,506.56,204.3,516.73,472.52,503.91,566.27,Upgrade
7,Research & Development,241.33,237.86,192.41,242.39,244.75,169.79,157.23,194.07,204.42,151.93,147.13,417.98,126.57,141.3,96.37,190.79,106.85,116.17,87.14,105.48,Upgrade
8,Other Operating Expenses,-32.48,38.41,6.08,98.15,20.84,-1.49,7.22,736.53,-623.13,20.52,41.69,116.01,18,35.65,29.35,118.88,21.43,-4.45,21.56,207.83,Upgrade
9,Operating Expenses,593.36,660.4,587.24,913.28,721.71,552.95,522.52,1317,41.41,550.47,589.22,877.76,693.58,455.12,700.18,516.86,613.46,597.82,631.65,776.06,Upgrade
10,Operating Income,707.25,283.54,248.78,-252.38,911.57,140.85,35.33,-864.97,433.59,466.05,700.51,433.75,1103,1743,663.87,-321.45,139.76,92.63,-106.66,-304.64,Upgrade
11,Interest Expense,-247.26,-159.68,-147.54,-286.56,-160.52,-113.55,-88.74,-214.59,-,-100.68,-105.14,-105.56,-92.17,-116,-103.51,-113.66,-105.38,-117.08,-123.46,-158.06,Upgrade
12,Interest & Investment Income,-,327.6,197.41,421.62,-,248.87,166.35,350.67,168.72,171.06,176.23,223.13,236.09,254.97,168.44,692.69,220.32,180.59,148.2,358.77,Upgrade
13,Currency Exchange Gain (Loss),2.2,-2.41,0.29,12.12,-29.55,32.2,-0.51,28.81,-14.36,19.59,-0.16,-51.35,19.37,-19.93,0.31,-12.37,-5.25,3.43,0.72,57.72,Upgrade
14,Other Non Operating Income (Expenses),-30.76,-5.24,3.04,88.17,6.71,12.73,-6.88,43.68,-59.36,-9.3,5.84,23.54,-55.28,7.17,-7.89,201.86,-55.51,51.86,-150.05,-69.42,Upgrade
15,EBT Excluding Unusual Items,431.43,443.8,301.97,-17.03,728.2,321.1,105.56,-656.4,528.59,546.72,777.27,523.51,1211,1869,721.23,447.07,193.93,211.43,-231.25,-115.63,Upgrade
16,Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-65.52,-,-,-,-,-,-,-,-,Upgrade
17,Gain (Loss) on Sale of Investments,60.45,-25.07,12.15,-5.39,-8.59,21.39,20.14,-51.87,-18.62,7.47,-44.09,27.39,28.26,-3.35,-5.2,9.79,-11.92,30.65,-34.37,48.03,Upgrade
18,Gain (Loss) on Sale of Assets,0.7,-0.43,1.18,120.41,245.69,-0.02,-0,6.21,0.44,-2.68,142.28,225.45,-0.2,2.86,1.99,10,-1.22,0.03,0.36,62.11,Upgrade
19,Asset Writedown,-113.5,-0.09,-,154.68,-164.27,-17.86,17.45,38.54,-45.82,0.93,-0.99,-100.06,-53.3,1.29,-3.39,-186.3,-14.28,-0.5,0.18,-29.04,Upgrade
20,Other Unusual Items,-56.06,56.06,-,43.97,30.52,-30.52,-,880.48,43.05,-43.05,-,69.27,54.26,-54.26,-,132.67,30.22,-30.22,-,178,Upgrade
