,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,4000,3984,4799,5192,4184,5708,5213,5735,4925,5108,5065,6130,5521,5227,3001,3052,2687,2804,2412,2674,Upgrade
1,Cash & Short-Term Investments,4000,3984,4799,5192,4184,5708,5213,5735,4925,5108,5065,6130,5521,5227,3001,3052,2687,2804,2412,2674,Upgrade
2,Cash Growth,-4.39%,-30.19%,-7.93%,-9.47%,-15.05%,11.75%,2.91%,-6.45%,-10.80%,-2.28%,68.77%,100.84%,105.48%,86.41%,24.41%,14.16%,234.00%,275.12%,149.57%,150.60%,Upgrade
3,Accounts Receivable,10292,10257,9727,8751,9425,8225,8115,6875,7353,6663,6294,5579,5935,5756,5165,4951,5600,5185,4955,4647,Upgrade
4,Other Receivables,35.5,46.63,29.19,37.58,23.37,18.5,28.26,15.75,22.11,15,17.3,16.11,40.81,53.53,57.33,61.53,33.84,31.48,48.61,37.68,Upgrade
5,Receivables,10328,10303,9756,8789,9449,8243,8143,6891,7375,6678,6311,5595,5976,5874,5222,5014,5634,5217,5004,4685,Upgrade
6,Inventory,4581,3841,3577,3721,3762,3540,3479,3316,3587,3195,3256,3232,3186,2930,3152,3062,2437,2549,2509,2449,Upgrade
7,Prepaid Expenses,-,-,-,-,-,-,-,-,-,66.41,-,56.6,-,-,-,-,-,-,-,0.32,Upgrade
8,Other Current Assets,336.51,169.97,140.2,133.46,255.82,119.34,188.85,116.04,319.53,298.49,522.49,369.59,637.29,507.32,459.87,391.36,492.01,511.35,486.51,295.58,Upgrade
9,Total Current Assets,19245,18299,18273,17835,17651,17611,17024,16057,16207,15346,15154,15384,15321,14538,11835,11519,11250,11081,10411,10104,Upgrade
10,"Property, Plant & Equipment",5882,5716,5544,5554,5013,3377,3279,3253,3122,2998,2837,2816,3171,3145,3123,3029,3207,3186,3129,3089,Upgrade
11,Long-Term Investments,899.98,899.64,892.83,898.59,893.98,896.62,870.06,862.95,794.03,744.14,738.62,740.47,410.47,470.79,543.83,599.82,739.68,593.97,643.88,694.06,Upgrade
12,Goodwill,68.95,68.95,68.95,68.95,40.95,40.95,40.95,40.95,40.95,40.95,40.95,40.95,40.95,41.38,41.38,0.86,0.86,0.86,0.86,0.86,Upgrade
13,Other Intangible Assets,506.32,509.5,521.48,516.38,392.9,330.71,344.76,301.54,324.39,327.59,329.19,332.49,302.55,305.92,309.3,270.11,291.51,295.45,256.96,257.88,Upgrade
