,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,1396,1206,1167,872.7,1239,959.76,1118,1063,1265,1239,980.47,1082,849.58
1,Other Revenue,-69.92,69.92,-,279.65,-154.88,154.88,-,221.37,-50.62,50.62,-,6.34,1
2,Revenue,1326,1276,1167,1152,1084,1115,1118,1284,1215,1290,980.47,1089,850.58
3,Revenue Growth (YoY),22.34%,14.46%,4.37%,-10.24%,-10.77%,-13.57%,14.05%,17.93%,42.81%,-,-,-,-
4,Cost of Revenue,1124,1102,954.5,962.36,929.38,927.56,894.68,1061,996.23,943.77,777.66,875.19,693.3
5,Gross Profit,202.2,173.76,212.57,189.98,154.56,187.08,223.53,222.48,218.48,345.92,202.81,213.51,157.27
6,"Selling, General & Admin",44.48,41.22,39.8,34.93,40.46,43.01,39.65,43.83,35.44,35.47,35.86,41.36,31.76
7,Research & Development,1.57,1.1,1.45,4.36,0.73,1.57,-,-,-,-,-,-,-
8,Other Operating Expenses,1.15,-8.36,-36.62,25.99,-0.97,-1.78,-37.2,46.7,3.31,-15.77,-14.04,17.61,0.86
9,Operating Expenses,47.7,35.05,5.21,64.9,40.57,43.07,2.37,90.77,38.41,20.09,21.35,58.87,33.01
10,Operating Income,154.5,138.71,207.36,125.08,113.99,144.01,221.17,131.71,180.08,325.83,181.46,154.64,124.26
11,Interest Expense,-5.84,-2.55,-5.29,-5.29,-4.54,-5.89,-4.58,-9.05,-9.43,-11.51,-9.39,-7.08,-2.71
12,Interest & Investment Income,10.41,10.09,12.27,15.7,8.54,9.13,3.2,2.55,1.55,3.23,6.03,11.45,8.71
13,Earnings From Equity Investments,-,0.59,-0.59,-,-,0.25,-0.25,-,-,-,-,-,-
14,Currency Exchange Gain (Loss),-2.43,2.43,-,-13.03,-5.64,5.64,-,60.52,-27.68,27.68,-,-19.91,-2.86
15,Other Non Operating Income (Expenses),7.86,-4.67,4.54,-21.95,-5.19,40.89,-14.49,-61.53,59.73,2.41,-1.1,24.57,-0.62
16,EBT Excluding Unusual Items,164.49,144.61,218.29,100.52,107.16,194.03,205.06,124.2,204.25,347.64,177,163.67,126.78
17,Gain (Loss) on Sale of Investments,0.25,-1.66,-,-,-,-,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,0.02,-0.01,0,-0.01,0.03,0.02,2.44,0.01,0,0.01,-0.01,-0.01,0.02
19,Asset Writedown,0.04,-0.03,0.03,-0.03,0.03,-0.03,0.03,-8.82,-0.06,0.05,-0.06,-0.02,-
20,Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-17.43,-
21,Other Unusual Items,-0.82,0.02,0.8,53.33,-,-,-,57.12,-,-,-,69.26,1.61
22,Pretax Income,163.98,142.92,219.12,153.81,107.21,194.02,207.53,172.52,204.19,347.7,176.93,215.46,128.41
23,Income Tax Expense,35.48,33.85,52.77,39.6,25.91,44.22,52.22,45.69,52.91,88.01,44.71,54.01,31.03
24,Earnings From Continuing Operations,128.51,109.08,166.35,114.22,81.3,149.81,155.31,126.82,151.28,259.69,132.22,161.45,97.38
25,Minority Interest in Earnings,-0.31,0.85,0.48,0.86,0.51,0.42,1.6,0.02,-0.15,0.04,-0.04,-0.17,-0.43
26,Net Income,128.2,109.93,166.83,115.08,81.81,150.23,156.91,126.85,151.13,259.73,132.18,161.28,96.96
27,Net Income to Common,128.2,109.93,166.83,115.08,81.81,150.23,156.91,126.85,151.13,259.73,132.18,161.28,96.96
28,Net Income Growth,56.70%,-26.82%,6.32%,-9.28%,-45.87%,-42.16%,18.71%,-21.35%,55.88%,-,-,-,-
29,Shares Outstanding (Basic),1283,1353,1283,1280,1219,1363,1308,1159,1166,1174,1202,1259,1077
30,Shares Outstanding (Diluted),1283,1353,1283,1280,1219,1363,1308,1159,1166,1174,1202,1259,1077
31,Shares Change (YoY),5.28%,-0.78%,-1.86%,10.40%,4.49%,16.16%,8.82%,-7.90%,8.27%,-,-,-,-
32,EPS (Basic),0.10,0.08,0.13,0.09,0.07,0.11,0.12,0.11,0.13,0.22,0.11,0.13,0.09
33,EPS (Diluted),0.10,0.08,0.13,0.09,0.07,0.11,0.12,0.11,0.13,0.22,0.11,0.13,0.09
34,EPS Growth,48.83%,-26.25%,8.33%,-17.83%,-48.19%,-50.21%,9.09%,-14.60%,43.97%,-,-,-,-
35,Free Cash Flow,37.37,264.01,-240.87,-343.69,-94.27,153.78,234,-19.89,297.9,54.73,-49.76,-308.37,-24.77
36,Free Cash Flow Per Share,0.03,0.20,-0.19,-0.27,-0.08,0.11,0.18,-0.02,0.26,0.05,-0.04,-0.24,-0.02
37,Dividend Per Share,-,-,-,0.116,-,-,-,0.154,-,-,-,-,-
38,Dividend Growth,-,-,-,-24.68%,-,-,-,-,-,-,-,-,-
39,Gross Margin,15.25%,13.62%,18.21%,16.49%,14.26%,16.78%,19.99%,17.33%,17.99%,26.82%,20.68%,19.61%,18.49%
40,Operating Margin,11.65%,10.87%,17.77%,10.85%,10.52%,12.92%,19.78%,10.26%,14.82%,25.26%,18.51%,14.20%,14.61%
41,Profit Margin,9.67%,8.62%,14.29%,9.99%,7.55%,13.48%,14.03%,9.88%,12.44%,20.14%,13.48%,14.81%,11.40%
42,Free Cash Flow Margin,2.82%,20.69%,-20.64%,-29.83%,-8.70%,13.80%,20.93%,-1.55%,24.52%,4.24%,-5.07%,-28.32%,-2.91%
43,EBITDA,214.43,213.03,267.29,185.02,164.31,198.5,271.49,182.03,215.03,371.32,216.41,189.59,124.27
44,EBITDA Margin,16.17%,16.70%,22.90%,16.06%,15.16%,17.81%,24.28%,14.18%,17.70%,28.79%,22.07%,17.41%,14.61%
45,D&A For EBITDA,59.93,74.32,59.93,59.93,50.32,54.48,50.32,50.32,34.95,45.5,34.95,34.95,0
46,EBIT,154.5,138.71,207.36,125.08,113.99,144.01,221.17,131.71,180.08,325.83,181.46,154.64,124.26
47,EBIT Margin,11.65%,10.87%,17.77%,10.85%,10.52%,12.92%,19.78%,10.26%,14.82%,25.26%,18.51%,14.20%,14.61%
