,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2022,Q1 2022,Q4 2021,null null,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Cash & Equivalents,689.44,866.59,1006,733.32,553.27,-,670.78,655.89,-,766.3,559.91,-,606.03,568.32,667.96,486.18,531.3,554.28,573.54,589.6,Upgrade
1,Trading Asset Securities,15.65,12.34,12.68,12.8,3.14,-,3.73,-,-,-,-,-,-,-,-,-,0.51,0.6,0.5,-,Upgrade
2,Cash & Short-Term Investments,705.09,878.93,1019,746.13,556.42,-,674.5,655.89,766.3,766.3,559.91,-,606.03,568.32,667.96,486.18,531.81,554.88,574.04,589.6,Upgrade
3,Cash Growth,26.72%,-,51.07%,13.76%,-27.39%,-,20.47%,-,26.45%,34.84%,-16.18%,-,13.95%,2.42%,16.36%,-17.54%,-19.00%,11.86%,-25.55%,-1.30%,Upgrade
4,Accounts Receivable,3045,2655,2634,2753,2774,-,2654,2800,-,2500,2809,-,2295,2375,2601,2374,2307,2211,2391,1974,Upgrade
5,Other Receivables,54.57,42.62,56.76,37.99,36.49,-,31.33,63.87,-,27.68,32.72,-,36.47,43.51,31.03,29.07,46.91,60.66,69.95,190.28,Upgrade
6,Receivables,3099,2698,2691,2791,2810,-,2685,2864,-,2527,2841,-,2331,2419,2632,2403,2354,2272,2461,2165,Upgrade
7,Inventory,1349,1210,1134,1122,1164,-,1072,956.29,-,1076,942.99,-,1056,984.54,823.9,898.15,833.12,865.13,780.14,858.67,Upgrade
8,Other Current Assets,235.6,161.73,184.28,172.68,192.44,-,160.79,114.11,-,195.25,135.75,-,255.19,172.87,118.23,166.58,122.39,110.89,81.02,154.29,Upgrade
9,Total Current Assets,5389,4948,5028,4832,4723,-,4592,4590,-,4564,4480,-,4249,4144,4242,3954,3841,3802,3896,3767,Upgrade
10,"Property, Plant & Equipment",896.79,883.3,897.62,903.9,856.13,-,836.39,852.09,-,835.75,857.19,-,849.66,849.08,864.41,843.93,830.26,886.76,891.53,710.13,Upgrade
11,Long-Term Investments,193.39,192.64,196.32,196.63,145.88,-,176.38,176.63,-,153.21,121.95,-,73.79,73.49,72.42,62.99,61.25,58.86,58.77,63.4,Upgrade
12,Goodwill,184.51,-,-,-,-,-,-,-,-,57.29,57.29,-,57.29,57.29,57.29,57.29,57.29,57.29,57.29,57.29,Upgrade
13,Other Intangible Assets,176.94,147.67,147.14,148.17,149.9,-,104.06,104.55,-,118.9,120.35,-,120.78,121.89,123.06,149.82,150.97,143.33,144.36,143.21,Upgrade
14,Long-Term Accounts Receivable,230.82,194.07,192.99,203.61,185.6,-,152.07,152.75,-,131.91,154.97,-,-,162.84,174.05,215.51,214.09,216.42,228.82,235.29,Upgrade
15,Long-Term Deferred Tax Assets,199.95,188.08,175.81,185.58,218.28,-,187.06,188.14,-,168.86,171.35,-,149.97,146.12,143.88,133.01,128.85,126.54,128.69,112.59,Upgrade
16,Long-Term Deferred Charges,13.47,12.94,5.42,2.41,0.31,-,0.51,0.52,-,0.97,1.09,-,3,3.79,4.71,5.71,6.23,7.42,8.59,0.68,Upgrade
17,Other Long-Term Assets,252.73,189.57,178.39,164.56,217.92,-,196.54,181.93,-,99.43,95.03,-,289.25,120.6,116.59,14.89,26.63,17.62,6.86,14.9,Upgrade
18,Total Assets,7538,6756,6822,6637,6497,-,6245,6247,-,6131,6059,-,5793,5679,5798,5437,5317,5317,5421,5105,Upgrade
19,Accounts Payable,1075,992.71,1046,994.57,977.26,-,983.73,1001,-,842.47,901.07,-,873.63,837.62,855.52,787.72,724.8,776.52,855.64,750.79,Upgrade
20,Accrued Expenses,55.33,56.74,26.89,89.12,40.61,-,24.09,127.21,-,30.39,102.44,-,29.09,23.88,86.8,33.51,57.48,20.74,65.56,31.78,Upgrade
21,Short-Term Debt,623.44,433.54,415.55,412.49,458.59,-,416.64,338.89,-,676.58,520.69,-,499.87,422.64,420.73,379.36,402.85,458.35,419.13,400.25,Upgrade
22,Current Portion of Long-Term Debt,214.33,186.17,162.03,43.22,-,-,-,19.1,-,50.05,43.86,-,58.77,57.96,-,105.57,105.57,87.02,90.14,74.09,Upgrade
23,Current Portion of Leases,-,5.19,-,5.66,-,-,-,4.65,-,-,3.29,-,-,-,-,-,-,-,-,-,Upgrade
24,Current Income Taxes Payable,33.26,23.96,39.27,40.61,60.07,-,49.27,61.57,-,59.03,61.49,-,35.44,49.89,58.31,36.64,49.35,31.92,53.62,46.37,Upgrade
25,Current Unearned Revenue,232.18,204.79,183.94,213.69,225.96,-,231.96,214.86,-,192.16,183.35,-,190.88,197.09,187.41,201.52,165.08,155.74,-,-,Upgrade
26,Other Current Liabilities,1018,814.04,831.76,876.38,957.02,-,907.44,929.18,-,852.34,893.7,-,568.78,602.95,740.16,611.42,610.13,645.17,842.12,814.24,Upgrade
27,Total Current Liabilities,3252,2717,2705,2676,2720,-,2613,2696,-,2703,2710,-,2256,2192,2349,2156,2115,2175,2326,2118,Upgrade
