,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Cash & Equivalents,233.48,293.92,474.81,419.94,201.03,118.19,-,250.88
1,Short-Term Investments,-,-,-,1.11,-,-,-,1.09
2,Trading Asset Securities,769.36,872.75,818.41,1017,-,-,-,-
3,Cash & Short-Term Investments,1003,1167,1293,1438,201.03,118.19,251.97,251.97
4,Cash Growth,398.86%,887.09%,413.24%,470.64%,-,-,-,-
5,Accounts Receivable,1398,1084,1043,915,761.88,818.01,-,661.93
6,Other Receivables,1.92,1.13,2.44,1.42,1.77,0.4,-,-
7,Receivables,1400,1085,1046,916.43,763.66,818.41,-,661.93
8,Inventory,207.72,210.94,163.37,148.65,132.63,97.58,-,123.84
9,Other Current Assets,16.66,19.82,16.01,19.65,21.03,20.13,-,17.74
10,Total Current Assets,2628,2483,2518,2523,1118,1054,-,1055
11,"Property, Plant & Equipment",179.91,150.08,118.65,105.94,111.21,112.57,-,110.32
12,Long-Term Investments,-,38.69,-,38.08,-,-,-,-
13,Other Intangible Assets,39.88,40.06,40.31,40.57,40.63,40.89,-,41.5
14,Long-Term Deferred Tax Assets,15.8,16.87,15.68,15.89,13.41,12.38,-,13.28
15,Long-Term Deferred Charges,7.36,6.39,6.23,6.34,2.55,2.78,-,3.22
16,Other Long-Term Assets,56.92,3.87,42.96,5.26,2.67,3.48,-,2.59
17,Total Assets,2927,2739,2742,2735,1289,1226,-,1226
18,Accounts Payable,755.84,624.21,515.56,488.69,359.95,322.64,-,411.95
19,Accrued Expenses,18.58,71.65,8.35,87.44,15.99,59.96,-,68.7
20,Short-Term Debt,14.7,10,10.37,21.11,52.03,56.06,-,84.15
21,Current Portion of Long-Term Debt,5.5,4.7,-,4.8,-,-,-,-
22,Current Portion of Leases,-,0.8,5.6,1.05,1.01,1.65,-,4.14
23,Current Income Taxes Payable,6.58,6.18,5.67,5.62,9.82,8.1,-,3.86
24,Current Unearned Revenue,0.77,0.18,0.17,0.41,1.14,7.93,-,1.38
25,Other Current Liabilities,127.57,2.09,45.92,3.31,38.5,2.39,-,2.35
26,Total Current Liabilities,929.55,719.81,591.64,612.44,478.43,458.74,-,576.53
27,Long-Term Debt,-,-,-,-,4.9,4.9,-,5
28,Long-Term Leases,1.59,1.95,1.98,2.33,2.1,2.35,-,2.56
29,Total Liabilities,931.14,721.76,593.62,614.77,485.43,465.98,-,584.09
30,Common Stock,108,108,108,108,81,81,-,81
31,Additional Paid-In Capital,1521,1521,1521,1521,114.63,113.36,-,109.55
32,Retained Earnings,423.85,417.22,511.92,483.65,601.6,559.55,-,446.3
33,Treasury Stock,-62.97,-37.76,-,-,-,-,-,-
34,Comprehensive Income & Other,5.99,8.23,7.08,6.85,6.16,6.5,-,5.47
35,Shareholders' Equity,1996,2017,2148,2120,803.39,760.41,642.31,642.31
36,Total Liabilities & Equity,2927,2739,2742,2735,1289,1226,-,1226
37,Total Debt,21.79,17.45,17.95,29.3,60.04,64.96,95.85,95.85
38,Net Cash (Debt),981.05,1149,1275,1409,140.99,53.23,156.13,156.13
39,Net Cash Growth,595.83%,2058.92%,716.82%,802.19%,-,-,-,-
40,Net Cash Per Share,9.02,10.88,11.73,14.36,1.74,0.65,1.94,1.92
41,Filing Date Shares Outstanding,106.11,106.18,108,108,108,81,80.51,81
42,Total Common Shares Outstanding,106.11,106.92,108,108,81,81,80.51,81
43,Working Capital,1698,1763,1927,1910,639.91,595.57,-,478.96
44,Book Value Per Share,18.81,18.87,19.89,19.63,9.92,9.39,7.93,7.93
45,Tangible Book Value,1956,1977,2108,2079,762.76,719.52,600.81,600.81
46,Tangible Book Value Per Share,18.44,18.49,19.52,19.25,9.42,8.88,7.42,7.42
47,Buildings,-,73.55,-,73.55,-,73.55,-,73.55
48,Machinery,-,85.39,-,84.4,-,79.58,-,79.89
49,Construction In Progress,-,53.66,-,9.94,-,12.6,-,6.33
