,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Market Capitalization,4257,3895,3587,4650,6744,-,-,-,-
1,Enterprise Value,3276,2745,2311,4509,6603,-,-,-,-
2,Last Close Price,40.12,36.07,32.66,41.06,59.54,-,-,-,-
3,PE Ratio,27.85,25.68,28.09,33.49,40.39,-,-,-,-
4,Forward PE,16.98,16.22,15.48,16.04,-,-,-,-,-
5,PS Ratio,2.40,2.21,2.65,3.84,5.91,-,-,-,-
6,PB Ratio,2.13,1.95,1.78,2.16,3.18,-,-,-,-
7,P/TBV Ratio,1.99,1.99,1.81,2.21,3.24,-,-,-,-
8,P/FCF Ratio,-,-,-81.01,-,-,-,-,-,-
9,P/OCF Ratio,-,-,340.48,-,-,-,-,-,-
10,EV/Sales Ratio,1.86,1.56,1.70,3.72,5.79,-,-,-,-
11,EV/EBITDA Ratio,24.20,20.47,21.00,33.67,-,-,-,-,-
12,EV/EBIT Ratio,27.15,22.75,23.87,37.41,-,-,-,-,-
13,EV/FCF Ratio,-12.03,-,-52.21,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.07,0.09,0.15,0.15
15,Debt / EBITDA Ratio,0.16,0.08,0.10,0.16,-,0.33,0.24,0.32,1.73
16,Debt / FCF Ratio,-,-,-0.39,-,-,0.51,-,-,0.63
17,Asset Turnover,0.90,0.67,0.44,0.73,0.73,-,-,-,
18,Inventory Turnover,8.25,9.49,7.93,6.16,8.39,5.58,-,-,-
19,Quick Ratio,2.59,2.59,3.13,3.95,3.84,2.02,2.04,-,1.59
20,Current Ratio,2.83,2.83,3.45,4.26,4.12,2.34,2.30,-,1.83
21,Return on Equity (ROE),13.17%,8.78%,5.30%,3.19%,21.51%,32.45%,35.10%,-,
22,Return on Assets (ROA),5.89%,3.60%,2.18%,-1.18%,8.54%,-,-,-,
23,Return on Capital (ROIC),8.24%,4.70%,2.76%,-1.57%,12.72%,20.22%,24.06%,-,
24,Return on Capital Employed (ROCE),6.04%,6.04%,4.80%,5.61%,-,23.00%,18.68%,-,1.41%
25,Earnings Yield,3.56%,3.89%,3.56%,2.99%,2.48%,-,-,-,-
26,FCF Yield,-6.40%,-6.99%,-1.23%,-2.71%,-0.84%,-,-,-,-
27,Dividend Yield,2.76%,-,9.37%,-,4.20%,-,-,-,-
28,Payout Ratio,179.93%,0.54%,308.68%,-,1128.09%,-,1.73%,0.64%,1.40%
29,Buyback Yield / Dilution,-29.98%,-34.44%,-30.01%,-35.05%,-20.52%,-,-,-,-
30,Total Shareholder Return,-27.23%,-34.44%,-20.64%,-35.05%,-16.32%,-,-,-,-
