,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,339.94,429.45,710.54,609.06,738.03,701.12,714.84,145.85,-,132.77,-,89.8,89.8,104.11,104.11
1,Trading Asset Securities,321.58,250.55,-,97.64,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,661.52,680,710.54,706.69,738.03,701.12,714.84,145.85,-,132.77,89.8,89.8,89.8,104.11,104.11
3,Cash Growth,-10.37%,-3.01%,-0.60%,384.53%,-,428.08%,696.01%,62.41%,-,27.52%,-13.74%,-,-,-,-
4,Accounts Receivable,184.47,177.11,150.91,158.73,146.48,139.58,119.91,144.26,-,159.45,-,172.8,172.8,128.15,128.15
5,Other Receivables,7.45,4.24,5.35,2.8,3.25,3.55,23.34,23.49,-,10.45,-,12.35,12.35,13.53,13.53
6,Receivables,191.92,181.35,156.26,161.53,149.73,143.13,143.25,167.76,-,169.9,-,185.15,185.15,141.68,141.68
7,Inventory,116.71,115.15,117.57,118.31,114.53,122.47,133.85,147.45,-,163.64,-,151.43,151.43,142.62,142.62
8,Other Current Assets,9.51,9.87,12.36,8.62,12.43,15.58,14.75,8.35,-,12.23,-,35.7,35.7,10.56,10.56
9,Total Current Assets,979.65,986.38,996.73,995.15,1015,982.3,1007,469.4,-,478.54,-,462.09,462.09,398.97,398.97
10,"Property, Plant & Equipment",580.85,498.06,474.61,472.78,427.06,409.37,408.52,422.96,-,419.28,-,411.63,411.63,400.13,400.13
11,Other Intangible Assets,90.65,91.76,93.01,94.2,91.27,91.84,93.17,94.56,-,83.25,-,83.15,83.15,85.02,85.02
12,Long-Term Deferred Tax Assets,0.57,0.51,0.4,0.39,0.13,0.26,0.51,0.55,-,0.51,-,0.35,0.35,0.3,0.3
13,Long-Term Deferred Charges,4.21,3.17,3.41,3.71,5.16,5.49,5.32,2.48,-,2.74,-,1.65,1.65,0.19,0.19
14,Other Long-Term Assets,21.13,36.82,27.05,13.47,22.78,29.04,22.65,16.43,-,44.32,-,52.57,52.57,61.26,61.26
15,Total Assets,1677,1617,1595,1580,1561,1518,1537,1006,-,1029,-,1011,1011,945.87,945.87
16,Accounts Payable,135.31,94.4,84.75,108.71,82.83,61.43,73.1,82.29,-,64.6,-,85.44,85.44,95.21,95.21
17,Accrued Expenses,17.45,18.54,11.51,30.04,17.16,20.75,9.59,24.71,-,20.52,-,28.98,28.98,19.35,19.35
18,Short-Term Debt,154.74,138.57,133.98,109.33,144.46,130.9,125.77,97.93,-,175.65,-,168.81,168.81,209.81,209.81
19,Current Portion of Leases,0.21,0.21,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Current Income Taxes Payable,7.51,7.04,6.83,3.45,7.64,6.19,4.22,3.71,-,3.85,-,13.51,13.51,8.29,8.29
21,Current Unearned Revenue,13.01,9.5,9.86,8.71,13.53,11.44,15.26,8.59,-,10.03,-,16.11,16.11,12.45,12.45
22,Other Current Liabilities,2.7,4.51,4.01,1.66,2.06,27.81,7.55,1.35,-,25.88,-,29.98,29.98,1.41,1.41
23,Total Current Liabilities,330.93,272.77,250.94,261.9,267.68,258.52,235.5,218.57,-,300.52,-,342.83,342.83,346.51,346.51
24,Long-Term Leases,3.35,3.7,0.16,0.16,0.29,0.4,0.42,0.42,-,0.54,-,0.67,0.67,0.91,0.91
25,Long-Term Unearned Revenue,18.21,18.98,19.74,20.51,20.47,15.12,14.25,14.77,-,8.96,-,9.7,9.7,11.48,11.48
26,Long-Term Deferred Tax Liabilities,7.74,9.23,9.56,10.26,7.16,8.19,9.23,9.43,-,9.82,-,7.23,7.23,7.7,7.7
27,Other Long-Term Liabilities,-,-,-,-,-,-,40.92,41.47,-,39.56,-,36.8,36.8,36.65,36.65
28,Total Liabilities,360.23,304.68,280.4,292.82,295.6,282.23,300.33,284.65,-,359.4,-,397.24,397.24,403.25,403.25
29,Common Stock,116,116,116,116,116,116,116,87,-,87,-,87,87,87,87
30,Additional Paid-In Capital,720.05,719.89,719.74,719.56,719.33,719.16,719,251.48,-,251.15,-,250.83,250.83,250.52,250.52
31,Retained Earnings,485.84,479.75,482.47,454.65,433.35,404.14,403.26,385.51,-,332.22,-,275.7,275.7,204.83,204.83
32,Comprehensive Income & Other,-4.42,-3.14,-3.34,-3.33,-3.14,-3.23,-1.73,-2.28,-,-1.13,-,0.68,0.68,0.26,0.26
33,Total Common Equity,1317,1313,1315,1287,1266,1236,1237,721.71,-,669.24,614.2,614.2,614.2,542.61,542.61
34,Minority Interest,-0.65,-0.49,-0.05,-,-,-,-,-,-,-,-,-,-,-,-
35,Shareholders' Equity,1317,1312,1315,1287,1266,1236,1237,721.71,-,669.24,614.2,614.2,614.2,542.61,542.61
36,Total Liabilities & Equity,1677,1617,1595,1580,1561,1518,1537,1006,-,1029,-,1011,1011,945.87,945.87
