,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Operating Revenue,517.26,478.53,418.15,389.9,454.57,441.27,374.57,420.83
1,Other Revenue,-8.06,8.06,-,15.72,-7.73,7.73,-,13.77
2,Revenue,509.21,486.58,418.15,405.62,446.84,449,374.57,434.6
3,Revenue Growth (YoY),13.96%,8.37%,11.64%,-6.67%,-,-,-,-
4,Cost of Revenue,343.13,334.64,291.89,290.5,301.35,312.59,264.78,301.92
5,Gross Profit,166.08,151.94,126.27,115.12,145.49,136.41,109.79,132.69
6,"Selling, General & Admin",37.79,39.18,32.11,38.8,34.05,29.77,29.37,34.08
7,Research & Development,26.95,25.71,21.98,23.12,24.4,24.16,21.84,24
8,Other Operating Expenses,-2.79,4.56,0.73,-1.2,-3.72,2.17,2.87,1.08
9,Operating Expenses,62.77,73.71,57.08,61.79,55.12,58.98,55.85,59.94
10,Operating Income,103.31,78.23,69.19,53.33,90.38,77.43,53.94,72.75
11,Interest Expense,-1.76,-2.3,-1.75,-0.72,-3.74,-4.49,-3.84,-5.15
12,Interest & Investment Income,4.6,6.21,4.83,2.03,0.39,0.15,0.7,1.59
13,Currency Exchange Gain (Loss),-2.85,2.85,-,11.84,-11.67,11.67,-,24.22
14,Other Non Operating Income (Expenses),4.11,0.24,-0.65,-6.74,8.86,4.02,-4.21,-21.82
15,EBT Excluding Unusual Items,107.42,85.23,71.62,59.74,84.21,88.79,46.59,71.59
16,Gain (Loss) on Sale of Investments,-0.79,-0.08,0.35,-1.48,6.25,-3.78,-0.88,-1.61
17,Gain (Loss) on Sale of Assets,-0.04,-0.21,0,0.03,-0.01,0.01,-0.1,-0.04
18,Asset Writedown,-3.72,6.69,-6.82,4.52,-4.85,1.97,-2.18,6.59
19,Other Unusual Items,-3.87,2.75,-0.28,0.3,-,-,-,0.56
20,Pretax Income,99,94.38,64.88,63.12,85.6,86.98,43.44,77.1
21,Income Tax Expense,11.07,11.23,8.09,8.31,9.3,10.48,2.24,3.22
22,Earnings From Continuing Operations,87.93,83.15,56.79,54.8,76.3,76.5,41.2,73.88
23,Minority Interest in Earnings,0.29,0.3,0.31,0.3,0.31,0.3,0.29,0.32
24,Net Income,88.22,83.46,57.09,55.11,76.61,76.8,41.48,74.19
25,Net Income to Common,88.22,83.46,57.09,55.11,76.61,76.8,41.48,74.19
26,Net Income Growth,15.16%,8.66%,37.62%,-25.73%,-,-,-,-
27,Shares Outstanding (Basic),401,395,408,397,366,371,346,351
28,Shares Outstanding (Diluted),401,395,408,397,366,371,346,351
29,Shares Change (YoY),9.58%,6.50%,17.96%,13.30%,-,-,-,-
30,EPS (Basic),0.22,0.21,0.14,0.14,0.21,0.21,0.12,0.21
31,EPS (Diluted),0.22,0.21,0.14,0.14,0.21,0.21,0.12,0.21
32,EPS Growth,5.09%,2.03%,16.67%,-34.44%,-,-,-,-
33,Free Cash Flow,69.82,4.22,-32.03,98.77,114.45,46.56,-2.66,62
34,Free Cash Flow Per Share,0.17,0.01,-0.08,0.25,0.31,0.13,-0.01,0.18
35,Dividend Per Share,-,-,-,0.500,-,-,-,-
36,Gross Margin,32.62%,31.23%,30.20%,28.38%,32.56%,30.38%,29.31%,30.53%
37,Operating Margin,20.29%,16.08%,16.55%,13.15%,20.23%,17.25%,14.40%,16.74%
38,Profit Margin,17.33%,17.15%,13.65%,13.59%,17.14%,17.11%,11.07%,17.07%
39,Free Cash Flow Margin,13.71%,0.87%,-7.66%,24.35%,25.61%,10.37%,-0.71%,14.27%
40,EBITDA,127.84,104.89,93.72,77.87,112.31,102.46,75.88,94.69
41,EBITDA Margin,25.11%,21.56%,22.41%,19.20%,25.14%,22.82%,20.26%,21.79%
42,D&A For EBITDA,24.54,26.66,24.54,24.54,21.94,25.03,21.94,21.94
43,EBIT,103.31,78.23,69.19,53.33,90.38,77.43,53.94,72.75
44,EBIT Margin,20.29%,16.08%,16.55%,13.15%,20.23%,17.25%,14.40%,16.74%
45,Effective Tax Rate,11.18%,11.90%,12.47%,13.17%,10.86%,12.05%,5.16%,4.18%
46,Revenue as Reported,509.21,486.58,418.15,405.62,446.84,449,374.57,434.6
