,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,597.95,820.7,1103,306.11,-,268.14,-
1,Trading Asset Securities,470,200,-,-,-,-,-
2,Cash & Short-Term Investments,1068,1021,1103,306.11,-,268.14,220.83
3,Cash Growth,-,280.66%,399.45%,-,-,-,-
4,Accounts Receivable,852.59,974.33,942.37,812.01,-,925.15,-
5,Other Receivables,39.65,38.17,34.86,37.28,-,63.1,-
6,Receivables,892.24,1013,977.23,849.29,-,988.25,-
7,Inventory,1700,1633,1640,1774,-,1663,-
8,Other Current Assets,316.64,349.26,423.9,353.68,-,412.64,-
9,Total Current Assets,3977,4016,4144,3284,-,3332,-
10,"Property, Plant & Equipment",89.34,91.09,89.33,91.25,-,89.76,-
11,Goodwill,47.43,47.43,47.43,47.43,-,47.43,-
12,Other Intangible Assets,39.59,11.21,11.44,11.67,-,11.31,-
13,Long-Term Accounts Receivable,27.81,22.18,-,27.15,-,28.97,-
14,Long-Term Deferred Tax Assets,20.06,18.19,16.62,17.16,-,13.7,-
15,Other Long-Term Assets,18.09,35.19,42.8,18.62,-,18.93,-
16,Total Assets,4219,4241,4352,3497,-,3542,-
17,Accounts Payable,1012,933.16,890.02,911.37,-,911.93,-
18,Accrued Expenses,36.44,44.51,29.66,49.3,-,41.85,-
19,Current Portion of Long-Term Debt,4.87,-,-,12.01,-,12.01,-
20,Current Portion of Leases,-,4.82,-,3.79,-,3.7,-
21,Current Income Taxes Payable,17.58,1.03,12.89,5.71,-,2.36,-
22,Current Unearned Revenue,1560,1714,1776,1721,-,1870,-
23,Other Current Liabilities,63.19,68.82,103.86,91.97,-,81.19,-
24,Total Current Liabilities,2694,2766,2812,2796,-,2923,-
25,Long-Term Leases,5.11,5.06,6.1,8.14,-,7.95,-
26,Long-Term Unearned Revenue,0.54,0.54,0.54,0.54,-,4.87,-
27,Long-Term Deferred Tax Liabilities,0.37,0.58,0.37,0.34,-,0.6,-
28,Total Liabilities,2700,2772,2819,2805,-,2937,-
29,Common Stock,162.23,162.23,162.23,121.67,-,121.67,-
30,Additional Paid-In Capital,996.46,996.44,996.42,238.69,-,238.65,-
31,Retained Earnings,360.49,309.87,373.09,331.86,-,245.52,-
32,Comprehensive Income & Other,-,-,1.16,-,-,-,-
33,Shareholders' Equity,1519,1469,1533,692.21,-,605.84,536.9
34,Total Liabilities & Equity,4219,4241,4352,3497,-,3542,-
35,Total Debt,9.97,9.88,6.1,23.94,-,23.66,27.54
36,Net Cash (Debt),1058,1011,1097,282.17,-,244.48,193.29
37,Net Cash Growth,-,313.46%,467.45%,-,-,-,-
38,Net Cash Per Share,6.43,6.21,7.45,2.37,-,2.04,1.58
39,Filing Date Shares Outstanding,162.23,162.23,162.23,162.23,124.41,121.67,122.16
40,Total Common Shares Outstanding,162.23,162.23,162.23,121.67,124.41,121.67,122.16
41,Working Capital,1283,1249,1332,487.95,-,409.15,-
42,Book Value Per Share,9.36,9.05,9.45,5.69,-,4.98,4.41
43,Tangible Book Value,1432,1410,1474,633.12,-,547.1,477.68
44,Tangible Book Value Per Share,8.83,8.69,9.09,5.20,-,4.50,3.93
45,Buildings,-,74.39,-,74.39,-,74.39,-
46,Machinery,-,18.42,-,16.96,-,11.82,-
