,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,426.45,430.51,999.59,1023,970.74,100.26,95.96,67.18,-,-,-
1,Trading Asset Securities,400.17,350.42,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,826.62,780.94,999.59,1023,970.74,100.26,95.96,67.18,-,-,59.9
3,Cash Growth,-14.85%,678.95%,941.63%,1422.38%,-,-,60.21%,-,-,-,-
4,Accounts Receivable,284.69,303.06,253.72,250.13,269.58,262,223.72,259.45,-,-,-
5,Other Receivables,2.64,-0.36,3.16,0.4,2.17,1.11,1.03,1.21,-,-,-
6,Receivables,287.33,302.71,256.88,250.53,271.76,263.11,224.75,260.66,-,-,-
7,Inventory,252.42,224.21,191.71,170.95,145.48,166.9,178.34,165.2,-,-,-
8,Other Current Assets,20.69,21.7,7.09,8.97,3.7,22.67,18.76,16.29,-,-,-
9,Total Current Assets,1387,1330,1455,1453,1392,552.94,517.82,509.33,-,-,-
10,"Property, Plant & Equipment",446.92,440.51,426.61,424.31,416.31,413.41,416.27,416.78,-,-,-
11,Other Intangible Assets,65.15,65.8,66.37,59.33,59.08,59.56,60.02,60.54,-,-,-
12,Long-Term Deferred Tax Assets,12.69,11.22,8.95,8.13,13.53,12.85,7.87,7.84,-,-,-
13,Long-Term Deferred Charges,9.41,9.1,6.07,5.83,5.57,6.56,4.93,5.48,-,-,-
14,Other Long-Term Assets,204.42,203.98,8.16,4.14,3.9,1.92,2.01,1.99,-,-,-
15,Total Assets,2126,2060,1971,1955,1890,1047,1009,1002,-,-,-
16,Accounts Payable,254.51,247.55,174.8,182.67,155.82,172.97,172.19,204.55,-,-,-
17,Accrued Expenses,16.27,19.38,14.85,26.07,13.58,15.12,14.66,20.66,-,-,-
18,Short-Term Debt,-,19.81,19.82,19.82,49.44,147.71,147.9,128.28,-,-,-
19,Current Portion of Long-Term Debt,2.02,-,2.08,-,2.08,27.17,27.7,25.28,-,-,-
20,Current Portion of Leases,-,2.14,-,2.08,-,2.07,1.95,2.05,-,-,-
21,Current Income Taxes Payable,13.02,7.36,9.23,7.42,9.54,3.73,3.36,5.49,-,-,-
22,Current Unearned Revenue,16.32,12.75,9.67,10.1,2.21,11.33,4.69,4.31,-,-,-
23,Other Current Liabilities,8.58,4.23,4.9,6.26,7.08,7.25,7.94,15.09,-,-,-
24,Total Current Liabilities,310.73,313.22,235.34,254.42,239.74,387.36,380.39,405.71,-,-,-
25,Long-Term Debt,-,-,-,-,-,13.31,26.62,25.02,-,-,-
26,Long-Term Leases,19.11,18.64,19.08,19.6,20.4,21.07,21.79,22.36,-,-,-
27,Long-Term Unearned Revenue,28.74,27.08,19.34,19.41,18.78,18.44,16.54,16.47,-,-,-
28,Long-Term Deferred Tax Liabilities,0.03,0.06,0.01,0.01,4.41,4.56,0.01,0.01,-,-,-
29,Total Liabilities,358.61,359.01,273.77,293.43,283.34,444.73,445.34,469.58,-,-,-
30,Common Stock,363.74,363.74,280,280,280,210,210,210,-,-,-
31,Additional Paid-In Capital,912.87,912.6,996.07,995.8,995.53,95.2,94.93,94.66,-,-,-
32,Retained Earnings,513.11,447.52,432.47,385.64,331.51,297.31,258.84,227.84,-,-,-
33,Treasury Stock,-22.52,-22.52,-10.89,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-0.16,-0.2,-0,0,-0.3,-0,-0.18,-0.12,-,-,-
35,Shareholders' Equity,1767,1701,1698,1661,1607,602.5,563.58,532.38,-,-,397.7
36,Total Liabilities & Equity,2126,2060,1971,1955,1890,1047,1009,1002,-,-,-
37,Total Debt,21.13,40.59,40.97,41.49,71.92,211.33,225.95,203,-,-,147.32
38,Net Cash (Debt),805.48,740.35,958.61,981.2,898.82,-111.08,-129.99,-135.82,-,-,-87.42
39,Net Cash Growth,-10.38%,-,-,-,-,-,-,-,-,-,-
40,Net Cash Per Share,2.21,2.04,2.68,2.74,2.57,-0.36,-0.48,-0.51,-,-,-0.33
41,Filing Date Shares Outstanding,362.81,362.81,358.05,364,364,364,273,273,272.24,279.93,268.94
42,Total Common Shares Outstanding,362.81,362.81,358.05,364,364,273,273,273,272.24,279.93,268.94
43,Working Capital,1076,1016,1220,1199,1152,165.58,137.43,103.62,-,-,-
44,Book Value Per Share,4.87,4.69,4.74,4.56,4.41,2.21,2.06,1.95,-,-,1.46
45,Tangible Book Value,1702,1635,1631,1602,1548,542.94,503.56,471.83,-,-,335.63
46,Tangible Book Value Per Share,4.69,4.51,4.56,4.40,4.25,1.99,1.84,1.73,-,-,1.23
47,Buildings,-,273.89,-,270.68,-,264.47,248.27,247.56,-,-,-
48,Machinery,-,256.19,-,236.54,-,217.18,207.25,203.6,-,-,-
49,Construction In Progress,-,21.87,-,8.04,-,5.22,25.21,21.38,-,-,-
