,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,164.62,160.16,293.79,391.44,341.77,486.13,500,747.4,98.23,-,-,187.67
1,Trading Asset Securities,1.5,-,-,-,-,-,98,-,6.04,-,-,-
2,Cash & Short-Term Investments,166.12,160.16,293.79,391.44,341.77,486.13,598,747.4,104.27,-,187.67,187.67
3,Cash Growth,-51.39%,-67.05%,-50.87%,-47.63%,227.79%,-,218.65%,298.26%,-,-,-,-
4,Accounts Receivable,544.85,478.05,293.85,191.25,174.51,108.45,121.77,49.64,63.64,-,-,34.06
5,Other Receivables,11.54,3.55,4.45,3.73,3.1,5.67,9.24,1.87,2.19,-,-,2.69
6,Receivables,556.39,481.6,298.3,194.98,177.61,114.12,131.01,51.51,65.83,-,-,36.75
7,Inventory,162.03,146.86,163.18,182.48,135.84,95.42,111.5,185.17,104.86,-,-,100.9
8,Prepaid Expenses,-,0.9,-,0.06,-,0.27,-,0.03,-,-,-,-
9,Other Current Assets,56.26,50.56,37.89,35.47,78.86,65.6,56.37,23.32,31.68,-,-,16.87
10,Total Current Assets,940.8,840.08,793.16,804.45,734.08,761.53,896.88,1007,306.64,-,-,342.19
11,"Property, Plant & Equipment",720.06,647.66,545.86,554.19,522.93,421.88,362.52,306.55,287.27,-,-,144.4
12,Long-Term Investments,5.43,5.43,5.41,5.41,5.41,5.41,5.4,5.4,5.39,-,-,5.38
13,Other Intangible Assets,84.64,75.82,66.27,66.72,58.02,55.65,53.61,53.9,54.21,-,-,48.3
14,Long-Term Deferred Tax Assets,12.73,12.07,9.89,8.61,4.47,3.02,3.31,4.98,2.35,-,-,1.69
15,Long-Term Deferred Charges,0.19,-,0.9,0.02,0.04,0.05,0.06,0.1,0.14,-,-,0.34
16,Other Long-Term Assets,2.88,4.33,52.21,31.63,19.23,9.39,17.16,14.8,2.75,-,-,7.2
17,Total Assets,1767,1585,1474,1471,1344,1257,1339,1393,658.74,-,-,549.49
18,Accounts Payable,193.47,105.85,57.54,76.68,53.21,28.92,32.97,86.83,38.05,-,-,46.42
19,Accrued Expenses,6.41,16.49,4.89,10.83,4.56,21.47,3.92,9.05,4.13,-,-,26.61
20,Short-Term Debt,171.5,139.5,99.5,89.58,10,-,10,20.02,30,-,-,20.02
21,Current Portion of Leases,25.48,1.21,2.18,2.35,1.15,1.15,3.82,3.83,2.12,-,-,1.48
22,Current Income Taxes Payable,5.99,2.04,5.14,5.85,5.54,4.8,4.83,10.18,7.42,-,-,8
23,Current Unearned Revenue,11.9,5.64,13.49,10.41,10.46,5.1,5.49,9.85,31.29,-,-,10.75
24,Other Current Liabilities,48.4,39.43,15.09,20.45,29.65,0.9,19.91,17.07,25.61,-,-,3.8
25,Total Current Liabilities,463.16,310.16,197.83,216.16,114.58,62.35,80.94,156.85,138.61,-,-,117.08
26,Long-Term Leases,13.41,12.05,11.36,11.41,12.7,2.32,2.64,2.78,4.4,-,-,2.5
27,Long-Term Unearned Revenue,1.72,1.78,1.84,1.91,1.97,2.04,2.15,2.22,2.29,-,-,2.74
28,Long-Term Deferred Tax Liabilities,4.03,4.14,4.29,4.3,-,-,-,1.4,-,-,-,-
29,Other Long-Term Liabilities,18.33,28.75,-,-,-,-,-,-,-,-,-,-
30,Total Liabilities,500.65,356.88,215.33,233.77,129.25,66.71,85.74,163.25,145.3,-,-,122.33
31,Common Stock,168,168,168,168,168,168,168,168,126,-,-,126
32,Additional Paid-In Capital,-,715.04,715.04,715.04,715.04,715.04,715.04,715.04,74.12,-,-,74.12
33,Retained Earnings,352.98,334.91,365.42,345.08,328.97,305.57,368.46,345.2,311.47,-,-,224.76
34,Comprehensive Income & Other,715.04,-,-,-,-,-,-,-,-,-,-,-
35,Total Common Equity,1236,1218,1248,1228,1212,1189,1252,1228,511.59,-,424.88,424.88
36,Minority Interest,30.07,10.55,9.92,9.12,2.91,1.6,1.7,1.67,1.85,-,-,2.28
37,Shareholders' Equity,1266,1229,1258,1237,1215,1190,1253,1230,513.44,-,427.16,427.16
38,Total Liabilities & Equity,1767,1585,1474,1471,1344,1257,1339,1393,658.74,-,-,549.49
39,Total Debt,210.39,152.77,113.04,103.34,23.85,3.47,16.45,26.63,36.52,-,24.01,24.01
40,Net Cash (Debt),-44.26,7.4,180.75,288.1,317.92,482.66,581.55,720.78,67.75,-,163.66,163.66
41,Net Cash Growth,-,-98.47%,-68.92%,-60.03%,369.29%,-,255.34%,340.41%,-,-,-,-
42,Net Cash Per Share,-0.26,0.04,1.08,1.71,1.89,2.87,3.46,4.68,0.54,-,1.30,1.30
43,Filing Date Shares Outstanding,168,168,168,168,168,168,168,168,168,125.97,126.01,126
44,Total Common Shares Outstanding,168,168,168,168,168,168,168,168,126,125.97,126.01,126
45,Working Capital,477.64,529.92,595.33,588.28,619.5,699.18,815.94,850.59,168.03,-,-,225.11
46,Book Value Per Share,7.36,7.25,7.43,7.31,7.21,7.08,7.45,7.31,4.06,-,3.37,3.37
47,Tangible Book Value,1151,1142,1182,1161,1154,1133,1198,1174,457.38,-,376.58,376.58
