,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,2065,1782,1939,2228,2535,2664,2745,3313,3535,-,-,-,-
1,Market Cap Growth,-33.10%,-33.10%,-29.38%,-32.76%,-28.28%,-,-,-,-,-,-,-,-
2,Enterprise Value,2139,1786,1768,1913,2220,2183,2165,2594,3469,-,-,-,-
3,Last Close Price,12.29,10.61,11.34,13.03,14.83,15.59,16.06,18.84,20.10,-,-,-,-
4,PE Ratio,35.17,30.36,30.87,27.56,30.22,26.23,25.48,28.26,29.35,-,-,-,-
5,Forward PE,16.84,14.53,15.81,12.00,14.37,15.09,16.34,18.96,21.63,-,-,-,-
6,PS Ratio,0.97,0.84,1.07,1.33,1.54,1.65,1.67,1.94,2.13,-,-,-,-
7,PB Ratio,1.67,1.41,1.58,1.77,2.05,2.19,2.31,2.64,2.87,-,-,-,-
8,P/TBV Ratio,1.55,1.55,1.70,1.88,2.18,2.31,2.42,2.77,3.01,-,-,-,-
9,P/FCF Ratio,-,-6.24,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-10.91,-,-,-46.75,-,-242.10,-,59.84,-,-,-,-
11,EV/Sales Ratio,1.01,0.84,0.98,1.15,1.35,1.36,1.32,1.52,2.09,-,-,-,-
12,EV/EBITDA Ratio,20.75,18.93,19.00,17.28,20.15,18.77,17.36,19.40,25.97,-,-,-,-
13,EV/EBIT Ratio,33.65,28.09,26.85,21.57,24.21,21.53,19.62,21.22,28.27,-,-,-,-
14,EV/FCF Ratio,-7.48,-6.25,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.17,0.17,0.12,0.09,0.08,0.02,0.00,0.01,0.02,0.07,-,0.06,0.06
16,Debt / EBITDA Ratio,2.04,1.86,3.03,1.01,0.90,0.22,0.03,0.15,0.19,0.26,-,0.22,0.14
17,Debt / FCF Ratio,-,-0.74,-,-,-,-,-,-,-,-,-,-,0.57
18,Asset Turnover,1.74,1.26,1.12,1.41,1.27,1.07,1.14,1.80,-,-,-,-,
19,Inventory Turnover,12.87,17.43,11.38,8.29,11.17,12.33,11.46,9.06,11.05,-,-,-,-
20,Quick Ratio,1.56,1.56,2.07,2.99,2.71,4.53,9.63,9.01,5.09,1.23,-,-,1.92
21,Current Ratio,2.03,2.03,2.71,4.01,3.72,6.41,12.21,11.08,6.42,2.21,-,-,2.92
22,Return on Equity (ROE),6.26%,1.20%,6.62%,5.24%,7.73%,6.88%,7.54%,15.39%,-,-,24.89%,-,
23,Return on Assets (ROA),3.22%,0.08%,3.64%,3.55%,4.59%,4.49%,4.48%,7.24%,-,-,-,-,
24,Return on Capital (ROIC),3.78%,0.09%,3.95%,3.88%,4.91%,4.74%,4.84%,8.22%,-,-,13.83%,-,
25,Return on Capital Employed (ROCE),4.88%,4.88%,5.16%,6.95%,7.31%,8.25%,9.24%,9.72%,9.93%,25.39%,-,-,9.04%
26,Earnings Yield,2.84%,3.29%,3.24%,3.63%,3.31%,3.81%,3.93%,3.54%,3.41%,-,-,-,-
27,FCF Yield,-13.84%,-16.04%,-22.93%,-12.68%,-12.41%,-12.20%,-6.93%,-3.72%,-3.21%,-,-,-,-
28,Dividend Yield,1.64%,-,-,-,1.35%,-,-,-,2.49%,-,-,-,-
29,Payout Ratio,66.05%,191.48%,28.19%,3.36%,2.08%,-,398.24%,0.48%,0.84%,1.44%,1.14%,1.05%,0.53%
30,Buyback Yield / Dilution,-2.17%,-0.17%,0.14%,-0.05%,-9.18%,-33.22%,-33.43%,-33.29%,-22.20%,-,-,-,-
31,Total Shareholder Return,-0.53%,-0.17%,0.14%,-0.05%,-7.83%,-33.22%,-33.43%,-33.29%,-19.71%,-,-,-,-
