,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,2850,2718,2755,3073,3514,3712,3672,3762,-,-,-,-
1,Market Cap Growth,-26.77%,-26.77%,-24.97%,-18.31%,-,-,-,-,-,-,-,-
2,Enterprise Value,3382,3084,2852,2947,3388,3506,3276,4141,-,-,-,-
3,Last Close Price,23.75,22.59,22.90,25.13,28.73,30.35,30.02,30.45,-,-,-,-
4,PE Ratio,27.38,26.32,19.94,20.50,23.41,24.24,25.56,25.15,-,-,-,-
5,PS Ratio,1.59,1.52,1.49,1.71,2.04,2.34,2.44,2.74,-,-,-,-
6,PB Ratio,1.36,1.29,1.31,1.45,1.71,1.82,-,1.89,-,-,-,-
7,P/TBV Ratio,1.40,1.40,1.43,1.57,1.85,1.98,-,2.05,-,-,-,-
8,P/OCF Ratio,-,-,-,-,-,-410.68,-,-,-,-,-,-
9,EV/Sales Ratio,1.90,1.73,1.54,1.64,1.97,2.21,2.17,3.01,-,-,-,-
10,EV/EBITDA Ratio,13.14,11.20,9.28,9.39,10.74,11.02,10.44,12.51,-,-,-,-
11,EV/EBIT Ratio,25.31,20.56,15.60,15.08,17.09,17.37,16.20,18.77,-,-,-,-
12,Debt / Equity Ratio,0.49,0.49,0.43,0.31,0.22,0.19,-,0.17,0.48,-,0.50,0.51
13,Debt / EBITDA Ratio,4.00,4.37,3.35,1.58,2.31,1.08,-,0.79,2.70,-,1.53,1.54
14,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-103.14,-,30.91,508.82
15,Asset Turnover,0.37,0.51,0.46,-,-,-,0.47,-,-,-,-,
16,Inventory Turnover,2.33,1.63,2.26,1.79,-,-,-,2.32,-,-,-,-
17,Quick Ratio,1.15,1.15,1.15,1.12,1.09,1.20,-,1.45,0.79,-,0.91,-
18,Current Ratio,1.73,1.73,1.68,1.71,1.61,1.75,-,2.00,1.23,-,1.35,-
19,Return on Equity (ROE),0.87%,4.85%,10.45%,-,-,-,13.87%,-,-,15.98%,-,
20,Return on Assets (ROA),1.90%,2.02%,5.06%,-,-,-,6.63%,-,-,-,-,
21,Return on Capital (ROIC),2.36%,2.62%,6.92%,-,-,-,9.41%,-,-,9.57%,-,
22,Return on Capital Employed (ROCE),5.76%,6.46%,8.05%,8.80%,9.47%,9.69%,-,10.55%,15.98%,-,9.86%,-
23,Earnings Yield,3.62%,3.80%,5.02%,4.88%,4.27%,4.13%,3.91%,3.98%,-,-,-,-
24,FCF Yield,-13.35%,-14.00%,-14.43%,-15.02%,-9.74%,-7.78%,-6.38%,-1.99%,-,-,-,-
25,Dividend Yield,0.49%,-,2.01%,-,1.39%,-,-,-,-,-,-,-
26,Payout Ratio,68.13%,168.80%,214.52%,10.02%,21.85%,15.29%,121.93%,-,31.18%,23.83%,22.82%,52.66%
27,Buyback Yield / Dilution,-10.57%,2.26%,0.83%,-21.82%,-30.42%,-33.84%,-51.29%,0.48%,-,-,-,-
28,Total Shareholder Return,-10.08%,2.26%,2.84%,-21.82%,-29.03%,-33.84%,-51.29%,0.48%,-,-,-,-
