,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,14205,9484,7440,6433,7356,-,-,-,-,-,-
1,Enterprise Value,13812,7806,7312,5885,6808,-,-,-,-,-,-
2,Last Close Price,35.11,23.27,18.26,15.65,17.89,-,-,-,-,-,-
3,PE Ratio,46.23,30.97,25.96,26.76,32.54,-,-,-,-,-,-
4,Forward PE,45.27,29.86,25.90,23.60,26.80,-,-,-,-,-,-
5,PS Ratio,11.35,7.61,6.21,6.14,7.12,-,-,-,-,-,-
6,PB Ratio,6.96,4.65,3.66,3.29,3.83,-,-,-,-,-,-
7,P/TBV Ratio,4.69,4.69,3.69,3.32,3.87,-,-,-,-,-,-
8,P/FCF Ratio,73.14,48.83,29.34,-,30.79,-,-,-,-,-,-
9,P/OCF Ratio,39.18,39.18,28.03,-,29.13,-,-,-,-,-,-
10,EV/Sales Ratio,11.08,6.26,6.10,5.62,6.59,-,-,-,-,-,-
11,EV/EBITDA Ratio,42.66,24.40,23.78,22.07,26.06,-,-,-,-,-,-
12,EV/EBIT Ratio,45.99,25.99,25.34,23.78,28.06,-,-,-,-,-,-
13,EV/FCF Ratio,71.11,40.19,28.84,-,28.50,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,-,0.01,0.01,-,0.02
15,Debt / EBITDA Ratio,0.01,0.01,0.01,0.03,0.03,0.01,-,0.07,0.06,-,0.05
16,Debt / FCF Ratio,0.02,0.02,0.01,-,0.02,0.02,-,-,0.07,-,0.21
17,Asset Turnover,0.53,1.07,0.33,-,-,-,-,-,-,-,
18,Inventory Turnover,4.67,3.32,6.20,2.53,-,-,-,-,-,-,-
19,Quick Ratio,2.37,2.37,8.68,1.40,16.93,7.16,-,-,3.97,-,-
20,Current Ratio,10.60,10.60,9.62,16.69,18.04,8.60,-,-,5.28,-,-
21,Return on Equity (ROE),15.88%,28.98%,7.32%,-,-,-,11.69%,-,-,-,
22,Return on Assets (ROA),9.68%,18.15%,3.33%,-,-,-,-,-,-,-,
23,Return on Capital (ROIC),10.56%,19.52%,3.50%,-,-,-,7.63%,-,-,-,
24,Return on Capital Employed (ROCE),14.70%,14.70%,14.18%,12.63%,12.61%,25.98%,-,-,15.73%,-,-
25,Earnings Yield,2.16%,3.23%,3.85%,3.74%,3.07%,-,-,-,-,-,-
26,FCF Yield,1.37%,2.05%,3.41%,3.86%,3.25%,-,-,-,-,-,-
27,Dividend Yield,0.53%,-,1.92%,-,0.95%,-,-,-,-,-,-
28,Payout Ratio,22.46%,-,47.58%,-,-,-,-,-,-,4.33%,4.33%
29,Buyback Yield / Dilution,-19.70%,-18.88%,-28.29%,-11.95%,-20.22%,0.34%,3.19%,-,-,-,-
30,Total Shareholder Return,-19.17%,-18.88%,-26.38%,-11.95%,-19.27%,0.34%,3.19%,-,-,-,-
