,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024"
0,Cash & Equivalents,159.16,295.58,295.58
1,Trading Asset Securities,150.08,-,-
2,Cash & Short-Term Investments,309.23,295.58,295.58
3,Accounts Receivable,232.08,205.87,205.87
4,Other Receivables,7.67,6.73,6.73
5,Receivables,239.75,212.6,212.6
6,Inventory,163.67,162.98,162.98
7,Other Current Assets,15.74,11.44,11.44
8,Total Current Assets,728.38,682.59,682.59
9,"Property, Plant & Equipment",372.63,372.89,372.89
10,Other Intangible Assets,58.79,59.19,59.19
11,Long-Term Deferred Tax Assets,24.54,24.18,24.18
12,Long-Term Deferred Charges,5.09,5.73,5.73
13,Other Long-Term Assets,1.53,2.48,2.48
14,Total Assets,1191,1147,1147
15,Accounts Payable,112.26,88.82,88.82
16,Accrued Expenses,14.65,26.87,26.87
17,Current Income Taxes Payable,7.88,4.13,4.13
18,Current Unearned Revenue,11.83,6.2,6.2
19,Other Current Liabilities,1.37,10.97,10.97
20,Total Current Liabilities,147.99,136.99,136.99
21,Long-Term Unearned Revenue,35.58,36.46,36.46
22,Long-Term Deferred Tax Liabilities,0.61,0.62,0.62
23,Total Liabilities,184.19,174.07,174.07
24,Common Stock,90,90,90
25,Additional Paid-In Capital,354.1,352.82,352.82
26,Retained Earnings,562.68,530.17,530.17
27,Shareholders' Equity,1007,972.98,972.98
28,Total Liabilities & Equity,1191,1147,1147
29,Net Cash (Debt),309.23,295.58,295.58
30,Net Cash Per Share,3.44,3.28,3.28
31,Filing Date Shares Outstanding,90,90,90
32,Total Common Shares Outstanding,90,90,90
33,Working Capital,580.39,545.6,545.6
34,Book Value Per Share,11.19,10.81,10.81
35,Tangible Book Value,947.99,913.8,913.8
36,Tangible Book Value Per Share,10.53,10.15,10.15
37,Buildings,-,294.63,294.63
38,Machinery,-,329.51,329.51
39,Construction In Progress,-,12.44,12.44
