,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024"
0,Other Revenue,-3.19,1.6,1.6
1,Revenue,278.41,252.26,252.26
2,Cost of Revenue,209.13,197.33,197.33
3,Gross Profit,69.28,54.94,54.94
4,"Selling, General & Admin",14.28,14.5,14.5
5,Research & Development,10.68,9.73,9.73
6,Other Operating Expenses,1.21,1.25,1.25
7,Operating Expenses,24.56,24.73,24.73
8,Operating Income,44.72,30.2,30.2
9,Interest & Investment Income,1.8,2.25,2.25
10,Currency Exchange Gain (Loss),-4.25,2.12,2.12
11,Other Non Operating Income (Expenses),-0.11,-0.06,-0.06
12,EBT Excluding Unusual Items,42.16,34.51,34.51
13,Gain (Loss) on Sale of Investments,0.08,-0.1,-0.1
14,Gain (Loss) on Sale of Assets,-,0.11,0.11
15,Asset Writedown,-4.85,-0.02,-0.02
16,Other Unusual Items,-0.14,0.07,0.07
17,Pretax Income,37.13,34.63,34.63
18,Income Tax Expense,4.62,4.16,4.16
19,Net Income,32.51,30.47,30.47
20,Net Income to Common,32.51,30.47,30.47
21,Shares Outstanding (Basic),90,90,90
22,Shares Outstanding (Diluted),90,90,90
23,EPS (Basic),0.36,0.34,0.34
24,EPS (Diluted),0.36,0.34,0.34
25,Free Cash Flow,17.8,33.12,33.12
26,Free Cash Flow Per Share,0.20,0.37,0.37
27,Gross Margin,24.88%,21.78%,21.78%
28,Operating Margin,16.06%,11.97%,11.97%
29,Profit Margin,11.68%,12.08%,12.08%
30,Free Cash Flow Margin,6.39%,13.13%,13.13%
31,EBITDA,55.37,40.85,40.85
32,EBITDA Margin,19.89%,16.19%,16.19%
33,D&A For EBITDA,10.65,10.65,10.65
34,EBIT,44.72,30.2,30.2
35,EBIT Margin,16.06%,11.97%,11.97%
36,Effective Tax Rate,12.44%,12.01%,12.01%
37,Revenue as Reported,278.41,252.26,252.26
