,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,869.83,749.06,393.33,576.95,541.1,502.07,493.93,573.11,622.35,746.85,618.59,819.87,494.09,460.99,340.32,361.31,197.28
1,Other Revenue,-0.71,0.71,-,0.59,-0.04,0.04,-,1.78,-1.33,1.33,-,1.38,-0.49,0.49,-,15.88,0.2
2,Revenue,869.11,749.78,393.33,577.54,541.06,502.11,493.93,574.89,621.01,748.19,618.59,821.26,493.59,461.48,340.32,377.19,197.48
3,Revenue Growth (YoY),60.63%,49.32%,-20.37%,0.46%,-12.88%,-32.89%,-20.15%,-30.00%,25.81%,62.13%,81.77%,117.73%,149.95%,-,-,-,-
4,Cost of Revenue,778.76,651.13,312.09,438.93,440.44,448.95,398.99,492.85,489.85,539.82,448.99,529.82,347.15,316.23,256.43,294.81,171.65
5,Gross Profit,90.36,98.65,81.24,138.61,100.61,53.17,94.95,82.04,131.16,208.37,169.6,291.44,146.44,145.25,83.89,82.37,25.83
6,"Selling, General & Admin",11.27,10.51,11.45,12.42,9.68,16.47,7.39,17.54,11.87,10.47,9.81,14.19,12.28,8.4,9.64,12.06,7.11
7,Research & Development,12.46,11.22,8.35,15.83,7.56,9.02,10.11,13.23,7.79,1.72,16.99,5.38,6.84,4.85,4.06,2.43,3.51
8,Other Operating Expenses,-0.51,1.69,-1.92,8.4,-7.52,-1.09,-0.52,3.38,2.24,3.01,3.05,11.4,3.22,-0.62,1.17,2.9,1.31
9,Operating Expenses,21.64,23.22,20.78,34.25,10.62,23.74,18.89,34.85,17.2,16.58,32.55,30.08,20.82,12.82,18.33,15.76,13.31
10,Operating Income,68.71,75.43,60.46,104.36,89.99,29.43,76.06,47.19,113.96,191.79,137.05,261.36,125.62,132.43,65.56,66.62,12.52
11,Interest Expense,-7.96,-2.63,-0.37,-0.21,-,-,-,-,-,-0.43,-0.51,-0.52,-0.45,-0.46,-0.58,-1.4,-0.18
12,Interest & Investment Income,0.84,1.72,0.32,0.37,0.59,1.31,1.61,3.84,0.38,0.78,0.41,0.4,0.51,0.41,0.61,1.48,0.6
13,Currency Exchange Gain (Loss),0.05,-0.05,-,0.34,-0.36,0.36,-,0.1,0.08,-0.08,-,0.1,-0.56,0.56,-,0.35,-
14,Other Non Operating Income (Expenses),-0.63,-0.45,0.06,-2.03,0.93,-1.37,-1.17,5.09,-3.83,-1.89,0.22,0.87,-1.8,-0.18,0.34,-0.13,-0.01
15,EBT Excluding Unusual Items,61.01,74.01,60.47,102.83,91.15,29.72,76.5,56.22,110.59,190.16,137.16,262.2,123.31,132.76,65.93,66.92,12.92
