,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,386.53,263.84,272.79,133.72,365.96,272,240.01,183.74,272.37,272.37
1,Other Revenue,-57.15,57.15,-,124.73,-61.89,61.89,-,120.92,-,-
2,Revenue,329.38,320.99,272.79,258.45,304.07,333.9,240.01,304.65,272.37,272.37
3,Revenue Growth (YoY),8.32%,-3.86%,13.66%,-15.17%,11.64%,22.59%,-,-,-,-
4,Cost of Revenue,233.99,239.63,180.92,197.67,192.16,237.79,146.21,236.19,174.83,174.83
5,Gross Profit,95.39,81.36,91.87,60.78,111.91,96.11,93.8,68.46,97.54,97.54
6,"Selling, General & Admin",33.77,34.66,31.07,39.89,33.73,27.6,30.34,36.2,26.02,26.02
7,Research & Development,24.24,26.41,24.35,23.88,25.92,22.53,16.02,18.56,19.65,19.65
8,Other Operating Expenses,1.9,2.13,-1.73,30.43,-0.84,-16.07,-2.61,11.08,1.58,1.58
9,Operating Expenses,63.37,66.58,56.21,93.72,60.09,36.77,42.97,67.46,47.25,47.25
10,Operating Income,32.02,14.79,35.66,-32.93,51.82,59.33,50.83,1,50.28,50.28
11,Interest Expense,-2.12,-1.62,-1.98,-2.23,-3.37,-4.45,-4.64,-5.69,-,-
12,Interest & Investment Income,4.01,3.19,1.78,2.01,1.04,0.55,0.7,0.58,0.26,0.26
13,Currency Exchange Gain (Loss),1.59,-1.59,-,4.74,-4.28,4.28,-,6.64,-,-
14,Other Non Operating Income (Expenses),-1.75,0.64,-1.59,-1.44,1.45,-0.7,0.7,-4.11,-5.2,-5.2
15,EBT Excluding Unusual Items,33.74,15.41,33.87,-29.85,46.66,59.01,47.59,-1.57,45.34,45.34
16,Gain (Loss) on Sale of Investments,-0.94,-0.25,1.41,-1.66,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.03,0.21,-,0.16,-0.55,-0.01,0.04,0.13,0.12,0.12
18,Asset Writedown,-10.6,6.73,-6.73,12.01,-12.03,8.36,-8.36,14.43,-4.44,-4.44
19,Other Unusual Items,2.59,5.83,-,32.28,-,-,-,9.56,-,-
20,Pretax Income,24.77,27.93,28.54,12.95,34.08,67.36,39.26,22.55,41.02,41.02
21,Income Tax Expense,-0.9,-0.27,0.29,5.64,-0.52,7.55,3.92,-0.6,2.82,2.82
22,Earnings From Continuing Operations,25.66,28.2,28.25,7.3,34.6,59.81,35.34,23.15,38.2,38.2
23,Minority Interest in Earnings,0.64,0.23,0.47,0.52,0.18,-4.3,-0.68,0.33,0.16,0.16
24,Net Income,26.3,28.43,28.72,7.83,34.79,55.51,34.67,23.48,38.36,38.36
25,Net Income to Common,26.3,28.43,28.72,7.83,34.79,55.51,34.67,23.48,38.36,38.36
26,Net Income Growth,-24.39%,-48.78%,-17.15%,-66.67%,-9.31%,44.71%,-,-,-,-
27,Shares Outstanding (Basic),219,219,221,204,186,163,165,167,167,167
28,Shares Outstanding (Diluted),219,219,221,204,186,163,165,167,167,167
29,Shares Change (YoY),18.09%,34.31%,33.84%,22.32%,11.30%,-2.37%,-,-,-,-
30,EPS (Basic),0.12,0.13,0.13,0.04,0.19,0.34,0.21,0.14,0.23,0.23
31,EPS (Diluted),0.12,0.13,0.13,0.04,0.19,0.34,0.21,0.14,0.23,0.23
32,EPS Growth,-35.97%,-61.87%,-38.10%,-72.75%,-18.52%,48.22%,-,-,-,-
33,Free Cash Flow,-141.96,-133.46,-91.2,-42.34,-25.26,47.65,-5.42,-25.73,-47.44,-47.44
34,Free Cash Flow Per Share,-0.65,-0.61,-0.41,-0.21,-0.14,0.29,-0.03,-0.15,-0.28,-0.28
35,Dividend Per Share,0.100,0.050,-,0.200,-,-,-,-,-,-
36,Gross Margin,28.96%,25.35%,33.68%,23.52%,36.80%,28.78%,39.08%,22.47%,35.81%,35.81%
37,Operating Margin,9.72%,4.61%,13.07%,-12.74%,17.04%,17.77%,21.18%,0.33%,18.46%,18.46%
38,Profit Margin,7.99%,8.86%,10.53%,3.03%,11.44%,16.62%,14.44%,7.71%,14.08%,14.08%
39,Free Cash Flow Margin,-43.10%,-41.58%,-33.43%,-16.38%,-8.31%,14.27%,-2.26%,-8.45%,-17.42%,-17.42%
40,EBITDA,52.84,38.69,56.48,-12.11,68.15,79.83,67.16,17.34,65.52,65.52
41,EBITDA Margin,16.04%,12.05%,20.70%,-4.69%,22.41%,23.91%,27.98%,5.69%,24.05%,24.05%
42,D&A For EBITDA,20.82,23.9,20.82,20.82,16.33,20.49,16.33,16.33,15.23,15.23
43,EBIT,32.02,14.79,35.66,-32.93,51.82,59.33,50.83,1,50.28,50.28
44,EBIT Margin,9.72%,4.61%,13.07%,-12.74%,17.04%,17.77%,21.18%,0.33%,18.46%,18.46%
45,Effective Tax Rate,-,-,1.00%,43.58%,-,11.21%,9.98%,-,6.88%,6.88%
46,Revenue as Reported,329.38,320.99,272.79,258.45,304.07,333.9,240.01,304.65,-,-
