,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,1682,1035,881,1356,1749,1787,1758,1867,1789,1846,2275,-,-,-,-,-
1,Market Cap Growth,-42.08%,-42.08%,-49.88%,-27.36%,-2.20%,-3.20%,-22.73%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1524,853,690,1122,1514,1508,1487,1535,1457,1451,2177,-,-,-,-,-
3,Last Close Price,16.69,10.19,8.35,12.85,16.57,16.93,16.51,17.54,16.80,17.05,21.01,-,-,-,-,-
4,PE Ratio,-,-40.96,-,-,-,89.44,83.94,-,49.31,37.26,36.47,-,-,-,-,-
5,PS Ratio,13.71,8.59,6.93,9.20,11.18,9.65,9.58,10.17,8.95,8.05,8.99,-,-,-,-,-
6,PB Ratio,2.96,1.82,1.50,2.26,2.81,2.79,2.69,2.88,2.74,2.77,3.42,-,-,-,-,-
7,P/TBV Ratio,2.01,2.01,1.66,2.48,3.08,3.06,2.94,3.16,3.01,3.03,3.76,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-64.94,-,-26.41,-,-15.36,-,-,-,-,-,-,-
9,P/OCF Ratio,614.02,-,-,-,53.73,29.00,41.16,-,50.97,-,42.29,-,-,-,-,-
10,EV/Sales Ratio,12.64,7.08,5.43,7.61,9.68,8.15,8.10,8.36,7.29,6.33,8.60,-,-,-,-,-
11,EV/EBITDA Ratio,-,-39.83,-,-,-,58.55,92.73,-,39.61,-,29.77,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,300.64,-,56.44,-,34.25,-,-,-,-,-
13,EV/FCF Ratio,-49.59,-,-,-,-56.23,-,-22.34,-,-12.51,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.01,0.01,0.01,-,-,-,-,-,-,-,-,-,-,-
15,Debt / EBITDA Ratio,-,0.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Debt / FCF Ratio,-,-,-,-,-0.14,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,0.22,0.15,0.15,0.16,0.24,0.26,0.20,0.32,0.23,0.32,0.50,-,-,-,-,
18,Inventory Turnover,1.60,1.59,1.79,1.34,2.17,1.99,1.93,1.67,1.51,1.59,1.66,1.81,-,-,-,-
19,Quick Ratio,2.06,2.06,2.19,2.20,2.14,3.31,3.72,3.81,3.91,4.89,4.43,1.35,1.63,-,-,-
20,Current Ratio,2.89,2.89,2.89,2.97,2.69,4.24,4.58,4.80,4.92,5.99,5.20,2.20,2.36,-,-,-
21,Return on Equity (ROE),4.03%,-6.89%,-2.22%,-11.17%,1.10%,3.93%,-2.47%,9.89%,1.38%,6.13%,11.67%,-,-,-,-,
22,Return on Assets (ROA),-0.08%,-4.47%,-1.50%,-5.52%,-0.35%,1.48%,-2.39%,6.18%,-3.53%,4.24%,4.90%,-,-,-,-,
23,Return on Capital (ROIC),-0.09%,-5.13%,-1.75%,-6.35%,-0.39%,1.66%,-2.67%,6.87%,-3.96%,4.94%,6.07%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-,0.76%,-,3.96%,-,9.55%,19.27%,20.16%,-,-,-
25,Earnings Yield,-1.50%,-2.44%,-3.33%,-0.93%,-0.76%,1.12%,1.19%,1.20%,2.03%,2.68%,2.74%,-,-,-,-,-
26,FCF Yield,-1.83%,-2.97%,-4.10%,-1.80%,-1.54%,-0.56%,-3.79%,-5.58%,-6.51%,-5.67%,-1.45%,-,-,-,-,-
27,Dividend Yield,0.91%,-,-,-,0.92%,-,-,-,2.68%,-,1.43%,-,-,-,-,-
28,Payout Ratio,0.00%,267.74%,-,-,-,832.94%,-,-,196.55%,-,-,-,-,-,-,258.93%
29,Buyback Yield / Dilution,-5.03%,-15.50%,30.45%,-12.48%,-57.55%,50.32%,-64.03%,-31.41%,17.90%,-86.96%,-10.79%,2.08%,-,-,-,-
30,Total Shareholder Return,-4.11%,-15.50%,30.45%,-12.48%,-56.63%,50.32%,-64.03%,-31.41%,20.58%,-86.96%,-9.36%,2.08%,-,-,-,-
