,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,5760,4771,4586,4752,-,-,-,-
1,Enterprise Value,4140,2732,2998,4064,-,-,-,-
2,Last Close Price,86.39,71.01,66.96,69.39,-,-,-,-
3,PE Ratio,18.88,28.17,32.12,51.93,-,-,-,-
4,Forward PE,-,15.97,-,-,-,-,-,-
5,PS Ratio,5.06,5.24,5.14,5.94,-,-,-,-
6,PB Ratio,2.46,2.04,2.02,2.08,-,-,-,-
7,P/TBV Ratio,2.14,2.14,2.12,2.18,-,-,-,-
8,P/FCF Ratio,11.29,8.62,6.42,6.37,-,-,-,-
9,P/OCF Ratio,6.94,6.97,5.53,5.65,-,-,-,-
10,EV/Sales Ratio,3.96,3.00,3.36,5.08,-,-,-,-
11,EV/EBITDA Ratio,15.23,11.59,15.77,25.08,-,-,-,-
12,EV/EBIT Ratio,15.89,11.95,16.34,26.11,-,-,-,-
13,EV/FCF Ratio,8.11,4.94,4.20,5.45,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.00,0.00,-,0.00,0.00
15,Debt / EBITDA Ratio,0.07,0.05,0.07,0.11,0.01,-,0.01,0.00
16,Debt / FCF Ratio,0.04,0.04,0.02,0.01,0.01,-,0.00,-
17,Asset Turnover,0.16,0.18,-,0.38,-,-,-,
18,Inventory Turnover,-,0.35,0.51,-,-,-,-,-
19,Quick Ratio,0.67,0.67,0.86,0.82,0.59,-,0.55,-
20,Current Ratio,1.33,1.33,1.37,1.57,1.12,-,1.19,-
21,Return on Equity (ROE),12.30%,12.39%,-,26.84%,-,8.26%,-,
22,Return on Assets (ROA),4.14%,2.07%,-,5.73%,-,-,-,
23,Return on Capital (ROIC),9.38%,4.45%,-,17.29%,-,3.47%,-,
24,Return on Capital Employed (ROCE),11.03%,9.67%,8.00%,6.75%,22.57%,-,13.98%,-
25,Earnings Yield,4.85%,5.17%,4.80%,3.55%,-,-,-,-
26,FCF Yield,8.86%,11.60%,15.58%,15.70%,-,-,-,-
27,Dividend Yield,1.38%,-,0.90%,-,-,-,-,-
28,Payout Ratio,30.84%,121.83%,-,-,-,-,-,-
29,Buyback Yield / Dilution,-22.23%,-33.35%,-33.33%,-22.23%,-,-,-,-
30,Total Shareholder Return,-20.85%,-33.35%,-32.43%,-22.23%,-,-,-,-
