,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Other Revenue,-18.56,18.56,-,-58.29,58.29,-
1,Revenue,2201,2054,1479,1400,1287,1212
2,Revenue Growth (YoY),70.97%,69.51%,-,-,-,-
3,Cost of Revenue,2152,3284,-,1245,2217,-
4,Gross Profit,48.84,-1229,1479,154.35,-929.78,1212
5,"Selling, General & Admin",29.8,43.46,-,15.73,31.47,-
6,Research & Development,26.88,46,-,14.07,27.42,-
7,Other Operating Expenses,-54.55,-1438,1412,1.19,-1134,1139
8,Operating Expenses,15.62,-1343,1412,26.54,-1073,1139
9,Operating Income,33.22,113.22,66.61,127.81,142.98,73.27
10,Interest Expense,-27.36,-37.11,-,-16.16,-20.93,-
11,Interest & Investment Income,17.04,3.8,-,3.35,4.64,-
12,Currency Exchange Gain (Loss),0.61,-0.61,-,-2.98,2.98,-
13,Other Non Operating Income (Expenses),-0.3,-3.87,0.17,-1.85,2.98,0.01
14,EBT Excluding Unusual Items,23.21,75.42,66.77,110.19,132.64,73.28
15,Gain (Loss) on Sale of Investments,6.15,-21.21,-,-4.63,-9.04,-
16,Gain (Loss) on Sale of Assets,-0.01,-0.12,-,-,0,-
17,Asset Writedown,-8.27,-,-,-9.57,-,-
18,Other Unusual Items,-45.25,45.38,-,-1.68,1.68,-
19,Pretax Income,-24.17,99.48,66.77,94.31,125.28,73.28
20,Income Tax Expense,-25.99,-9.83,-0.5,11.75,17.75,10.84
21,Net Income,1.83,109.32,67.27,82.56,107.53,62.44
22,Net Income to Common,1.83,109.32,67.27,82.56,107.53,62.44
23,Net Income Growth,-98.30%,75.06%,-,-,-,-
24,Shares Outstanding (Basic),237,237,178,178,178,-
25,Shares Outstanding (Diluted),237,237,178,178,178,-
26,Shares Change (YoY),33.33%,-,-,-,-,-
27,EPS (Basic),0.01,0.46,0.38,0.46,0.60,-
28,EPS (Diluted),0.01,0.46,0.38,0.46,0.60,-
29,EPS Growth,-98.72%,-,-,-,-,-
30,Free Cash Flow,-1550,-1798,-594.98,-686.05,-659.63,-382.55
31,Free Cash Flow Per Share,-6.53,-7.58,-3.34,-3.86,-3.71,-
32,Gross Margin,2.22%,-59.84%,100.00%,11.03%,-72.22%,100.00%
33,Operating Margin,1.51%,5.51%,4.50%,9.13%,11.11%,6.05%
34,Profit Margin,0.08%,5.32%,4.55%,5.90%,8.35%,5.15%
35,Free Cash Flow Margin,-70.42%,-87.54%,-40.23%,-49.01%,-51.23%,-31.57%
36,EBITDA,51.77,143.99,85.16,143.86,160.8,89.32
37,EBITDA Margin,2.35%,7.01%,5.76%,10.28%,12.49%,7.37%
38,D&A For EBITDA,18.55,30.77,18.55,16.05,17.82,16.05
39,EBIT,33.22,113.22,66.61,127.81,142.98,73.27
40,EBIT Margin,1.51%,5.51%,4.50%,9.13%,11.11%,6.05%
41,Effective Tax Rate,-,-,-,12.46%,14.17%,14.79%
42,Revenue as Reported,2201,3533,-,1400,2499,-
