,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,5167,5756,6643,-,-,-,-
1,Enterprise Value,10069,9082,9362,-,-,-,-
2,Last Close Price,21.78,24.26,28.00,-,-,-,-
3,PE Ratio,14.15,22.06,18.12,-,-,-,-
4,PS Ratio,0.58,0.81,1.07,-,-,-,-
5,PB Ratio,1.41,1.57,1.82,-,-,-,-
6,P/TBV Ratio,1.69,1.69,1.95,-,-,-,-
7,EV/Sales Ratio,1.39,1.27,1.51,-,-,-,-
8,EV/EBITDA Ratio,24.07,21.38,17.54,-,-,-,-
9,EV/EBIT Ratio,30.03,26.64,20.78,-,-,-,-
10,Debt / Equity Ratio,1.56,1.56,1.48,1.47,-,-,0.81
11,Debt / EBITDA Ratio,13.65,27.57,9.35,9.44,-,-,4.16
12,Asset Turnover,0.84,-,-,-,-,-,
13,Inventory Turnover,-,6.47,-,-,-,-,-
14,Quick Ratio,0.71,0.71,0.95,-,-,-,-
15,Current Ratio,1.03,1.03,1.25,-,-,-,-
16,Return on Equity (ROE),0.20%,14.94%,-,-,-,-,
17,Return on Assets (ROA),0.79%,-,-,-,-,-,
18,Return on Capital (ROIC),0.90%,3.91%,-,-,-,-,
19,Return on Capital Employed (ROCE),8.49%,8.64%,9.25%,-,-,-,-
20,Earnings Yield,5.74%,4.53%,5.52%,-,-,-,-
21,FCF Yield,-96.65%,-80.43%,-56.28%,-,-,-,-
22,Payout Ratio,28.94%,1681.24%,32.22%,-,20.18%,17.14%,-
23,Buyback Yield / Dilution,-8.35%,-33.33%,-,-,-,-,-
24,Total Shareholder Return,-8.35%,-33.33%,-,-,-,-,-
