,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,null null,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+19 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+19 Quarters
0,Market Capitalization,4424,4659,4140,5727,7477,8326,6399,5026,4925,4623,4645,4521,4051,4040,4174,4152,4415,5401,4942,4897,5838,Upgrade
1,Market Cap Growth,-44.05%,-44.05%,-35.31%,13.94%,51.80%,80.11%,37.77%,11.17%,21.59%,14.44%,11.28%,8.91%,-8.25%,-25.21%,-15.53%,-15.22%,-24.38%,-5.40%,-23.86%,-37.59%,-3.02%,Upgrade
2,Enterprise Value,6132,5911,5316,6785,8535,9793,7765,6504,6403,6142,6164,5888,5417,5089,5322,5251,5514,6439,5985,6136,7077,Upgrade
3,Last Close Price,7.33,7.72,6.86,9.41,12.28,14.08,11.32,8.89,8.71,8.18,8.22,8.00,7.17,7.15,7.38,7.24,7.70,9.42,8.62,7.97,9.50,Upgrade
4,PE Ratio,102.29,111.60,53.13,79.08,-,79.49,102.57,165.05,274.14,116.45,124.59,94.29,45.77,-,33.14,21.37,36.82,44.70,48.76,-,57.65,Upgrade
5,Forward PE,-,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,41.47,50.74,46.42,24.11,19.85,Upgrade
6,PS Ratio,1.11,1.21,1.11,1.51,1.98,2.09,1.60,1.29,1.24,1.13,1.50,1.34,1.15,-,0.91,0.93,1.08,1.30,1.16,1.13,1.22,Upgrade
7,PB Ratio,1.49,1.43,1.28,1.77,2.32,2.77,2.34,1.93,1.91,1.81,-,1.77,1.58,-,1.66,1.61,1.74,2.15,1.99,1.76,2.07,Upgrade
8,P/TBV Ratio,1.94,1.94,1.76,2.43,3.19,3.93,3.48,2.70,2.68,2.53,-,2.48,2.21,-,2.28,2.20,2.39,2.85,2.76,2.22,2.63,Upgrade
