,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,3903,3827,3442,3927,3628,3243,2836,3248,2908,2848,2732,2795,3736,3297,3110,3615,4017,4856,3410,4242,3715,Upgrade
1,Market Cap Growth,18.00%,18.00%,21.35%,20.92%,24.77%,13.88%,3.82%,16.18%,-22.17%,-13.63%,-12.16%,-22.68%,-7.00%,-32.09%,-8.79%,-14.77%,8.13%,40.11%,14.48%,35.66%,75.35%,Upgrade
2,Enterprise Value,3872,3680,3142,3441,3142,2787,2583,3090,2750,3083,3105,3080,4020,3455,3176,3378,3781,4546,3188,3873,3347,Upgrade
3,Last Close Price,11.84,11.61,10.26,11.33,10.47,9.36,9.02,9.95,8.90,8.72,8.37,8.22,10.99,9.70,9.15,10.38,11.54,13.95,9.79,11.95,10.47,Upgrade
4,PE Ratio,12.49,17.02,17.60,19.43,-,12.40,8.32,9.56,8.67,9.32,13.41,16.07,20.60,17.73,12.88,13.99,17.28,19.80,17.46,24.73,20.49,Upgrade
5,Forward PE,11.90,11.94,10.47,12.08,11.03,9.71,9.30,9.62,8.63,10.67,11.13,10.13,14.33,12.94,10.28,12.65,14.88,19.73,17.21,19.96,18.19,Upgrade
6,PS Ratio,0.88,1.13,1.14,1.48,-,0.96,0.84,0.87,0.72,0.65,0.61,0.61,0.80,0.72,0.67,0.89,1.17,1.62,1.35,1.81,1.52,Upgrade
7,PB Ratio,1.77,1.73,1.59,1.79,-,-,1.40,1.78,1.64,1.64,1.75,1.85,2.56,2.28,2.16,2.48,2.87,3.47,2.63,3.31,2.98,Upgrade
8,P/TBV Ratio,2.10,2.10,1.93,2.17,-,-,1.62,2.09,1.88,1.90,2.04,2.17,3.01,2.67,2.54,2.90,3.33,4.08,3.13,3.95,3.20,Upgrade
9,P/FCF Ratio,-,-,-,-,-,15.51,6.84,-,5.46,7.74,21.55,-,-,-,-,-,-,-,90.78,-,-,Upgrade
10,P/OCF Ratio,26.25,49.01,39.88,-,-,8.14,4.72,4.48,3.94,4.59,7.21,14.98,24.83,43.65,35.95,21.84,-,25.50,17.60,25.54,-,Upgrade
11,EV/Sales Ratio,0.87,1.09,1.04,1.29,-,0.83,0.76,0.83,0.68,0.70,0.70,0.67,0.86,0.76,0.69,0.83,1.10,1.51,1.26,1.65,1.37,Upgrade
12,EV/EBITDA Ratio,11.95,11.36,10.61,12.59,-,8.20,7.66,8.54,7.69,9.48,11.33,12.22,15.97,13.26,8.74,8.95,11.06,13.10,13.03,18.74,15.34,Upgrade
13,EV/EBIT Ratio,17.78,14.72,14.01,17.00,-,11.19,10.30,11.07,9.88,12.36,15.39,16.89,21.56,17.30,10.37,10.41,12.94,15.10,15.88,23.12,18.49,Upgrade
14,EV/FCF Ratio,-14.52,-,-,-,-,13.32,6.23,-,5.16,8.38,24.50,-,-,-,-,-,-,-,84.88,-,-,Upgrade
15,Debt / Equity Ratio,0.36,0.36,0.30,0.28,-,-,0.27,0.22,0.22,0.26,0.41,0.46,0.52,0.60,0.63,0.44,0.33,0.22,0.24,0.09,0.05,Upgrade
16,Debt / EBITDA Ratio,2.43,1.35,1.44,2.26,-,-,1.55,1.20,1.52,0.97,1.35,2.23,6.43,3.40,2.30,2.10,3.94,0.46,0.73,0.67,0.44,Upgrade
17,Debt / FCF Ratio,-,-,-,-,-,-,1.34,-,0.73,1.21,5.02,-,-,-,-,-,-,-,8.19,-,-,Upgrade
18,Asset Turnover,1.37,1.30,-,-,-,1.07,0.95,1.16,1.29,1.59,1.30,1.51,1.25,1.57,1.32,1.48,1.70,1.49,0.91,1.47,Upgrade,
19,Inventory Turnover,-,7.59,7.52,-,-,-,7.04,5.61,6.49,6.25,6.71,4.93,5.70,4.54,5.66,4.60,6.24,7.69,7.34,4.50,7.79,Upgrade
20,Quick Ratio,0.91,0.91,0.94,1.12,-,-,1.20,1.06,1.00,0.90,0.68,0.57,0.61,0.63,0.67,0.65,0.69,0.86,1.04,1.07,1.40,Upgrade
21,Current Ratio,1.34,1.34,1.38,1.54,-,-,1.59,1.55,1.46,1.40,1.17,1.18,1.14,1.18,1.14,1.21,1.21,1.35,1.45,1.85,1.93,Upgrade
22,Return on Equity (ROE),18.26%,15.72%,-,-,-,19.02%,11.58%,11.50%,36.16%,23.50%,12.96%,5.99%,12.86%,16.23%,15.51%,7.01%,30.66%,24.37%,9.16%,13.18%,Upgrade,
23,Return on Assets (ROA),7.73%,5.79%,-,-,-,5.08%,5.05%,2.57%,7.99%,7.61%,4.72%,0.14%,3.67%,5.31%,4.87%,1.25%,15.01%,10.69%,4.04%,3.25%,Upgrade,
24,Return on Capital (ROIC),10.43%,7.59%,-,-,-,6.61%,6.78%,3.55%,11.09%,10.46%,6.64%,0.20%,5.30%,8.16%,7.91%,2.11%,23.55%,15.14%,5.65%,4.67%,Upgrade,
