,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+19 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+19 Quarters
0,Operating Revenue,1561,1519,1630,-,972.03,769.16,288.07,616.74,321.97,158.05,160.31,323.57,168.76,157.25,188.29,324.7,187.23,176.6,104.33,284.02,Upgrade
1,Other Revenue,-2.45,2.45,-,-,-1.99,1.99,-,3.95,-1.44,1.44,-,3.52,-1.78,1.78,-,3.89,-1.92,1.92,-,3.38,Upgrade
2,Revenue,1559,1522,1630,-,970.04,771.15,288.07,620.69,320.53,159.49,160.31,327.09,166.98,159.03,188.29,328.59,185.31,178.52,104.33,287.39,Upgrade
3,Revenue Growth (YoY),60.67%,97.32%,465.82%,-,202.64%,383.50%,79.70%,89.76%,91.96%,0.29%,-14.86%,-0.46%,-9.89%,-10.92%,80.48%,14.33%,-0.40%,24.69%,-28.45%,1.79%,Upgrade
4,Cost of Revenue,1464,1439,1552,-,902.15,696.38,244.97,490.2,262.86,105.43,117.93,225.29,118.02,105.72,139.04,215.82,127.01,120.31,68.89,174.31,Upgrade
5,Gross Profit,94.97,82.57,78.11,-,67.89,74.77,43.1,130.49,57.67,54.06,42.39,101.8,48.96,53.31,49.24,112.77,58.3,58.21,35.44,113.08,Upgrade
6,"Selling, General & Admin",32.9,35.15,29.17,-,31.95,28.23,26.73,53.97,26,25.64,25.38,45.34,25.03,24.67,24.12,44.24,24.62,24.12,24.05,36.67,Upgrade
7,Research & Development,9.36,9.69,9.09,-,8.59,7.95,7.85,10.41,8.09,8.27,7.22,8.64,8.96,6.91,6.74,8.05,8.4,6.12,5.56,7.07,Upgrade
8,Other Operating Expenses,3.63,4.1,3.22,-,2.87,3.46,-0.38,2.59,1.53,0.43,-0.16,3.51,-0.47,-0.22,-0.1,4.73,-0.76,-1.3,-0.18,7.26,Upgrade
9,Operating Expenses,48.43,60.86,45.31,-,42.14,59.24,30.85,100.19,30.33,50.09,30.7,84.73,39.19,41.34,30.27,99.76,30.71,39.97,28.68,76.98,Upgrade
10,Operating Income,46.54,21.71,32.79,-,25.75,15.52,12.25,30.3,27.33,3.98,11.69,17.07,9.77,11.97,18.97,13.01,27.58,18.25,6.76,36.1,Upgrade
11,Interest Expense,-0.17,-0.2,-0.22,-,-0.43,-0.43,-0.63,-1.1,-1.53,-1.91,-2.65,-2.68,-2.36,-2.29,-2.43,-2.15,-2.75,-2.81,-2.86,-3,Upgrade
12,Interest & Investment Income,1.61,2.45,2.37,-,0.86,0.61,0.94,1.19,0.56,3.43,1.39,0.39,0.23,0.3,0.33,0.18,0.13,0.21,0.28,0.16,Upgrade
13,Other Non Operating Income (Expenses),-2.58,-0.18,-0.05,-,-0.67,0.07,-0.11,1.05,-2.27,-2.62,-0.34,2.84,-0.17,-2.87,-0.12,0.84,-0.26,-0.61,-0.45,-1.43,Upgrade
14,EBT Excluding Unusual Items,45.41,23.78,34.89,-,25.51,15.78,12.45,31.44,24.09,2.88,10.1,17.62,7.47,7.1,16.76,11.89,24.7,15.03,3.74,31.83,Upgrade
15,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.03,-,-0.3,-,-,Upgrade
16,Gain (Loss) on Sale of Assets,0.07,0.67,-0.01,-,0.05,-0.04,-0.01,-0.18,0.08,0.06,0.01,-0.17,0.08,-0,0,-0.35,0.09,-0.01,0,-0.58,Upgrade
17,Asset Writedown,-4.94,-2.09,2.09,-,-10.14,2.09,-2.09,6.9,-6.9,2.09,-2.09,2.17,-2.17,1.25,-1.25,-,0.04,-0.04,-,-,Upgrade
18,Other Unusual Items,5.17,-2.02,0.83,-,-0.25,0.25,-,-0.46,4.08,0.02,-,1.89,-0.07,0.07,-,4.35,-0.03,0.03,-,9.88,Upgrade
19,Pretax Income,45.7,20.36,37.79,-,15.17,18.08,10.34,37.71,21.35,5.05,8.01,21.52,5.3,8.42,15.51,15.86,24.81,14.71,3.74,41.14,Upgrade
20,Income Tax Expense,9.58,4.03,8.17,-,3.48,1.91,1.84,4.67,4.15,0.28,1.13,3.56,0.61,-1.1,2.66,1.34,3.81,0.9,1.11,8.97,Upgrade
21,Earnings From Continuing Operations,36.12,16.32,29.62,-,11.69,16.17,8.5,33.03,17.2,4.77,6.88,17.96,4.7,9.52,12.85,14.51,21,13.81,2.63,32.17,Upgrade
22,Minority Interest in Earnings,-6.81,-4.64,-7.27,-,-2.68,-2.57,-1.58,-2.5,-1.38,-0.52,-0.83,-1.38,-0.21,-0.45,-2.55,-1.1,-2.3,-1.07,-0.28,-1.82,Upgrade
23,Net Income,29.31,11.69,22.35,-,9.01,13.6,6.92,30.54,15.82,4.25,6.05,16.57,4.49,9.07,10.29,13.41,18.7,12.74,2.34,30.35,Upgrade
24,Net Income to Common,29.31,11.69,22.35,-,9.01,13.6,6.92,30.54,15.82,4.25,6.05,16.57,4.49,9.07,10.29,13.41,18.7,12.74,2.34,30.35,Upgrade
25,Net Income Growth,225.29%,-14.03%,223.21%,-,-43.04%,219.97%,14.29%,84.26%,252.24%,-53.14%,-41.21%,23.59%,-75.98%,-28.83%,339.18%,-55.81%,-34.91%,45.98%,-63.20%,-8.24%,Upgrade
26,Shares Outstanding (Basic),261,260,261,-,260,260,261,260,261,261,261,261,261,261,261,269,256,260,258,265,Upgrade
27,Shares Outstanding (Diluted),261,260,261,-,260,260,261,260,261,261,261,261,261,261,261,270,257,261,258,265,Upgrade
28,Shares Change (YoY),0.15%,0.06%,-0.06%,-,-0.04%,-0.16%,0.06%,-0.05%,-0.12%,0.05%,0.09%,-3.65%,1.71%,-0.11%,1.18%,1.89%,-0.45%,-3.44%,0.30%,-1.82%,Upgrade
29,EPS (Basic),0.11,0.04,0.09,-,0.03,0.05,0.03,0.12,0.06,0.02,0.02,0.06,0.02,0.03,0.04,0.05,0.07,0.05,0.01,0.11,Upgrade
30,EPS (Diluted),0.11,0.04,0.09,-,0.03,0.05,0.03,0.12,0.06,0.02,0.02,0.06,0.02,0.03,0.04,0.05,0.07,0.05,0.01,0.11,Upgrade
31,EPS Growth,224.79%,-14.09%,223.40%,-,-43.02%,220.47%,14.22%,84.34%,252.68%,-53.17%,-41.27%,28.28%,-76.39%,-28.75%,334.07%,-56.63%,-34.62%,51.18%,-63.31%,-6.54%,Upgrade
32,Free Cash Flow,160.23,14.42,-64.92,-,105.03,105.95,-64.3,201.77,48.12,-3.87,-54.54,104.91,0.11,-29.31,-25.79,111.29,9.42,-23.53,-24.04,102.26,Upgrade
33,Free Cash Flow Per Share,0.61,0.06,-0.25,-,0.40,0.41,-0.25,0.77,0.18,-0.01,-0.21,0.40,0.00,-0.11,-0.10,0.41,0.04,-0.09,-0.09,0.39,Upgrade
34,Dividend Per Share,-,-,-,-,-,-,-,0.046,-,-,-,0.032,-,-,-,0.036,-,-,-,-,Upgrade
35,Dividend Growth,-,-,-,-,-,-,-,43.03%,-,-,-,-11.02%,-,-,-,-,-,-,-,-,Upgrade
36,Gross Margin,6.09%,5.43%,4.79%,-,7.00%,9.70%,14.96%,21.02%,17.99%,33.90%,26.44%,31.12%,29.32%,33.52%,26.15%,34.32%,31.46%,32.61%,33.97%,39.35%,Upgrade
37,Operating Margin,2.99%,1.43%,2.01%,-,2.65%,2.01%,4.25%,4.88%,8.53%,2.49%,7.29%,5.22%,5.85%,7.52%,10.08%,3.96%,14.89%,10.22%,6.48%,12.56%,Upgrade
38,Profit Margin,1.88%,0.77%,1.37%,-,0.93%,1.76%,2.40%,4.92%,4.94%,2.66%,3.77%,5.07%,2.69%,5.70%,5.47%,4.08%,10.09%,7.14%,2.25%,10.56%,Upgrade
39,Free Cash Flow Margin,10.28%,0.95%,-3.98%,-,10.83%,13.74%,-22.32%,32.51%,15.01%,-2.43%,-34.02%,32.07%,0.07%,-18.43%,-13.70%,33.87%,5.08%,-13.18%,-23.05%,35.58%,Upgrade
40,EBITDA,51.13,26.29,37.38,-,30.29,20.03,16.79,34.84,32.03,8.66,16.38,21.76,14.43,16.37,23.63,17.66,32.21,23.01,11.38,40.72,Upgrade
41,EBITDA Margin,3.28%,1.73%,2.29%,-,3.12%,2.60%,5.83%,5.61%,9.99%,5.43%,10.22%,6.65%,8.64%,10.29%,12.55%,5.38%,17.38%,12.89%,10.91%,14.17%,Upgrade
42,D&A For EBITDA,4.59,4.59,4.59,-,4.54,4.51,4.54,4.54,4.69,4.68,4.69,4.69,4.66,4.4,4.66,4.66,4.62,4.77,4.62,4.62,Upgrade
43,EBIT,46.54,21.71,32.79,-,25.75,15.52,12.25,30.3,27.33,3.98,11.69,17.07,9.77,11.97,18.97,13.01,27.58,18.25,6.76,36.1,Upgrade
44,EBIT Margin,2.99%,1.43%,2.01%,-,2.65%,2.01%,4.25%,4.88%,8.53%,2.49%,7.29%,5.22%,5.85%,7.52%,10.08%,3.96%,14.89%,10.22%,6.48%,12.56%,Upgrade
45,Effective Tax Rate,20.96%,19.81%,21.63%,-,22.93%,10.57%,17.82%,12.40%,19.45%,5.45%,14.15%,16.56%,11.44%,-,17.17%,8.47%,15.34%,6.11%,29.75%,21.80%,Upgrade
46,Revenue as Reported,1559,1522,1630,-,970.04,771.15,288.07,620.69,320.53,159.49,160.31,327.09,166.98,159.03,188.29,328.59,185.31,178.52,104.33,287.39,Upgrade
