,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,708.17,713,742.29,939.93,742.07,712.16,645.85,901.73,743.16,574.6,542.61,897.43,587.1,635.6,774.98,357.34,-,219.91,-
1,Trading Asset Securities,100.11,150.34,135.31,-,90.05,100.05,150.37,-,-,210.36,258.65,-,186.75,141.63,-,-,-,-,-
2,Cash & Short-Term Investments,808.29,863.34,877.6,939.93,832.12,812.21,796.22,901.73,743.16,784.97,801.26,897.43,773.85,777.23,774.98,357.34,-,219.91,287.07
3,Cash Growth,-2.86%,6.30%,10.22%,4.24%,11.97%,3.47%,-0.63%,0.48%,-3.97%,1.00%,3.39%,151.14%,-,253.43%,169.96%,-,-,-,-
4,Accounts Receivable,286.21,286.39,294.78,266.46,285.18,302.9,282.53,238.84,338.3,340.33,291.75,248.28,286.56,279.75,263.82,241.27,-,265.02,-
5,Other Receivables,5.3,4.71,5.04,5.94,5.97,6.27,5.66,6.01,6.34,5.18,5.34,5.63,6.22,6.55,5.52,4.08,-,2.98,-
6,Receivables,291.5,291.1,299.82,272.4,291.15,309.16,288.19,244.85,344.63,345.5,297.09,253.91,292.78,286.29,269.34,245.35,-,268,-
7,Inventory,58.47,22.59,20.17,42.52,69.92,55.68,74.34,64.7,82.68,73.93,70.03,81.72,57.83,48.66,47.93,51.28,-,56.56,-
8,Other Current Assets,15.23,4.42,1.32,1.5,2.27,0.85,0.94,1.53,1.66,1.15,1.07,1.21,2.09,3.39,13.92,2.51,-,4.28,-
9,Total Current Assets,1173,1181,1199,1256,1195,1178,1160,1213,1172,1206,1169,1234,1127,1116,1106,656.48,-,548.76,-
10,"Property, Plant & Equipment",10.7,12.65,15.8,13.74,12.89,14.63,14.64,16.22,12.73,14.17,15.75,16.95,14.06,14.08,8.61,1.75,-,2.07,-
11,Other Intangible Assets,0.87,0.93,0.98,1.04,1.09,1.15,1.2,1.26,1.28,0.94,0.99,0.98,1.02,0.96,1,1.04,-,1.11,-
12,Long-Term Deferred Tax Assets,3.5,3.39,2.99,3.09,5.03,4.93,3.73,3.32,4.13,4.1,3.41,3.1,3.15,3.31,2.95,2.88,-,2.67,-
13,Long-Term Deferred Charges,0.39,0.44,0.49,0.45,-,-,-,-,-,-,-,-,0.92,1.04,0.92,0.78,-,1.12,-
14,Other Long-Term Assets,-,-,-,-,-,-,-,-,0,0.5,0.27,0.2,-,-,-,-,-,-,-
15,Total Assets,1189,1199,1219,1275,1214,1199,1179,1234,1190,1225,1190,1255,1146,1135,1120,662.92,-,555.73,-
16,Accounts Payable,79.96,58.45,74.67,102.02,81.97,87.19,92.95,110.53,98.72,126.26,93.95,147.87,99.23,88.88,77.78,127,-,91.61,-
17,Accrued Expenses,54.62,53.21,38.15,80.32,61.68,54.13,37.51,79.55,60.24,51.6,34.8,70.38,50.16,40.96,29.07,60.05,-,39.39,-
18,Short-Term Debt,-,15.01,15.01,15.01,15,-,-,10.01,20.02,35.04,52.06,42.05,32.03,25.03,51.06,51.06,-,59.15,-
