,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,9346,7362,6930,6982,8508,6810,6501,5806,5399,5748,6774,5492,7751,-,-,-,-,-,-,-
1,Market Cap Growth,8.09%,8.09%,6.59%,20.25%,57.59%,18.49%,-4.03%,5.71%,-30.34%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8276,6104,5608,5614,7141,5625,5133,4015,3608,4312,4964,5361,7620,-,-,-,-,-,-,-
3,Last Close Price,25.10,19.77,18.61,18.43,22.46,17.97,17.16,14.96,13.91,14.81,17.45,14.00,19.76,-,-,-,-,-,-,-
4,PE Ratio,25.86,20.43,19.37,19.11,26.41,22.78,21.52,20.69,18.08,16.71,21.72,18.18,25.78,-,-,-,-,-,-,-
5,Forward PE,21.94,17.44,16.56,18.29,23.14,19.41,20.06,14.19,13.20,13.78,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,2.57,2.03,2.10,2.30,3.07,2.69,3.10,3.01,2.79,2.67,2.63,1.96,2.73,-,-,-,-,-,-,-
7,PB Ratio,3.23,2.54,2.47,2.48,3.11,2.54,2.50,2.25,2.13,2.29,2.82,2.34,3.38,-,-,-,-,-,-,-
8,P/TBV Ratio,2.85,2.85,2.60,2.61,3.28,2.68,2.64,2.38,2.25,2.43,3.00,2.45,3.56,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,64.50,-28.06,-,-,-,15.04,-,35.36,60.37,-,-,-,-,-,-,-
10,P/OCF Ratio,18.13,18.13,11.54,13.36,18.14,29.73,20.96,-,-,10.35,-,23.40,32.98,-,-,-,-,-,-,-
11,EV/Sales Ratio,2.28,1.68,1.70,1.85,2.57,2.22,2.45,2.08,1.86,2.01,1.93,1.92,2.68,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,18.92,14.54,13.87,15.23,21.13,19.96,24.88,23.98,19.94,17.52,17.08,15.02,21.41,-,-,-,-,-,-,-
13,EV/EBIT Ratio,24.25,17.51,16.60,18.18,25.25,24.32,32.91,32.81,26.54,21.43,19.94,17.07,24.11,-,-,-,-,-,-,-
14,EV/FCF Ratio,-136.42,-,-,-,54.13,-23.18,-,-,-,11.28,-,34.52,59.35,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.04,0.04,0.14,0.14,0.03,0.14,0.11,0.17,0.16,0.16,0.07,0.05,0.06,0.48,0.52,0.42,0.42,-,-,0.69
16,Debt / EBITDA Ratio,0.29,0.25,0.73,1.06,0.22,0.87,0.79,1.85,3.23,2.83,0.87,0.38,0.40,1.08,0.74,0.73,0.38,-,-,0.46
17,Debt / FCF Ratio,-,-,-,-,0.66,-1.60,-,-,-,1.07,-,0.73,1.16,-,-,1.25,-,-,-,-
18,Asset Turnover,0.92,0.87,0.74,0.60,0.75,0.78,0.59,0.43,0.38,0.67,0.62,0.81,1.29,-,-,-,-,-,-,
19,Inventory Turnover,7.47,7.78,8.46,7.24,6.26,9.03,9.10,6.91,5.79,5.24,6.78,5.29,5.79,7.58,-,-,-,-,-,-
20,Quick Ratio,1.33,1.33,1.72,1.94,1.81,1.89,2.06,2.13,2.26,2.33,2.25,2.23,2.13,0.95,0.92,-,0.90,-,-,-
