,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,161.94,69.77,77.04,62.73,267.76,84.93,94.87,42.97,201.32,73.72,73.22,24.36,193.6,54.71,41.28,41.28
1,Other Revenue,-,-0.38,0.38,-,0.27,-0.12,0.12,-,-,-,-,-,-,-,-,-
2,Revenue,161.94,69.39,77.41,62.73,268.03,84.81,95,42.97,201.32,73.72,73.22,24.36,193.6,54.71,41.28,41.28
3,Revenue Growth (YoY),-39.58%,-18.18%,-18.51%,46.00%,33.14%,15.04%,29.74%,76.38%,3.99%,34.75%,77.39%,-40.98%,-,-,-,-
4,Cost of Revenue,-92.71,33.94,39.5,19.28,115.43,23,47.39,20.81,85.56,26.86,39.07,12.99,83.45,22.46,16.44,16.44
5,Gross Profit,254.65,35.45,37.91,43.46,152.6,61.81,47.61,22.16,115.76,46.86,34.15,11.37,110.14,32.25,24.84,24.84
6,"Selling, General & Admin",-271.32,89.26,99.65,82.41,116.13,98.6,106.46,74.03,116.23,71.4,81.09,64.26,122.91,70.12,75.57,75.57
7,Research & Development,-166.51,56.18,53.72,56.6,64.34,49.33,52.03,50.67,58.16,46.65,43.05,39.71,42.78,32.93,29.54,29.54
8,Other Operating Expenses,730.36,-12.05,-0.82,-2.57,-0.07,-3.9,-2.19,-5.05,15.48,-9.66,-10.25,-1.77,-0.55,-1.52,-3.42,-3.42
9,Operating Expenses,294.32,132.38,154.35,133.88,195.16,145.09,158.77,117.19,200.29,106.71,114.41,100.94,171.16,99.32,101.98,101.98
10,Operating Income,-39.66,-96.93,-116.43,-90.42,-42.56,-83.28,-111.16,-95.03,-84.53,-59.84,-80.25,-89.57,-61.01,-67.07,-77.14,-77.14
11,Interest Expense,-15.8,-0.82,-0.88,-0.83,-1.02,-0.67,-0.7,-0.41,-0.47,-0.46,-0.38,-0.43,-0.4,-0.28,-0.32,-0.32
12,Interest & Investment Income,2.54,6.95,6.06,2.8,8.57,6.45,6.24,10.87,4.14,1.93,1.99,3.59,4.36,4.68,3.44,3.44
13,Currency Exchange Gain (Loss),-,0.32,-0.32,-,0.22,-0.28,0.28,-,0.59,-,-,-,0,-,-,-
14,Other Non Operating Income (Expenses),0.89,-0.25,0.03,-0.36,-1.17,0.83,-0.44,-0.09,1.63,1.22,-1.05,-0.03,-0.91,-0.02,0.1,0.1
15,EBT Excluding Unusual Items,-52.04,-90.74,-111.55,-88.82,-35.96,-76.95,-105.77,-84.67,-78.64,-57.15,-79.69,-86.44,-57.96,-62.69,-73.92,-73.92
16,Gain (Loss) on Sale of Investments,-0.2,0.06,0.03,0.1,0.17,0.01,0.05,0.3,0.07,0.09,0.1,0.17,0.08,0.1,0.17,0.17
17,Gain (Loss) on Sale of Assets,-0.68,0.68,-,-,0.01,-,0.14,-,-0.01,-,-,0,-,0,0,0
18,Asset Writedown,3.37,-3.37,0.23,-0.23,2.49,-2.53,1.26,-1.26,3.33,-3.33,1.43,-1.43,1.13,-0.16,-0.49,-0.49
19,Other Unusual Items,-0.14,-8.48,8.54,0.07,13.55,-0.08,0.08,-,29.26,-0.11,0.11,-,21.67,-,-,-
20,Pretax Income,-49.69,-101.84,-102.74,-88.88,-19.74,-79.55,-104.25,-85.62,-45.99,-60.51,-78.04,-87.7,-35.08,-62.75,-74.24,-74.24
21,Income Tax Expense,-0.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,Earnings From Continuing Operations,-48.87,-101.84,-102.74,-88.88,-19.74,-79.55,-104.25,-85.62,-45.99,-60.51,-78.04,-87.7,-35.08,-62.75,-74.24,-74.24
23,Minority Interest in Earnings,-0.53,0.12,0.21,0.21,0.24,0.33,0.18,0.18,0.19,0.2,0.33,0.19,1.14,0.18,0.16,0.16
24,Net Income,-49.4,-101.72,-102.53,-88.67,-19.51,-79.22,-104.07,-85.45,-45.81,-60.32,-77.71,-87.51,-33.94,-62.56,-74.09,-74.09
25,Net Income to Common,-49.4,-101.72,-102.53,-88.67,-19.51,-79.22,-104.07,-85.45,-45.81,-60.32,-77.71,-87.51,-33.94,-62.56,-74.09,-74.09
26,Shares Outstanding (Basic),121,121,121,121,119,122,121,120,110,90,91,90,91,91,90,90
27,Shares Outstanding (Diluted),121,121,121,121,119,122,121,120,110,90,91,90,91,91,90,90
28,Shares Change (YoY),1.23%,-0.52%,-0.42%,0.93%,7.98%,35.00%,32.55%,33.40%,21.17%,-0.51%,1.10%,-0.14%,-,-,-,-
29,EPS (Basic),-0.41,-0.84,-0.85,-0.73,-0.16,-0.65,-0.86,-0.71,-0.41,-0.67,-0.85,-0.97,-0.37,-0.69,-0.82,-0.82
30,EPS (Diluted),-0.41,-0.84,-0.85,-0.73,-0.16,-0.65,-0.86,-0.71,-0.41,-0.67,-0.85,-0.97,-0.37,-0.69,-0.82,-0.82
31,Free Cash Flow,-,-94.91,-109.91,-173.12,-82.45,-159.02,-114.65,-142.6,-47.19,-67.94,-80.87,-134.95,-11.23,-65.54,-86.71,-86.71
32,Free Cash Flow Per Share,-,-0.78,-0.91,-1.43,-0.69,-1.31,-0.95,-1.18,-0.43,-0.75,-0.89,-1.50,-0.12,-0.72,-0.96,-0.96
33,Gross Margin,157.25%,51.09%,48.98%,69.27%,56.93%,72.88%,50.12%,51.57%,57.50%,63.57%,46.64%,46.66%,56.89%,58.95%,60.17%,60.17%
34,Operating Margin,-24.49%,-139.69%,-150.41%,-144.13%,-15.88%,-98.20%,-117.01%,-221.18%,-41.99%,-81.17%,-109.60%,-367.67%,-31.52%,-122.60%,-186.89%,-186.89%
35,Profit Margin,-30.50%,-146.60%,-132.45%,-141.34%,-7.28%,-93.41%,-109.55%,-198.87%,-22.75%,-81.82%,-106.13%,-359.23%,-17.53%,-114.36%,-179.48%,-179.48%
36,Free Cash Flow Margin,-,-136.79%,-141.98%,-275.95%,-30.76%,-187.50%,-120.68%,-331.88%,-23.44%,-92.16%,-110.45%,-553.94%,-5.80%,-119.80%,-210.07%,-210.07%
37,EBITDA,-36.8,-94.06,-109.71,-87.55,-39.69,-81.39,-108.88,-93.14,-82.64,-58.17,-78.53,-87.9,-59.34,-65.41,-75.48,-75.48
