,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5882,5249,6041,4190,5273,8262,7052,7950,10004,9861,12341,12013,-,-,-,-,-
1,Market Cap Growth,-36.47%,-36.47%,-14.33%,-47.29%,-47.30%,-16.22%,-42.86%,-33.82%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4785,4152,4895,3076,4206,7195,5855,6834,8825,8681,11068,11600,-,-,-,-,-
3,Last Close Price,14.40,12.85,14.76,10.06,12.66,19.83,16.93,19.04,23.96,23.62,29.56,28.77,-,-,-,-,-
4,PE Ratio,51.43,45.33,43.33,26.57,33.51,51.99,45.72,49.50,60.49,59.88,73.62,74.98,-,-,-,-,-
5,Forward PE,29.69,23.62,26.81,19.19,26.07,36.05,31.22,32.86,37.54,40.76,58.45,62.34,-,-,-,-,-
6,PS Ratio,8.67,7.64,8.92,6.28,8.25,13.28,12.06,14.14,18.50,19.09,24.67,25.80,-,-,-,-,-
7,PB Ratio,2.77,2.47,2.85,1.98,2.47,3.89,3.39,3.89,4.98,4.99,6.36,6.34,-,-,-,-,-
8,P/TBV Ratio,2.53,2.53,2.91,2.03,2.53,3.98,3.46,3.98,5.10,5.11,6.52,6.51,-,-,-,-,-
9,P/FCF Ratio,-,-,-60.08,-,-,-92.49,-,-,-,-,-,-746.54,-,-,-,-,-
10,P/OCF Ratio,-,-,95.11,89.55,-,70.87,73.35,72.23,-,93.04,100.89,96.12,-,-,-,-,-
11,EV/Sales Ratio,6.97,6.05,7.23,4.61,6.58,11.56,10.01,12.16,16.32,16.81,22.12,24.91,-,-,-,-,-
12,EV/EBITDA Ratio,28.64,23.83,27.28,17.29,23.38,39.19,48.00,54.88,67.31,-,69.66,73.54,-,-,-,-,-
13,EV/EBIT Ratio,39.21,34.02,38.46,24.10,30.50,50.12,69.79,77.16,92.91,-,87.14,90.02,-,-,-,-,-
14,EV/FCF Ratio,-,-,-48.68,-,-,-80.54,-,-,-,-,-,-720.84,-,-,-,-,-
15,Debt / Equity Ratio,0.05,0.05,0.05,0.07,0.06,0.06,0.06,0.04,0.04,0.01,0.00,0.00,0.01,0.03,-,0.01,0.01
16,Debt / EBITDA Ratio,0.68,0.85,0.56,0.68,0.89,0.65,0.61,0.40,0.45,-,0.03,0.03,0.05,1.69,-,0.06,0.05
17,Debt / FCF Ratio,-,-,-1.13,-,-,-1.36,-,-,-,-,-,-0.46,-,1.04,-,-5.24,-
18,Asset Turnover,-,0.26,0.28,0.24,0.27,0.26,0.26,0.25,0.23,0.25,0.33,0.44,-,-,-,-,
19,Inventory Turnover,-,-,4.64,4.98,4.21,5.03,3.72,4.11,3.47,3.91,3.73,3.64,3.23,-,-,-,-
20,Quick Ratio,-,-,4.67,3.91,4.62,4.35,4.80,5.73,6.41,6.55,6.83,7.09,3.70,3.43,-,4.14,-
21,Current Ratio,-,-,4.91,4.09,4.84,4.52,5.29,5.96,6.83,6.85,7.12,7.34,4.04,3.69,-,4.38,-
22,Return on Equity (ROE),3.31%,4.13%,8.83%,5.54%,7.83%,7.78%,9.18%,6.23%,7.46%,9.70%,15.15%,15.15%,-,-,16.52%,-,
23,Return on Assets (ROA),-,3.88%,3.22%,2.57%,2.73%,4.13%,4.62%,3.50%,-3.60%,5.14%,7.76%,8.44%,-,-,-,-,
24,Return on Capital (ROIC),2.50%,4.43%,3.68%,2.93%,3.10%,4.65%,5.17%,3.93%,-4.07%,5.85%,9.18%,10.84%,-,-,11.26%,-,
25,Return on Capital Employed (ROCE),-,-,5.81%,5.84%,6.22%,6.49%,3.87%,4.15%,4.52%,-,6.36%,6.56%,12.47%,-,-,6.81%,-
26,Earnings Yield,1.97%,2.21%,2.31%,3.76%,2.98%,1.92%,2.19%,2.02%,1.65%,1.67%,1.36%,1.33%,-,-,-,-,-
27,FCF Yield,-,-1.66%,-3.39%,-2.57%,-1.08%,-1.64%,-1.34%,-0.71%,-0.86%,-0.21%,-0.13%,-,-,-,-,-,
28,Dividend Yield,0.41%,-,-,1.89%,-,0.81%,-,-,-,0.17%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,302.01%,1.68%,1.56%,1.09%,42.62%,0.41%,0.38%,0.04%,0.02%,0.04%,0.78%,-,1.48%,0.14%,0.54%
30,Buyback Yield / Dilution,-1.49%,-3.47%,-5.71%,10.73%,-8.50%,-2.16%,5.07%,-17.99%,-2.39%,-12.06%,-19.14%,-3.83%,-4.35%,-,-,-,-
31,Total Shareholder Return,-1.08%,-3.47%,-5.71%,12.62%,-8.50%,-1.35%,5.07%,-17.99%,-2.39%,-11.89%,-19.14%,-3.83%,-4.35%,-,-,-,-
