,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Cash & Equivalents,-,1258,1190,1215,1246,1126,1122,1217,1367,1262,1268,1172,1157,335.97,302.18,-,275.88,259.65
1,Trading Asset Securities,-,270.53,290.67,243.43,249.54,276.43,258.78,161.61,35.53,183.52,210.02,360.43,411.12,23.04,57.03,-,33.02,39.46
2,Cash & Short-Term Investments,1528,1528,1481,1459,1495,1402,1381,1378,1403,1445,1478,1532,1568,359.01,359.21,308.9,308.9,299.1
3,Cash Growth,2.20%,8.98%,7.24%,5.82%,6.59%,-2.96%,-6.60%,-10.05%,-10.54%,302.54%,311.50%,396.08%,407.70%,20.03%,-,-,-,-
4,Accounts Receivable,-,63.65,70.43,67.17,66.07,82.32,70.81,47.07,100.69,73.22,75.16,47.23,61.79,76.65,47,-,79.57,37.79
5,Other Receivables,-,35.56,5.54,8.2,3.65,2.87,2.29,1.62,1.33,1.37,1.3,1.4,0.8,1.1,1.26,-,0.97,0.84
6,Receivables,-,99.21,75.97,75.37,69.72,85.19,73.09,48.69,102.02,74.59,76.46,48.62,62.59,77.75,48.25,-,80.54,38.63
7,Inventory,-,236.34,194.35,195.26,198.91,230.6,250.5,258.62,251.29,238.59,204.3,173.83,120.62,99.7,93.37,-,56.29,69.12
8,Other Current Assets,-,34.11,36.32,24.61,12.86,12.51,11.9,15.73,14.45,26.88,22.76,11.61,6.26,6.4,6.81,-,3.65,7.13
9,Total Current Assets,-,1898,1787,1754,1777,1731,1716,1701,1771,1785,1782,1766,1758,542.87,507.64,-,449.37,413.98
10,"Property, Plant & Equipment",-,22.45,24.41,25.1,27.09,22.78,23.1,23.48,23.88,24.14,18.58,19.14,19.89,21.4,19.08,-,8.6,6.91
11,Long-Term Investments,-,100.68,87.15,75.92,74.35,4.1,52.95,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,-,4.1,4.1
