,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,802.34,795.97,633.14,628.36,691.34,616.52,516.66,474.67,517.07,557.41,504.14,496.83,586.2,488.26,414.55,527.97,494.58,428.78,245.35
1,Other Revenue,-5.46,5.46,-,2.2,-0.99,0.99,-,2.77,-9.68,9.68,-,4.22,-1.07,1.07,-,2.25,-0.74,0.74,-
2,Revenue,796.88,801.44,633.14,630.56,690.34,617.52,516.66,477.44,507.4,567.08,504.14,501.05,585.13,489.33,414.55,530.22,493.85,429.52,245.35
3,Revenue Growth (YoY),15.43%,29.78%,22.54%,32.07%,36.06%,8.89%,2.48%,-4.71%,-13.29%,15.89%,21.61%,-5.50%,18.48%,13.92%,68.96%,-,-,-,-
4,Cost of Revenue,595.28,598.67,465.19,479.79,497.41,461.91,396.16,383.3,365.34,410.82,357.85,365.53,400.11,330.39,299.63,402.67,338.28,265.07,174.24
5,Gross Profit,201.59,202.77,167.94,150.76,192.93,155.61,120.51,94.14,142.06,156.26,146.29,135.52,185.02,158.94,114.91,127.55,155.57,164.45,71.1
6,"Selling, General & Admin",78.82,88.77,80.65,75.25,90.54,77.12,69,68.79,68.81,58.74,59.44,63.4,67.13,48.39,42.73,40.93,45.37,24.51,48.83
7,Research & Development,31.27,32.48,26.17,25.97,29.92,26.81,22.32,18.8,21.79,25.49,24.64,33.11,22.72,21.87,18.97,26.67,17.94,18.96,13.1
8,Other Operating Expenses,1.12,4.05,5.33,3.19,2.56,3.26,2.33,8.78,-0.4,3.81,2.64,6.37,1.69,1.22,2.2,10.89,-0.73,-0.77,-0.82
9,Operating Expenses,111.57,130.13,114.26,105.7,123.89,110.36,94.5,99.51,86.31,91.06,85.62,103.07,92.65,73.23,62.43,80.2,66.13,41.83,61.76
10,Operating Income,90.02,72.64,53.69,45.06,69.04,45.25,26.01,-5.37,55.75,65.2,60.67,32.45,92.38,85.71,52.49,47.35,89.44,122.62,9.35
11,Interest Expense,-17.74,-18.83,-11.29,-9.03,-7.97,-5.29,-4.44,-2.41,-1.72,-1.67,-0.74,-0.58,-0.79,-0.94,-0.99,-1.02,-0.29,-2.94,-2.95
12,Interest & Investment Income,33.85,21.63,37.92,21.06,6.49,3.12,8.22,4.05,2.78,2.21,1.68,3.57,4.39,0.39,0.04,0.08,0.44,0.18,0.29
