,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Market Capitalization,2674,2818,2452,1534,1509,2311,2121,2575,2587,2583,2640,2683,2831,-,-,-,-,-,-
1,Market Cap Growth,21.90%,21.90%,15.61%,-40.42%,-41.66%,-10.53%,-19.67%,-4.00%,-8.62%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1805,1949,1548,611,639,1441,1225,1646,1599,1592,1651,1640,2737,-,-,-,-,-,-
3,Last Close Price,41.09,43.30,37.42,23.42,22.66,34.25,31.42,38.16,37.81,37.76,38.59,39.21,40.92,-,-,-,-,-,-
4,PE Ratio,178.65,184.40,-,57.08,68.54,257.27,-,-321.02,-,-,34.74,33.32,33.96,-,-,-,-,-,-
5,PS Ratio,14.73,15.20,14.14,8.71,9.24,13.74,14.27,18.21,11.83,10.66,9.70,9.77,11.54,-,-,-,-,-,-
6,PB Ratio,1.66,2.22,1.93,1.21,1.19,1.79,1.65,1.99,1.95,1.94,1.98,2.02,2.14,-,-,-,-,-,-
7,P/TBV Ratio,2.28,2.28,1.98,1.24,1.21,1.84,1.69,2.04,2.00,1.99,2.03,2.06,2.14,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-63.50,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-582.97,-,-217.63,-,491.75,-,-106.52,-445.06,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,9.74,10.52,8.92,3.47,3.91,8.57,8.24,11.63,7.32,6.57,6.07,5.98,11.16,-,-,-,-,-,-
