,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,-,230.79,328.71,74.93,214.91,63.66,138.94,133.27,827.67,96.42,137.01,-,95.45
1,Trading Asset Securities,-,343.68,311.29,567.73,511.92,702.03,653.81,683.78,-,9.5,-,-,-
2,Cash & Short-Term Investments,574.47,574.47,640,642.66,726.82,765.69,792.76,817.05,827.67,105.92,137.01,95.45,95.45
3,Cash Growth,-20.96%,-24.97%,-19.27%,-21.34%,-12.18%,622.87%,478.59%,756.02%,767.14%,-,-,-,-
4,Accounts Receivable,-,339.58,335.1,309.69,287.22,253.53,266.11,255.1,304.22,254.41,239.44,-,232.7
5,Other Receivables,-,7.24,0.25,11.18,1.98,17.53,5.55,16.82,16.74,0.03,0.01,-,0.01
6,Receivables,-,346.82,335.35,320.87,289.2,271.06,271.66,271.91,320.96,254.44,239.45,-,232.71
7,Inventory,-,81.73,61.79,63.92,64.02,64.48,52.21,57.54,46.89,44.39,42.38,-,33.04
8,Prepaid Expenses,-,-,-,-,0.41,-,0.68,-,-,-,0.14,-,-
9,Other Current Assets,-,24.36,36.78,13.78,23.07,26.54,35.08,20.56,14.82,14.83,8.9,-,9.21
10,Total Current Assets,-,1027,1074,1041,1104,1128,1152,1167,1210,419.58,427.89,-,370.41
11,"Property, Plant & Equipment",-,300.58,267.15,242.84,228.03,180.75,164.35,163.22,165.13,150.87,151.32,-,148.51
12,Long-Term Investments,-,7.12,2.36,-,-,-,-,-,-,-,-,-,-
