,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,9597,7039,5724,4379,6124,7336,7272,8380,9496,6764,6708,8968,9508,-,-,-,-,-
1,Market Cap Growth,-4.05%,-4.05%,-21.28%,-47.74%,-35.51%,8.45%,8.40%,-6.56%,-0.13%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8650,6091,4727,3854,5186,6398,5982,6798,7773,5041,4876,6943,8613,-,-,-,-,-
3,Last Close Price,24.83,18.21,14.81,11.33,15.31,18.34,18.18,20.92,23.71,16.89,16.75,22.24,23.58,-,-,-,-,-
4,PE Ratio,1020.34,748.30,-,-,-,-,-,-,-,68.68,-99.96,-,-,-,-,-,-,-
5,Forward PE,63.13,88.27,44.21,43.58,40.65,54.62,39.96,44.57,42.39,31.31,30.22,40.85,-,-,-,-,-,-
6,PS Ratio,2.65,1.88,3.32,2.57,3.69,4.56,4.32,4.95,5.68,3.93,3.91,5.05,5.62,-,-,-,-,-
7,PB Ratio,4.94,3.60,2.93,2.24,3.06,3.44,3.33,3.59,3.71,2.55,2.79,3.75,3.74,-,-,-,-,-
8,P/TBV Ratio,4.35,4.35,3.54,2.71,3.69,4.12,3.43,3.68,3.79,2.61,2.86,3.82,3.80,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-17.33,-,-,-,-21.91,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-19.34,-,-,-,-25.94,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,2.31,1.63,2.74,2.26,3.12,3.98,3.55,4.02,4.65,2.93,2.84,3.91,5.09,-,-,-,-,-
12,EV/EBITDA Ratio,17.67,12.43,-,-,-,-,-,-,-,1107.47,-40.73,-,-,-,-,-,-,-
13,EV/EBIT Ratio,18.30,12.89,-,-,-,-,-,-,-,-285.85,-35.11,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-15.11,-,-,-,-16.33,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.23,0.23,0.23,0.25,0.17,0.15,0.05,0.05,0.04,0.04,0.06,0.06,0.06,0.10,-,0.11,0.00,0.00
16,Debt / EBITDA Ratio,0.94,0.17,-,-,-,-,-,-,-,0.12,2.33,-,-,0.49,-,-,0.05,0.02
17,Debt / FCF Ratio,-,-,-,-,-,-0.76,-,-,-,-0.33,-,-,-,1.65,-,-,-,0.02
18,Asset Turnover,-,0.46,0.42,0.34,0.77,0.55,0.39,0.26,0.78,0.51,0.36,0.38,-,-,-,-,-,
19,Inventory Turnover,-,-,2.09,1.49,1.52,3.91,2.18,1.65,1.10,3.69,2.48,2.16,2.11,-,-,-,-,-
20,Quick Ratio,-,-,2.49,2.53,1.92,2.23,2.75,2.78,3.14,3.07,2.92,3.02,3.54,2.03,-,1.84,-,2.12
21,Current Ratio,-,-,2.94,2.96,2.38,2.67,3.50,3.46,3.73,3.54,3.41,3.46,4.01,2.39,-,2.40,-,2.60
22,Return on Equity (ROE),44.46%,-3.23%,-9.02%,-28.55%,-14.14%,-7.02%,-12.80%,-14.94%,41.53%,0.42%,-14.80%,-15.22%,-,-,2.92%,-0.58%,-,
23,Return on Assets (ROA),-,-0.53%,-3.34%,-11.20%,-8.53%,-3.63%,-6.04%,-7.80%,11.79%,0.78%,-7.83%,-7.38%,-,-,-,-,-,
24,Return on Capital (ROIC),70.35%,-0.83%,-4.99%,-15.70%,-11.57%,-4.83%,-7.99%,-10.34%,15.82%,1.05%,-10.31%,-10.25%,-,-,-8.67%,2.38%,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-0.64%,-5.44%,-,-,7.38%,-,-,-,2.48%
26,Earnings Yield,0.10%,0.13%,-5.03%,-7.12%,-5.59%,-3.97%,0.74%,1.17%,0.86%,1.46%,-1.00%,0.00%,1.07%,-,-,-,-,-
27,FCF Yield,-,-3.11%,-7.33%,-5.23%,-5.77%,-7.09%,-4.08%,-4.02%,-4.56%,-2.74%,-1.59%,-0.99%,-,-,-,-,-,
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,0.15%,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,1357.79%,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,-0.41%,-8.18%,6.94%,-0.02%,0.03%,1.21%,3.41%,-3.41%,-3.47%,-14.74%,-11.33%,-8.58%,-6.05%,68.76%,-,-,-,-
31,Total Shareholder Return,-0.41%,-8.18%,6.94%,-0.02%,0.03%,1.21%,3.41%,-3.41%,-3.47%,-14.59%,-11.33%,-8.58%,-6.05%,68.76%,-,-,-,-
