,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,991.82,926.26,2073,2229,1648,1414,2076,1841,2062,2097,2061,2280,-,-,-
1,Trading Asset Securities,-,1202,1202,200.5,300,300.54,400.17,100.42,568,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,2194,2194,2128,2273,2529,1948,1815,2176,2409,2062,2097,2061,2280,-,-,1387
3,Cash Growth,-13.26%,12.58%,17.29%,4.48%,4.96%,-5.52%,-13.48%,5.58%,5.68%,-,-,48.65%,-,-,-,-
4,Accounts Receivable,-,736.17,772.94,603.36,532.2,768.42,793.93,528.52,491.63,620.79,514.3,390.11,333.35,-,-,-
5,Other Receivables,-,10.37,13.23,11.67,15.8,13.92,11.53,6.15,5.84,6.45,5.78,5.6,5.38,-,-,-
6,Receivables,-,746.54,786.17,615.04,548.01,782.34,805.46,534.68,497.47,627.24,520.08,395.71,338.74,-,-,-
7,Inventory,-,617.28,582.36,909.05,869.97,708.87,466.48,560.63,404.28,332.14,273.98,277.84,228.28,-,-,-
8,Other Current Assets,-,24.83,23.96,26.83,35.41,87.54,39.82,43.35,68.88,66.67,16.72,43.82,28.53,-,-,-
9,Total Current Assets,-,3582,3521,3824,3982,3527,3126,3315,3380,3088,2908,2778,2876,-,-,-
10,"Property, Plant & Equipment",-,313.55,300.11,311.77,331.64,295.02,275.91,152.82,158.41,133.39,121.05,120.98,129.64,-,-,-
11,Long-Term Investments,-,87.81,69.54,67.58,68.59,68.73,58.82,25.56,-,-,5.77,5.43,5.61,-,-,-
12,Goodwill,-,23.24,23.24,23.24,23.24,23.24,23.24,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,96.85,95.41,97.71,97.25,72.59,71,40.5,41.61,28.72,29.25,30.1,31.45,-,-,-
