,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4714,3885,4074,3178,4664,5434,6560,6332,6186,6001,5663,6446,6696,-,-,-,-,-,-,-,-
1,Market Cap Growth,-28.51%,-28.51%,-37.89%,-49.81%,-24.60%,-9.44%,15.84%,-1.76%,-7.62%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4357,3528,3180,2858,4045,4816,5807,5650,5048,4864,4406,4963,6449,-,-,-,-,-,-,-,-
3,Last Close Price,42.60,34.96,36.67,28.22,41.17,47.97,57.91,55.90,54.33,52.70,49.74,56.61,58.60,-,-,-,-,-,-,-,-
4,PE Ratio,78.89,64.50,62.39,53.54,79.74,92.99,109.62,85.45,76.69,65.93,63.14,74.44,65.46,-,-,-,-,-,-,-,-
5,Forward PE,-,23.97,23.97,23.97,23.97,23.97,23.97,30.09,32.35,36.15,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,8.02,6.55,6.42,4.89,7.27,8.22,9.24,8.42,7.33,6.44,5.82,6.81,8.10,-,-,-,-,-,-,-,-
7,PB Ratio,3.08,2.57,2.70,2.11,3.10,3.61,4.37,4.24,4.12,4.04,3.86,4.46,4.63,-,-,-,-,-,-,-,-
8,P/TBV Ratio,2.68,2.68,2.81,2.21,3.21,3.77,4.63,4.53,4.44,4.41,4.05,4.68,4.90,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,46.15,-,80.63,-43.00,-30.29,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-1555.78,-,34.73,-,28.21,-570.26,-130.43,-,-,18.26,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,7.35,5.95,5.01,4.39,6.30,7.28,8.17,7.51,5.98,5.22,4.53,5.24,7.80,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,32.90,28.36,35.09,42.48,59.65,79.35,159.25,144.72,94.40,-,51.34,56.08,66.63,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,76.36,61.83,136.43,427.80,1998.45,-,-,-949.43,340.75,-,71.28,72.63,77.10,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,40.90,-,71.94,-35.10,-24.55,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.12,0.12,0.12,0.11,0.13,0.08,0.06,0.04,0.04,0.00,0.00,0.00,0.00,0.02,-,0.06,0.21,0.21,0.21,0.35,0.35
16,Debt / EBITDA Ratio,1.41,1.03,1.33,2.32,1.79,2.37,1.88,0.86,0.76,-,0.06,0.02,0.02,0.11,-,0.06,5.93,0.25,0.25,0.69,0.69
17,Debt / FCF Ratio,-,-,-,-,-,1.08,-,0.80,-0.43,-0.01,-,-,-,0.01,-,0.04,0.24,-,-,27.80,55.60
18,Asset Turnover,-,0.28,0.29,0.20,0.36,0.30,0.28,0.26,0.50,0.41,0.46,0.58,-,-,-,-,0.87,1.20,1.27,-,
19,Inventory Turnover,-,-,5.03,4.30,2.71,4.57,2.98,2.78,2.70,4.81,3.24,4.47,5.35,-,-,-,-,4.95,5.74,6.56,-
20,Quick Ratio,-,-,1.87,2.23,0.81,1.18,1.33,1.40,1.24,1.63,3.04,2.33,2.02,0.43,-,0.46,-,0.42,0.40,1.42,1.42
21,Current Ratio,-,-,3.53,2.82,2.14,1.88,2.15,2.04,2.44,2.35,4.01,3.08,2.56,0.88,-,1.04,-,1.20,1.20,1.79,1.79
22,Return on Equity (ROE),3.54%,3.16%,5.27%,4.02%,4.90%,1.60%,5.07%,4.04%,5.37%,5.56%,7.06%,12.38%,-,-,115.49%,6.11%,83.29%,105.19%,49.24%,-,
23,Return on Assets (ROA),-,2.02%,0.67%,0.90%,-0.81%,-0.05%,0.14%,0.95%,-3.07%,1.22%,2.60%,4.49%,-,-,-,-,20.36%,27.94%,16.34%,-,
24,Return on Capital (ROIC),3.87%,2.42%,0.87%,1.30%,-1.17%,-0.06%,0.20%,1.36%,-4.22%,1.63%,3.80%,8.63%,-,-,58.15%,0.22%,40.13%,48.44%,22.41%,-,
25,Return on Capital Employed (ROCE),-,-,1.50%,0.43%,0.13%,-,-,-0.39%,0.97%,-,4.21%,4.72%,5.78%,27.27%,-,50.24%,-,52.54%,33.29%,23.99%,12.00%
26,Earnings Yield,1.28%,1.55%,1.60%,1.87%,1.25%,1.08%,0.91%,1.17%,1.30%,1.52%,1.58%,1.34%,1.53%,-,-,-,-,-,-,-,-
27,FCF Yield,-,-2.85%,-1.67%,-0.38%,2.17%,2.64%,1.24%,-2.33%,-3.30%,-4.21%,-2.25%,2.86%,-,-,-,-,-,-,-,-,
28,Dividend Yield,0.70%,-,-,1.19%,-,0.39%,-,-,-,0.47%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,186.30%,6.74%,8.57%,3.49%,9.60%,149.73%,-,-,-,94.06%,-,-,0.07%,0.39%,14.52%,0.99%,0.99%,3.22%,3.22%
30,Buyback Yield / Dilution,0.48%,0.71%,-0.07%,1.57%,-0.36%,1.95%,-0.37%,-1.21%,-9.20%,-36.79%,-27.58%,-41.33%,-17.66%,0.70%,-1.36%,3.73%,-2.90%,-,-,-,-
31,Total Shareholder Return,1.17%,0.71%,-0.07%,2.76%,-0.36%,2.34%,-0.37%,-1.21%,-9.20%,-36.31%,-27.58%,-41.33%,-17.66%,0.70%,-1.36%,3.73%,-2.90%,-,-,-,-
