,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,524.59,523.02,468.88,443.41,445.36,474.21,364.52,308.47,306.41,279.67,349.96,351.61
1,Other Revenue,-,-21.58,21.58,-,36.77,-15.81,15.81,-,29.42,-14.84,14.84,-
2,Revenue,524.59,501.43,490.47,443.41,482.13,458.4,380.33,308.47,335.83,264.83,364.8,351.61
3,Revenue Growth (YoY),8.81%,9.39%,28.96%,43.74%,43.56%,73.09%,4.26%,-12.27%,-,-,-,-
4,Cost of Revenue,615.1,339.46,340.59,293.67,308.14,272.09,257.51,220.59,229.09,164.36,213.63,203.17
5,Gross Profit,-90.5,161.97,149.88,149.73,173.99,186.31,122.83,87.89,106.74,100.47,151.18,148.44
6,"Selling, General & Admin",-101.94,38.11,26.26,37.57,27.08,30.73,23.35,21.7,11.98,24.01,17.41,23.09
7,Research & Development,-109.76,41.55,37.4,30.81,31.03,26.83,25.56,22.87,25.3,23.71,26.86,24.04
8,Other Operating Expenses,1.93,-9.94,8.83,-0.82,-6.4,-20.19,7.56,-1.35,17.51,-12.12,1.6,-1.13
9,Operating Expenses,-209.86,69.46,71.94,68.46,51.46,38.09,56.88,43.48,54.98,35.37,44.85,46
10,Operating Income,119.36,92.52,77.94,81.27,122.53,148.22,65.95,44.41,51.77,65.1,106.32,102.44
11,Interest Expense,-31.54,-3.38,-3.55,-4.65,-,-5.85,-7.56,-9.69,-10.78,-5.11,-13.3,-12.9
12,Interest & Investment Income,11.57,8.18,11.04,12.32,16.69,13.62,13.22,4.34,5.77,5.05,3.73,1.41
13,Currency Exchange Gain (Loss),-,-2.71,2.71,-,2.27,-3.63,3.63,-,13.08,-12.34,12.34,-
14,Other Non Operating Income (Expenses),1.89,-3.84,-0.56,0.45,-4.99,13.59,3.82,-4.71,-31.66,25.88,6.56,-1.47
15,EBT Excluding Unusual Items,101.29,90.76,87.58,89.39,136.5,165.94,79.06,34.35,28.18,78.58,115.64,89.47
16,Gain (Loss) on Sale of Investments,-0.27,0.24,-0.2,0.22,-0.76,0.75,-0.07,0.1,-0.01,0.01,0.08,-
17,Gain (Loss) on Sale of Assets,-1.09,0.25,0.84,-,-0.45,0.02,-0.02,-,-0.03,0.02,-0.02,-
18,Asset Writedown,4.16,-4.16,0.38,-0.38,1.35,-1.35,0.37,-0.37,4.4,-4.4,0.48,-0.48
19,Other Unusual Items,-2.72,-8.04,10.76,-,3.24,-24.55,24.55,-,25.86,-,-,-
20,Pretax Income,101.36,79.05,99.38,89.23,139.88,140.81,103.9,34.09,58.4,74.21,116.18,88.99
21,Income Tax Expense,16.49,12.68,14.04,12.54,13.17,18.07,12.29,3.48,2.05,8.15,12.7,11.71
22,Net Income,84.88,66.38,85.34,76.69,126.7,122.74,91.61,30.61,56.34,66.06,103.48,77.29
23,Net Income to Common,84.88,66.38,85.34,76.69,126.7,122.74,91.61,30.61,56.34,66.06,103.48,77.29
24,Net Income Growth,-33.01%,-45.92%,-6.85%,150.51%,124.88%,85.79%,-11.47%,-60.39%,-,-,-,-
25,Shares Outstanding (Basic),1213,1292,1037,1278,1165,1303,1017,1020,950,953,1042,966
26,Shares Outstanding (Diluted),1213,1292,1037,1278,1165,1303,1017,1020,950,953,1042,966
27,Shares Change (YoY),4.18%,-0.89%,1.96%,25.25%,22.60%,36.70%,-2.48%,5.62%,-,-,-,-
28,EPS (Basic),0.07,0.05,0.08,0.06,0.11,0.09,0.09,0.03,0.06,0.07,0.10,0.08
29,EPS (Diluted),0.07,0.05,0.08,0.06,0.11,0.09,0.09,0.03,0.06,0.07,0.10,0.08
30,EPS Growth,-35.70%,-45.43%,-8.64%,100.00%,83.42%,35.91%,-9.22%,-62.50%,-,-,-,-
31,Free Cash Flow,-,-170.46,-134.56,-111.77,73.66,-153.1,-37.95,-76.65,-24.34,128.17,134.48,69.04
32,Free Cash Flow Per Share,-,-0.13,-0.13,-0.09,0.06,-0.12,-0.04,-0.08,-0.03,0.13,0.13,0.07
33,Dividend Per Share,-,-,0.050,-,0.100,-,-,-,-,-,-,-
34,Gross Margin,-17.25%,32.30%,30.56%,33.77%,36.09%,40.64%,32.29%,28.49%,31.78%,37.94%,41.44%,42.22%
35,Operating Margin,22.75%,18.45%,15.89%,18.33%,25.41%,32.33%,17.34%,14.40%,15.41%,24.58%,29.15%,29.14%
36,Profit Margin,16.18%,13.24%,17.40%,17.30%,26.28%,26.78%,24.09%,9.92%,16.78%,24.95%,28.37%,21.98%
37,Free Cash Flow Margin,-,-33.99%,-27.43%,-25.21%,15.28%,-33.40%,-9.98%,-24.85%,-7.25%,48.40%,36.86%,19.64%
38,EBITDA,194.28,167.44,168.27,156.19,197.45,217.64,140.52,113.83,121.19,123.69,173.37,161.04
39,EBITDA Margin,37.03%,33.39%,34.31%,35.23%,40.95%,47.48%,36.95%,36.90%,36.09%,46.71%,47.52%,45.80%
40,D&A For EBITDA,74.92,74.92,90.33,74.92,74.92,69.42,74.57,69.42,69.42,58.59,67.04,58.59
