,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q2 2015,Q1 2015
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Operating Revenue,160.16,110.76,89.67,5462,182.72,67.31,186.97,123.43,221.49,176.32,182.7,121.31,182.48,104.94,104.94
1,Other Revenue,-,-0.93,0.93,-,1.46,-0.65,0.65,-,1.45,-0.74,0.74,-,0.41,-,-
2,Revenue,160.16,109.83,90.6,5462,184.17,66.66,187.62,123.43,222.94,175.59,183.44,121.31,182.89,104.94,104.94
3,Revenue Growth (YoY),-13.04%,64.78%,-51.71%,4325.45%,-17.39%,-62.04%,2.28%,1.74%,21.90%,67.32%,74.81%,-,-,-,-
4,Cost of Revenue,-175.79,55.17,61.7,58.92,97.06,26.78,71.57,46.85,86.41,62.29,59.11,29.9,57.78,39.57,39.57
5,Gross Profit,335.95,54.66,28.91,5403,87.11,39.88,116.05,76.57,136.53,113.3,124.33,91.42,125.11,65.37,65.37
6,"Selling, General & Admin",-273.39,95.12,93.06,85.22,99.77,71.81,111.72,84.6,116.25,103.38,110.32,73.06,107.13,52.61,52.61
7,Research & Development,-931.7,387.17,295.76,248.77,236.43,176.97,173.89,158.94,91.43,110.36,102.42,70.8,101.16,-,-
8,Other Operating Expenses,1853,-26.33,3.43,-0.97,27.46,-27.75,-2.14,0.16,24.15,0.17,1.62,-16.15,55.94,1.47,1.47
9,Operating Expenses,648.88,455.85,390.63,333.28,363.23,216.2,283.77,241.99,236.5,214.97,216.57,127.37,263.79,54.08,54.08
10,Operating Income,-312.93,-401.19,-361.72,5070,-276.12,-176.33,-167.72,-165.42,-99.97,-101.68,-92.23,-35.96,-138.68,11.29,11.29
11,Interest Expense,-149.41,-11.15,-9.51,-7.14,-6.19,-5.96,-6.17,-6.37,-6.46,-6.06,-5.5,-4.46,-2.97,-5.4,-5.4
12,Interest & Investment Income,27.8,64.47,63.92,21.01,1.33,1.55,2.27,0.56,0.19,0.19,0.17,0.21,0.24,1.76,1.76
13,Currency Exchange Gain (Loss),-,-13.04,13.04,-,-1.11,0.15,-0.15,-,-0.05,-0.02,0.02,-,-0.04,-,-
14,Other Non Operating Income (Expenses),77.75,-77.02,3.28,-4.74,-0.21,-1.83,0.82,0.39,0.97,-0.47,0.08,-1.15,2.35,0.56,0.56
15,EBT Excluding Unusual Items,-356.79,-437.93,-290.98,5079,-282.3,-182.42,-170.95,-170.84,-105.32,-108.04,-97.45,-41.35,-139.1,8.21,8.21
16,Gain (Loss) on Sale of Investments,-11.44,-2.11,13.56,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,0.13,-0.13,-,-0.29,0.22,-0.22,0.15,-0.46,0.4,-0.4,-0.02,-0.46,-0,-0
18,Asset Writedown,11.9,-11.9,5.86,-5.86,9.63,-9.63,4.73,-4.73,3.93,-3.93,1,-1,0.26,-0.6,-0.6
19,Other Unusual Items,-,-26.23,26.23,-,37.64,-0.26,0.26,-,63.57,-0.51,0.51,-,60.3,0.5,0.5
20,Pretax Income,-356.34,-478.04,-245.47,5073,-235.32,-192.09,-166.18,-175.42,-38.28,-112.08,-96.35,-42.37,-79,8.12,8.12
21,Income Tax Expense,105.38,122.94,93.35,68.04,30.08,-5.3,-4.69,-8.59,1.29,-6.97,-4.23,3.21,-2.02,1.96,1.96
22,Net Income,-461.72,-600.97,-338.82,5005,-265.39,-186.79,-161.49,-166.83,-39.57,-105.11,-92.12,-45.58,-76.97,6.17,6.17
23,Net Income to Common,-461.72,-600.97,-338.82,5005,-265.39,-186.79,-161.49,-166.83,-39.57,-105.11,-92.12,-45.58,-76.97,6.17,6.17
24,Shares Outstanding (Basic),378,401,401,401,394,407,404,397,361,362,374,351,346,103,103
25,Shares Outstanding (Diluted),378,401,401,401,394,407,404,397,361,362,374,351,346,103,103
26,Shares Change (YoY),-4.06%,-1.35%,-0.70%,0.97%,9.10%,12.15%,7.88%,13.28%,4.38%,252.58%,263.90%,-,-,-,-
