,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+14 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+14 Quarters
0,Cash & Equivalents,-,2424,1986,1726,1832,2606,835.24,993.75,712.43,1104,600.49,579.92,548.8,393.75,117.99,-,284.16,268.18,476.97,101.06,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113.25,-,51.25,-,-,-,Upgrade
2,Trading Asset Securities,-,-,220.06,702.76,1013,186.11,462.03,506.52,968.35,370.72,290.89,311.05,250.87,273.61,415.11,-,430.6,-,312.01,-,Upgrade
3,Cash & Short-Term Investments,2424,2424,2206,2429,2845,2792,1297,1500,1681,1475,891.38,890.97,799.67,667.35,646.35,766.01,766.01,268.18,788.98,101.06,Upgrade
4,Cash Growth,-14.80%,-13.19%,70.06%,61.89%,69.27%,89.33%,45.54%,68.39%,110.18%,120.99%,37.91%,16.31%,4.39%,148.85%,-18.08%,657.98%,496.12%,-,-,116.33%,Upgrade
5,Accounts Receivable,-,3011,2791,2831,2991,2648,2289,2047,1865,1717,1389,1168,1080,903.3,841.96,-,664.59,634.96,554.74,551.05,Upgrade
6,Other Receivables,-,49.5,49.47,35.09,66.61,63.99,48.44,34.08,42.74,19.53,18.83,14.75,21.24,17.91,19.27,-,12.86,10.09,8.59,6.82,Upgrade
7,Receivables,-,3060,2840,2866,3058,2712,2338,2081,1908,1736,1407,1183,1101,921.21,861.22,-,677.45,645.04,563.33,557.87,Upgrade
8,Inventory,-,6511,7340,7935,7630,6892,5991,4648,3888,3209,2609,2323,1852,1632,1445,-,1282,1196,881.54,722.08,Upgrade
9,Other Current Assets,-,309.99,287.08,314.32,226.81,284.85,242.36,242.47,188.48,217.67,164.07,139.57,98.83,143.2,78.99,-,76.05,655.14,129.93,45.6,Upgrade
10,Total Current Assets,-,12306,12674,13545,13760,12681,9868,8471,7665,6637,5072,4537,3851,3364,3031,-,2801,2764,2364,1427,Upgrade
11,"Property, Plant & Equipment",-,1624,1607,1372,1207,1129,835.99,710.2,575.72,520.74,436.35,367.78,304.72,287.13,250.34,-,113.87,24.7,23.65,23.7,Upgrade
12,Long-Term Investments,-,169.85,164.47,170.97,188.61,97.84,94.92,104.83,84.54,67.73,67.73,21.35,21.35,20,20,-,-,-,-,-,Upgrade
13,Goodwill,-,63.62,63.62,63.62,63.62,74.72,39.74,20.37,20.37,20.37,20.37,20.37,20.37,22.43,22.43,-,-,0.29,-,-,Upgrade
14,Other Intangible Assets,-,177.98,179.49,180.95,183.35,183.27,133.37,60.56,60.1,60.66,61.42,43.83,44.04,44.37,36.43,-,38.44,40.3,27.41,27.83,Upgrade
15,Long-Term Accounts Receivable,-,-,-,-,-,-,0.65,-,1.12,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Long-Term Deferred Tax Assets,-,166.89,137.83,120.38,109.37,104.6,108.12,77.03,84.78,43.54,41.5,30.26,28.84,20.06,17.49,-,17.49,8.31,8.31,8.31,Upgrade
17,Long-Term Deferred Charges,-,60.11,70.24,68.7,65.33,65.85,40.38,32.28,28.81,10.43,2.06,1.52,2.47,2.2,2.6,-,1.82,2.2,2.36,1.07,Upgrade
18,Other Long-Term Assets,-,65.43,50.5,43.85,40.92,57.6,60.76,34.83,1.76,14.21,14.43,5.36,9.17,4.3,8.24,-,6.84,0.61,0.61,0.39,Upgrade
19,Total Assets,-,14633,14947,15565,15617,14395,11182,9511,8522,7375,5716,5027,4282,3765,3389,-,2980,2840,2426,1488,Upgrade
20,Accounts Payable,-,4565,4872,5455,5578,5226,4627,3394,2789,2113,1730,1395,986.92,847,724.6,-,789.82,715,569.91,368.77,Upgrade
21,Accrued Expenses,-,99.3,177.33,98.52,254.75,90.49,129.47,53.4,154.16,121.61,122.55,46.77,87.67,71.96,61.73,-,48.44,30.82,42.13,13.16,Upgrade
22,Short-Term Debt,-,727.06,664.74,558.92,519.74,582.56,441,444.79,612.32,661.55,571.25,495.36,428.03,431.01,453.83,-,340.12,350.9,295.51,288.05,Upgrade
23,Current Portion of Long-Term Debt,-,131.31,78.73,157.83,94.52,-,0.2,-,0.2,-,-,-,-,-,-,-,-,-,-,-,Upgrade
24,Current Portion of Leases,-,-,50.82,-,50.68,45.75,45.13,38.78,27.53,29.05,20.02,9.19,6.67,-,-,-,-,-,-,-,Upgrade
25,Current Income Taxes Payable,-,144.55,106.32,112.33,82.76,111.6,58.13,66.45,48.9,41.21,27.17,33.52,19.85,6.14,20.12,-,19.48,15.64,5.63,1.1,Upgrade
26,Current Unearned Revenue,-,2741,3261,3562,3907,3262,2643,2460,1980,1839,1427,1327,1142,1080,884.35,-,671.65,713.41,497.4,-,Upgrade
27,Other Current Liabilities,-,90.65,101.33,96.96,122.94,473.68,285.46,253.13,216.19,191.52,154.23,131.74,150.01,10.63,5.4,-,10.27,5.92,5.29,348.21,Upgrade
28,Total Current Liabilities,-,8499,9313,10041,10610,9792,8230,6711,5829,4997,4052,3439,2822,2446,2150,-,1880,1832,1416,1019,Upgrade
