,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,31217,26724,26133,27560,22872,26964,27094,34379,18650,6911,-,-,-,-
1,Market Cap Growth,-0.89%,-0.89%,-3.54%,-19.83%,22.63%,290.16%,-,-,-,-,-,-,-,-
2,Enterprise Value,34716,30223,29031,30402,25950,30043,29303,35901,18740,7000,-,-,-,-
3,Last Close Price,72.39,61.97,60.60,64.15,53.15,62.66,62.96,79.89,43.34,16.06,-,-,-,-
4,PE Ratio,185.62,-,-,-619.02,-69.15,-,-,-,-,-,-,-,-,-
5,PS Ratio,4.86,3.99,4.02,4.68,4.68,7.51,9.27,12.50,6.88,2.31,-,-,-,-
6,PB Ratio,12.73,10.85,10.61,11.46,10.67,14.04,13.63,16.19,8.13,2.85,-,-,-,-
7,P/TBV Ratio,11.66,11.66,11.40,12.14,10.93,14.45,14.06,16.64,8.31,2.91,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-18.31,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-211.03,-28.10,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.18,4.51,4.47,5.17,5.30,8.37,10.03,13.06,6.92,2.34,-,-,-,-
11,EV/EBITDA Ratio,153.79,-,117.34,217.45,-96.01,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,203.72,-,156.69,374.89,-80.87,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-20.78,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,1.71,1.71,1.71,1.51,1.65,1.86,1.82,1.48,1.04,0.66,-,-,0.29,0.29
15,Debt / EBITDA Ratio,18.64,-,58.09,4.37,3.83,-,-,-,-,-,-,-,5.90,9.81
16,Debt / FCF Ratio,-,-,-,-,-2.83,-,-,-,-,-,-,-,-,-
17,Asset Turnover,-,0.89,1.03,1.08,0.93,0.63,0.52,0.36,-,-,-,-,-,
18,Inventory Turnover,-,-,1.45,1.44,1.48,1.66,1.07,1.10,0.75,-,-,-,-,-
19,Quick Ratio,-,-,0.29,0.35,0.36,0.26,0.30,0.44,0.55,0.86,-,-,-,0.45
20,Current Ratio,-,-,1.31,1.35,1.34,1.25,1.37,1.54,1.88,2.20,-,-,-,2.55
21,Return on Equity (ROE),-5.53%,-10.38%,20.37%,30.92%,-30.06%,-36.49%,-30.86%,-21.37%,-,-,-,3.43%,-,
22,Return on Assets (ROA),-,0.15%,6.87%,8.48%,-8.67%,-4.06%,-9.82%,-4.82%,-,-,-,-,-,
23,Return on Capital (ROIC),-8.78%,0.17%,7.82%,9.71%,-9.88%,-4.59%,-10.99%,-5.30%,-,-,-,1.73%,-,
24,Return on Capital Employed (ROCE),-,-,5.63%,2.78%,-11.82%,-,-,-,-,-,-,-,-,0.37%
25,Earnings Yield,0.56%,0.66%,0.34%,-0.16%,-1.45%,-2.32%,-1.80%,-0.80%,-0.38%,1.03%,-,-,-,-
26,FCF Yield,-,-1.79%,-2.21%,-5.46%,-8.84%,-9.67%,-5.78%,-7.80%,-13.88%,-,-,-,-,
27,Payout Ratio,0.00%,-,-,17.55%,13.39%,-,-,-,-,-,33.69%,22.83%,15.99%,-
28,Buyback Yield / Dilution,-4.61%,-7.98%,-7.52%,7.38%,-12.51%,3.64%,-15.42%,-28.33%,2.05%,-21.33%,-,-,-,-
29,Total Shareholder Return,-4.61%,-7.98%,-7.52%,7.38%,-12.51%,3.64%,-15.42%,-28.33%,2.05%,-21.33%,-,-,-,-
