,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,278.99,294.28,221.09,233.65,245.33,265.88,177.94,204.87,222.28,119.59,119.59
1,Other Revenue,-,-15.84,15.84,-,-,-30.97,30.97,-,-,6.23,6.23
2,Revenue,278.99,278.44,236.92,233.65,245.33,234.91,208.91,204.87,222.28,125.82,125.82
3,Revenue Growth (YoY),13.72%,18.53%,13.41%,14.05%,10.37%,86.70%,66.03%,-,-,-,-
4,Cost of Revenue,371.1,226.12,217.89,199.49,233.88,182.95,179.73,157.83,227.79,96.1,96.1
5,Gross Profit,-92.12,52.32,19.03,34.15,11.44,51.96,29.18,47.04,-5.51,29.73,29.73
6,"Selling, General & Admin",-52.02,18.41,15.18,18.43,28.25,20.48,17.29,18.88,25.45,16.91,16.91
7,Research & Development,-46.18,16.92,15.05,14.22,20.82,12.03,16.77,14.03,19.13,7.25,7.25
8,Other Operating Expenses,29.15,-22.17,-2.58,-4.39,1.86,-2.24,-17.35,-2.47,18.18,-3.53,-3.53
9,Operating Expenses,-70.97,13.95,28.23,28.79,51.47,31.5,15.88,30.73,63.01,21.86,21.86
10,Operating Income,-21.14,38.37,-9.2,5.37,-40.02,20.46,13.3,16.31,-68.52,7.87,7.87
11,Interest Expense,-30.78,-1.12,-1.55,-1.25,-1.59,-2.47,-2.79,-2.55,-2.15,-0.13,-0.13
12,Interest & Investment Income,3.93,8.9,10.81,11.07,11.56,2.38,1.26,1.91,1.23,2.38,2.38
13,Currency Exchange Gain (Loss),-,-1.19,1.19,-,0.41,-0.22,0.22,-,2.18,-0.4,-0.4
14,Other Non Operating Income (Expenses),0.22,0.7,-1.27,0.95,-0.66,0.37,0.55,-1.67,-2.22,-0.17,-0.17
15,EBT Excluding Unusual Items,-47.77,45.65,-0.02,16.14,-30.31,20.53,12.54,14,-69.47,9.55,9.55
16,Gain (Loss) on Sale of Investments,-1.02,0.17,0.04,0.81,0.06,-0.23,-0.2,0.15,-0.13,2.34,2.34
