,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,5697,5391,5595,5467,5837,8498,-,-,-,-,-,-,-
1,Market Cap Growth,-36.56%,-36.56%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5036,4731,4649,4330,5253,7914,-,-,-,-,-,-,-
3,Last Close Price,13.42,12.70,13.18,12.88,13.75,20.02,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,856.54,-,-,-,-,-,-,-
5,PS Ratio,10.83,10.26,10.95,11.66,13.20,20.48,-,-,-,-,-,-,-
6,PB Ratio,3.58,3.39,3.52,3.41,3.64,5.26,-,-,-,-,-,-,-
7,P/TBV Ratio,3.39,3.39,3.52,3.41,3.64,5.26,-,-,-,-,-,-,-
8,EV/Sales Ratio,9.58,9.00,9.10,9.23,11.88,19.07,-,-,-,-,-,-,-
9,EV/EBITDA Ratio,-,-,-,-,-,-1199.18,-,-,-,-,-,-,-
10,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-,0.01,0.01,0.02,0.02,0.02
11,Debt / EBITDA Ratio,-,-,-,-,-,0.20,3.30,-,-,-,1.47,1.37,1.37
12,Debt / FCF Ratio,-,-,-,-,-,-,0.15,-,-,0.14,0.36,0.51,1.03
13,Asset Turnover,-,0.36,0.26,0.26,-,-,-,-,-,-,0.37,-,
14,Inventory Turnover,-,-,1.60,1.35,1.73,-,-,-,-,-,-,0.91,-
15,Quick Ratio,-,-,9.49,13.01,13.01,16.05,11.22,-,-,7.58,-,8.40,8.40
16,Current Ratio,-,-,15.83,16.13,16.13,17.92,13.62,-,-,10.41,-,12.82,12.82
17,Return on Equity (ROE),-9.45%,-4.00%,-2.24%,-2.23%,-,-,-,0.60%,1.18%,2.26%,2.39%,-,
18,Return on Assets (ROA),-,-0.79%,-3.04%,-3.03%,-,-,-,-,-,-,-0.14%,-,
19,Return on Capital (ROIC),-4.01%,-0.83%,-3.21%,-3.20%,-,-,-,-1.66%,-2.23%,0.21%,-0.15%,-,
20,Earnings Yield,-1.25%,-1.33%,-0.45%,-0.20%,-0.01%,0.12%,-,-,-,-,-,-,-
21,FCF Yield,-,-3.34%,-2.15%,-1.13%,-0.16%,-,-,-,-,-,-,-,
22,Buyback Yield / Dilution,-15.86%,-11.77%,-17.12%,-17.38%,-17.38%,-5.34%,-24.80%,8.81%,8.81%,-,-,-,-
23,Total Shareholder Return,-15.86%,-11.77%,-17.12%,-17.38%,-17.38%,-5.34%,-24.80%,8.81%,8.81%,-,-,-,-
