,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,64.35,120.1,136.83,206.09,154.71,201.22,219.02,272.89,296.4,217.49,286.74,320.47,295.71,91.67,84.7,102.58,-,72.67,-
1,Trading Asset Securities,-,51.5,10,-,-,-,-,-,-,-,81.24,-,-,-,-,-,-,-,5.09,-
2,Cash & Short-Term Investments,115.85,115.85,130.1,136.83,206.09,154.71,201.22,219.02,272.89,296.4,298.74,286.74,320.47,295.71,91.67,84.7,102.58,-,77.76,89.64
3,Cash Growth,-43.79%,-25.12%,-35.35%,-37.53%,-24.48%,-47.80%,-32.64%,-23.62%,-14.85%,0.23%,225.87%,238.53%,212.41%,-,17.89%,-5.51%,-,-,-,-
4,Accounts Receivable,-,522.2,515.75,461.06,496.59,402.07,437.69,427.55,475.67,350.99,338.97,274.89,297.52,252.7,233.29,196.4,226.05,-,199.01,-
5,Other Receivables,-,15.21,10.77,9.25,11.61,10.47,7.86,7.63,7.52,7.16,7.33,6.21,5.57,7.13,6.4,6.63,6.26,-,3.84,-
6,Receivables,-,537.42,526.52,470.31,508.21,412.54,445.55,435.18,483.19,358.15,346.3,281.1,303.09,259.83,239.69,203.03,232.31,-,202.85,-
7,Inventory,-,116.98,114.7,126.08,113.55,129.8,114.64,103.04,76.15,62.58,64.34,71.7,53.75,70.2,63.25,76.14,65.68,-,46.51,-
8,Other Current Assets,-,3.24,3.52,6.52,6.14,10.86,8.92,7.82,4.1,6.66,5.21,15.04,2.22,2.55,3.07,2.47,2.18,-,2.6,-
9,Total Current Assets,-,773.49,774.84,739.75,833.99,707.91,770.33,765.06,836.34,723.78,714.58,654.57,679.52,628.29,397.68,366.35,402.76,-,329.72,-
10,"Property, Plant & Equipment",-,177.11,171.66,161.15,151.63,138.85,120.8,114.91,104,87.37,61.6,51.65,52.13,52.11,53.02,53.26,50.25,-,50.56,-
11,Other Intangible Assets,-,8.92,8.99,9.26,8.95,9.3,9.39,9.4,9.24,9.47,9.33,9.54,9.55,9.17,7.65,7.66,7.75,-,7.95,-
12,Long-Term Accounts Receivable,-,8.55,42.11,11.49,42.76,6.54,35.83,7.44,36.34,11.9,33.93,9.91,25.32,12.55,12.71,9.99,10.92,-,2.68,-
13,Long-Term Deferred Tax Assets,-,39.43,34.88,31.77,25.04,33.34,27.88,23.61,13.55,13.44,8.07,10.36,5.93,8.35,7.21,8.42,4.77,-,3.33,-
14,Other Long-Term Assets,-,31.32,0.6,31.16,2.87,30.08,0.39,28.07,0.31,25.88,2.61,16.66,0.41,0.08,0.13,0.08,0.36,-,0.14,-
15,Total Assets,-,1039,1033,984.58,1065,926.02,964.61,948.5,999.77,871.83,830.12,752.7,772.87,710.55,478.38,445.78,476.8,-,394.37,-
16,Accounts Payable,-,147.62,100.72,101.79,106.25,115.88,100.48,117.73,100.04,99.23,90.41,82.58,74.79,68.93,54.39,49.97,65.44,-,42.32,-
17,Accrued Expenses,-,23.91,42.01,15.91,43.8,40.43,54.78,55.48,85.83,34.28,40.86,23.14,44.5,25.04,28.13,24.11,37.61,-,21.2,-
18,Short-Term Debt,-,39.9,59.9,67,77.06,20,30,10.01,20.01,30.01,10.01,-,-,-,-,-,-,-,6.44,-
19,Current Portion of Leases,-,0.4,0.58,-,0.79,0.78,0.96,1.04,0.76,0.64,0.74,0.73,0.77,0.77,0.74,0.89,-,-,-,-
20,Current Income Taxes Payable,-,8.39,2.71,3.12,2.75,5.72,0.08,4.16,6.38,9.13,4,2.67,3.42,8.44,2.91,0.01,6.94,-,1.12,-
21,Current Unearned Revenue,-,10.03,11.82,6.89,6.75,4.65,4.89,5.68,5.6,10.73,12.27,15.94,8.71,13.05,11.35,22.38,3.07,-,13.22,-
22,Other Current Liabilities,-,5.35,18,4.3,24.95,4.62,25.97,5.04,18.78,4.86,5.65,2.67,3.64,7.29,3.12,2.54,5.42,-,9.54,-
23,Total Current Liabilities,-,235.6,235.74,199.02,262.35,192.1,217.17,199.15,237.41,188.88,163.94,127.72,135.83,123.51,100.65,99.9,118.48,-,93.84,-
24,Long-Term Leases,-,-,-,0.57,0.41,0.4,0.58,0.57,0.52,0.62,0.91,1,1.33,1.43,1.61,1.8,-,-,-,-
25,Long-Term Unearned Revenue,-,0.91,0.93,0.96,0.98,1,1.03,1.05,1.08,1.1,1.12,1.15,1.17,1.22,1.13,1.2,1.3,-,1.5,-
26,Total Liabilities,-,236.51,236.67,200.54,263.73,193.5,218.77,200.77,239.01,190.6,165.97,129.87,138.33,126.16,103.39,102.9,119.78,-,95.34,-
27,Common Stock,-,81.63,81.63,81.63,81.63,81.63,81.63,54.87,54.87,54.87,54.87,54.87,54.87,54.87,41.15,41.15,41.15,-,41.15,-
28,Additional Paid-In Capital,-,326.91,323.19,321.38,319.5,329.61,327.67,345.28,338.56,330.38,324.94,319.43,317.59,317.59,135,135,135,-,135,-
29,Retained Earnings,-,393.74,391.68,381.1,400.4,321.34,336.52,347.58,367.33,295.98,284.42,248.71,262.24,212.07,198.99,166.85,181.01,-,122.86,-
30,Comprehensive Income & Other,-,0.05,-0.08,-0.08,-0.03,-0.06,0.01,-0,-,-,-0.08,-0.18,-0.17,-0.14,-0.15,-0.11,-0.13,-,0.03,-
31,Shareholders' Equity,802.32,802.32,796.41,784.04,801.51,732.52,745.83,747.73,760.76,681.23,664.15,622.83,634.53,584.39,374.99,342.88,357.02,-,299.03,280.56
32,Total Liabilities & Equity,-,1039,1033,984.58,1065,926.02,964.61,948.5,999.77,871.83,830.12,752.7,772.87,710.55,478.38,445.78,476.8,-,394.37,-
33,Total Debt,40.3,40.3,60.48,67.57,78.26,21.18,31.53,11.62,21.29,31.27,11.65,1.74,2.1,2.2,2.36,2.68,-,-,6.44,14
34,Net Cash (Debt),75.55,75.55,69.62,69.26,127.84,133.53,169.69,207.4,251.6,265.13,287.08,285.01,318.37,293.51,89.32,82.02,102.58,-,71.32,75.65
35,Net Cash Growth,-40.90%,-43.42%,-58.97%,-66.60%,-49.19%,-49.64%,-40.89%,-27.23%,-20.97%,-9.67%,221.42%,247.50%,210.36%,-,25.24%,8.42%,-,-,-,-
36,Net Cash Per Share,1.34,0.54,1.36,0.86,1.51,15.56,1.10,2.52,3.07,3.18,3.35,3.56,3.93,3.86,1.50,1.33,1.68,-,1.23,1.21
37,Filing Date Shares Outstanding,56.36,81.63,81.63,81.63,81.63,81.63,81.63,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,60.9,60.95,62.04,57.92,62.48
38,Total Common Shares Outstanding,56.36,81.63,81.63,81.63,81.63,81.63,81.63,81.2,81.2,81.2,81.2,81.2,81.2,81.2,60.9,60.9,60.95,62.04,57.92,62.48
39,Working Capital,-,537.9,539.11,540.73,571.64,515.82,553.16,565.91,598.93,534.9,550.64,526.85,543.69,504.77,297.03,266.46,284.27,-,235.88,-
40,Book Value Per Share,9.83,9.83,9.76,9.61,9.82,8.97,9.14,9.21,9.37,8.39,8.18,7.67,7.81,7.20,6.16,5.63,5.87,-,4.97,4.71
41,Tangible Book Value,793.4,793.4,787.42,774.78,792.56,723.22,736.45,738.33,751.52,671.76,654.82,613.29,624.99,575.22,367.34,335.22,349.27,-,291.09,272.43
42,Tangible Book Value Per Share,9.72,9.72,9.65,9.49,9.71,8.86,9.02,9.09,9.26,8.27,8.06,7.55,7.70,7.08,6.03,5.50,5.74,-,4.84,4.57
43,Buildings,-,-,44.66,-,44.66,-,44.66,-,44.66,-,44.66,-,44.66,-,44.66,44.66,44.66,-,44.66,-
44,Machinery,-,-,46.98,-,39.44,-,36.34,-,33.32,-,29.99,-,27.57,-,25.72,23.88,21.74,-,18.6,-
45,Construction In Progress,-,-,126.6,-,108.62,-,75.39,-,57.64,-,13.76,-,2.07,-,0.24,-,-,-,-,-
