,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,532.5,460.12,436.29,368.49,369.92,325.21,274.19,282.95,194.57,235.77,185.58,275.81,233.43,251.63,230.77,220.56,275.1,147.95,161.23,128.66
1,Other Revenue,-,-11.18,11.18,-,5.9,-2.52,2.52,-,2.81,-0.63,0.63,-,6.72,-4.24,4.24,-,2.94,-1.36,1.36,-
2,Revenue,532.5,448.93,447.47,368.49,375.82,322.68,276.71,282.95,197.38,235.15,186.2,275.81,240.16,247.39,235,220.56,278.03,146.59,162.58,128.66
3,Revenue Growth (YoY),41.69%,39.13%,61.71%,30.23%,90.41%,37.22%,48.61%,2.59%,-17.81%,-4.95%,-20.77%,25.05%,-13.62%,68.76%,44.54%,71.42%,-,-,-,-
4,Cost of Revenue,-677.33,229.77,247.21,200.36,225.95,158.43,152.22,148.39,105.82,125.87,98.58,150.62,148.68,131.04,137.28,130.62,168.17,82.11,94.08,73.83
5,Gross Profit,1210,219.17,200.26,168.14,149.87,164.26,124.49,134.56,91.55,109.28,87.63,125.19,91.48,116.35,97.73,89.93,109.86,64.48,68.5,54.83
6,"Selling, General & Admin",-160.53,66.6,48.33,45.6,30.98,51.24,38.07,37,17.31,39.8,27.59,24.77,10.4,38.95,21.56,12.96,11.74,18.67,18.32,8.99
7,Research & Development,-74.25,24.85,25.65,23.75,31.51,19.88,17.42,21.28,18.59,14.53,13.3,13.05,20.53,14.25,13.23,7.62,21.19,7.75,10.15,7.44
8,Other Operating Expenses,1301,-1.99,-1.44,-4.63,9.16,-7,-1.55,2.86,8.52,-1.85,-5.47,-2.13,4.85,-1.93,-3.09,-0.38,4.86,-4.58,-0.87,-1.48
9,Operating Expenses,1052,92.53,78.02,70.57,74.29,63.3,56.22,63.47,41.72,55.57,36.76,39.98,39.91,53.29,32.06,22.31,40.46,20.96,30.81,16.61
10,Operating Income,158.31,126.64,122.24,97.57,75.58,100.95,68.27,71.09,49.83,53.71,50.86,85.21,51.57,63.06,65.66,67.62,69.4,43.52,37.69,38.22
