,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,9564,9027,8347,9102,9043,8910,8540,8143,7461,7297,9285,9337,12710,10011,10930,12768,12574,11501,10956,9654,8530,Upgrade
1,Market Cap Growth,1.31%,1.31%,-2.26%,11.78%,21.20%,22.10%,-8.02%,-12.79%,-41.30%,-27.10%,-15.05%,-26.87%,1.09%,-12.96%,-0.24%,32.26%,47.40%,36.73%,30.81%,4.04%,27.84%,Upgrade
2,Enterprise Value,10507,9573,9126,9259,9200,9038,8749,8305,7623,6792,8386,9460,12833,10146,10496,12616,12422,11211,10572,9643,8519,Upgrade
3,Last Close Price,5.63,5.31,4.91,5.12,5.09,5.01,4.80,4.36,3.99,3.90,4.97,4.68,6.38,5.01,5.48,6.12,6.03,5.51,5.25,4.31,3.80,Upgrade
4,PE Ratio,14.59,20.33,17.56,19.65,-,15.05,13.95,14.56,14.89,14.94,20.32,14.45,15.11,11.76,11.35,12.75,13.95,11.88,12.13,11.97,9.57,Upgrade
5,Forward PE,-,8.90,8.90,8.90,8.90,8.90,8.90,8.90,8.90,8.90,8.90,8.90,8.90,8.90,8.90,8.90,8.90,8.90,8.90,8.90,8.90,Upgrade
6,PS Ratio,0.59,0.78,0.69,0.76,-,0.62,0.63,0.64,0.59,0.57,0.79,0.75,0.99,0.81,0.87,1.05,1.13,1.02,1.02,0.98,0.85,Upgrade
7,PB Ratio,1.26,1.01,0.95,1.01,-,-,1.03,0.95,0.88,0.88,1.16,1.10,1.49,1.20,1.31,1.50,1.52,1.44,1.42,1.27,1.14,Upgrade
8,P/TBV Ratio,1.27,1.27,1.20,1.26,-,-,1.28,1.18,1.09,1.11,1.45,1.37,1.88,1.52,1.67,1.87,1.91,1.80,1.73,1.53,1.38,Upgrade
9,P/FCF Ratio,-,-,-17.13,-,-,-,-41.47,-,-25.75,-,-,-,10.79,1870.80,-,638.53,-383.35,-,49.27,90.66,-39.67,Upgrade
10,P/OCF Ratio,-,-,-72.37,-,-,22.43,28.84,-,26.47,-,6.13,-,7.03,13.74,-,18.98,21.06,-,13.65,14.43,23.30,Upgrade
