,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,1099,1150,1170,1162,1168,1277,1217,1293,1086,893.74,877.39,979.82,808.08,826.64,936.04,993.16,939.94,873.6,796.1,940.34,Upgrade
1,Trading Asset Securities,10.05,20.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,1109,1170,1170,1162,1168,1277,1217,1293,1086,893.74,877.39,979.82,808.08,826.64,936.04,993.16,939.94,873.6,796.1,940.34,Upgrade
3,Cash Growth,-5.05%,-8.35%,-3.88%,-10.10%,7.52%,42.87%,38.71%,31.95%,34.41%,8.12%,-6.27%,-1.34%,-14.03%,-5.38%,17.58%,5.62%,18.19%,14.54%,-1.47%,9.84%,Upgrade
4,Accounts Receivable,1295,1239,1149,1030,1197,1167,1036,940.55,1072,1030,1115,905.35,1134,1106,999.02,919.11,888.23,935.66,887.69,846.61,Upgrade
5,Other Receivables,21.32,70.69,31.43,69.92,39.95,66.92,38.67,57.85,65.23,88.68,60.09,87.56,74.97,86.56,78.84,72.71,122.47,30.27,18.41,23.41,Upgrade
6,Receivables,1316,1310,1181,1100,1237,1234,1075,998.4,1137,1118,1175,992.9,1209,1193,1078,991.82,1011,965.93,906.1,870.02,Upgrade
7,Inventory,1456,1210,1423,1434,1345,1323,1354,1439,1309,1289,1184,1239,1134,1050,962.22,956.88,982.71,918.68,908.5,908.31,Upgrade
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,0,Upgrade
9,Other Current Assets,332.04,359.21,410.37,330.49,627.93,653.77,647.62,453.46,590.98,466.74,499.73,379.42,448.62,381.07,427.48,338.57,308.55,252.75,277.48,229.39,Upgrade
10,Total Current Assets,4213,4049,4184,4027,4377,4488,4293,4184,4123,3768,3736,3591,3600,3450,3404,3280,3242,3011,2888,2948,Upgrade
11,"Property, Plant & Equipment",912.67,912.47,930.85,943.93,923,929.19,939.3,955.94,966.24,968.74,974.35,986.58,959.84,957.62,964.17,919.7,906.65,918.71,929.58,943.98,Upgrade
