,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,22728,17613,14840,17895,24138,25839,21314,25393,25254,26916,26045,26090,20171,13708,12640,8803,6350,5646,4246,5336,4602,Upgrade
1,Market Cap Growth,-31.84%,-31.84%,-30.38%,-29.53%,-4.42%,-4.00%,-18.16%,-2.67%,25.20%,96.36%,106.05%,196.39%,217.64%,142.76%,197.68%,64.96%,37.99%,0.81%,-24.29%,15.20%,41.07%,Upgrade
2,Enterprise Value,25503,20385,17528,19142,25384,26484,21150,25220,24900,25745,25394,25844,19925,13866,12704,8657,6204,5462,4057,5136,4402,Upgrade
3,Last Close Price,24.88,19.18,16.16,19.46,26.24,28.09,22.94,27.33,27.18,29.22,34.41,34.47,26.65,18.11,16.70,11.63,8.39,7.46,5.61,7.05,6.08,Upgrade
4,PE Ratio,30.09,23.21,18.82,18.25,19.54,17.18,12.93,12.18,12.45,15.82,17.49,22.45,22.43,17.77,22.74,120.55,106.52,-,120.34,121.02,111.06,Upgrade
5,Forward PE,19.62,19.01,19.01,19.01,19.01,19.01,19.01,19.01,19.01,19.01,19.01,19.01,19.01,19.01,19.01,19.01,19.01,19.01,19.01,19.01,19.01,Upgrade
6,PS Ratio,6.54,5.05,4.15,4.87,6.19,6.55,5.72,6.69,7.29,9.57,10.97,21.10,24.03,26.59,30.18,21.61,17.49,13.12,8.38,9.12,7.60,Upgrade
7,PB Ratio,1.96,1.35,1.15,1.41,1.91,2.08,1.76,2.13,2.17,2.43,4.39,5.03,4.11,2.90,2.80,2.19,1.59,1.43,1.08,1.36,1.17,Upgrade
8,P/TBV Ratio,3.50,3.50,3.07,3.86,5.29,5.84,5.22,6.49,7.10,8.88,8.09,12.08,10.77,8.13,8.59,8.98,6.62,6.18,4.71,5.97,5.18,Upgrade
9,P/FCF Ratio,-,-13.33,-,-,-,-,-,-26.70,-,-,66.42,1756.59,-89.41,-,-,-,-,-,118.58,187.45,-,Upgrade
10,P/OCF Ratio,16.85,16.85,12.78,-,12.98,12.21,10.71,12.55,13.95,17.83,21.91,40.37,41.64,48.30,-,52.18,60.69,-,40.11,40.52,57.20,Upgrade
11,EV/Sales Ratio,7.31,5.84,4.91,5.21,6.51,6.71,5.68,6.64,7.18,9.15,10.70,20.90,23.74,26.90,30.33,21.25,17.08,12.69,8.01,8.78,7.27,Upgrade
12,EV/EBITDA Ratio,16.39,14.74,13.08,12.29,13.91,13.66,10.28,10.49,10.92,13.19,15.52,34.32,44.15,62.95,94.65,72.79,63.11,50.66,35.78,42.96,35.28,Upgrade
13,EV/EBIT Ratio,27.50,21.98,18.66,16.40,17.03,15.95,11.63,11.31,11.60,13.85,16.43,37.26,50.68,84.85,163.72,117.84,116.91,86.96,58.99,68.98,54.98,Upgrade
14,EV/FCF Ratio,-19.30,-15.43,-,-,-,-,-,-26.52,-,-,64.76,1739.97,-88.32,-,-,-,-,-,113.30,180.42,-,Upgrade
15,Debt / Equity Ratio,0.16,0.16,0.15,0.15,0.08,0.04,0.01,0.00,0.00,0.00,0.02,0.02,0.01,0.01,0.01,0.01,-,-,0.00,-,0.00,Upgrade
16,Debt / EBITDA Ratio,1.34,1.43,1.36,2.33,0.54,0.42,0.07,0.01,0.01,0.01,0.04,0.06,0.04,0.07,0.25,0.13,-,-,0.12,-,0.08,Upgrade
17,Debt / FCF Ratio,-,-1.58,-,-,-,-,-,-0.02,-,-,0.34,5.62,-0.17,-,-,-,-,-,0.26,-,-,Upgrade
18,Asset Turnover,0.18,0.26,0.16,0.27,0.25,0.34,0.26,0.34,0.27,0.77,0.36,0.29,0.16,0.09,0.11,0.07,0.11,0.09,0.08,0.14,Upgrade,
19,Inventory Turnover,4.87,4.38,5.48,2.61,4.95,5.68,7.82,5.33,7.08,4.04,11.86,6.06,5.84,3.61,3.18,3.94,3.79,3.94,3.46,3.09,4.06,Upgrade
20,Quick Ratio,0.29,0.29,0.32,0.33,0.35,0.60,1.04,1.58,1.89,2.67,2.07,1.93,1.83,1.63,1.39,1.46,2.36,2.11,2.30,2.33,2.12,Upgrade
21,Current Ratio,0.56,0.56,0.60,0.68,0.64,1.09,1.42,2.03,2.27,3.15,2.33,2.26,2.13,1.87,1.58,2.07,2.97,2.74,2.86,2.87,2.61,Upgrade
22,Return on Equity (ROE),7.42%,5.69%,2.29%,7.16%,8.94%,12.52%,11.36%,17.95%,19.79%,58.59%,22.38%,15.56%,18.53%,46.17%,1.99%,5.57%,-0.47%,0.71%,0.40%,0.83%,Upgrade,
23,Return on Assets (ROA),3.68%,3.49%,1.36%,5.88%,4.67%,8.50%,7.85%,10.53%,11.13%,33.75%,14.17%,10.86%,5.18%,1.05%,1.50%,0.43%,1.41%,0.97%,0.34%,1.01%,Upgrade,
24,Return on Capital (ROIC),4.21%,3.96%,1.54%,6.66%,5.23%,9.50%,8.70%,11.53%,12.33%,38.44%,15.98%,12.21%,5.89%,1.19%,1.63%,0.46%,1.51%,1.03%,0.37%,1.08%,Upgrade,
25,Return on Capital Employed (ROCE),6.23%,6.23%,6.41%,8.14%,11.06%,12.59%,14.56%,18.33%,18.12%,16.51%,25.28%,12.97%,7.76%,3.36%,1.67%,1.77%,1.29%,1.57%,1.72%,1.87%,2.01%,Upgrade
26,Earnings Yield,3.34%,4.31%,5.31%,5.48%,5.12%,5.82%,7.74%,8.21%,8.03%,6.32%,5.72%,4.45%,4.46%,5.63%,4.40%,0.83%,0.94%,0.21%,0.83%,0.83%,0.90%,Upgrade
