,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,404.24,298.36,279.81,328.89,344.77,294.55,259.21,282.06,370.24,393.69,327.47,324.22,259.08,218.33
1,Other Revenue,-2.49,2.49,-,4.12,-2.79,2.79,-,6.44,-4.57,4.57,-,-2.89,2.89,-
2,Revenue,401.75,300.85,279.81,333.01,341.98,297.34,259.21,288.5,365.67,398.26,327.47,321.33,261.98,218.33
3,Revenue Growth (YoY),17.48%,1.18%,7.95%,15.43%,-6.48%,-25.34%,-20.84%,-10.22%,39.58%,82.42%,-,-,-,-
4,Cost of Revenue,268.63,191.97,188.4,248.65,220.53,202.81,173.8,233.5,215.57,272.79,224.45,219.72,194.2,151.79
5,Gross Profit,133.12,108.88,91.42,84.36,121.45,94.52,85.42,55,150.1,125.47,103.02,101.61,67.77,66.54
6,"Selling, General & Admin",40.18,34.52,35.48,41.91,35.26,33.15,36.76,35.47,41.56,50.71,44.07,33.89,22.26,31.03
7,Research & Development,17.74,16.14,14.32,15.91,16.19,21.4,15.87,17.7,16.49,21.87,21.33,15.39,13.63,9.74
8,Other Operating Expenses,-9.28,11.63,-6.62,-13.46,1.03,1.56,-1.5,13.23,-6.94,4.41,1.12,1.21,1.58,-2.36
9,Operating Expenses,49.98,62.23,44.21,41.56,54.76,56.33,50.11,67.3,50.58,77.77,66.12,51.7,36.64,38.61
10,Operating Income,83.14,46.64,47.21,42.8,66.69,38.2,35.31,-12.31,99.53,47.7,36.91,49.91,31.13,27.93
11,Interest Expense,-0.12,-0.12,-0.14,-0.26,-0.09,-0.19,-0.21,-0.29,-0.18,-1.16,-0.16,-0.16,-0.26,-0.25
12,Interest & Investment Income,1.95,8.81,1.81,9.68,4.25,7.44,1.43,4.17,10.81,-,3.49,5.06,0.06,0.69
13,Earnings From Equity Investments,-,-0.55,0.55,-,-,0,-0,-,-4.93,4.93,-,-1.92,1.92,-
14,Currency Exchange Gain (Loss),-2.85,2.85,-,2.1,-1.79,1.79,-,5.27,-3.37,3.37,-,1.53,-1.53,-
15,Other Non Operating Income (Expenses),1.81,-2.21,1.16,-3.02,0.45,0.58,11.42,-4.24,4.12,-0.02,-0.38,-3.12,0.32,-0.52
16,EBT Excluding Unusual Items,83.93,55.42,50.6,51.31,69.51,47.83,47.94,-7.39,105.98,54.82,39.85,51.31,31.64,27.85
17,Gain (Loss) on Sale of Investments,1.19,-0.14,0.49,-1.19,0.67,-0.63,0.81,0.14,-0.07,0.46,0.6,1.69,-,-
18,Gain (Loss) on Sale of Assets,-0.1,0.17,-0.08,1.62,-,0.02,-,-0.04,0,0.05,0.26,0.36,0,-
19,Asset Writedown,3.46,-3.9,3.49,-4.96,1.44,0.22,-1.51,8.73,-14.37,1.29,-2.25,-5.52,1.33,-1.39
20,Other Unusual Items,-10.01,9.84,-0.15,-15.5,-,-,-,6.16,-8.11,5.89,-,-0.01,0.01,-
21,Pretax Income,78.47,61.38,54.34,31.27,71.62,47.43,47.24,7.61,83.43,62.5,38.46,47.82,32.98,26.46
22,Income Tax Expense,8.77,8.14,8.89,-0.07,7.79,4.77,5.76,-5.37,13.78,7.58,2.99,4.83,2.48,2.7
23,Earnings From Continuing Operations,69.7,53.24,45.45,31.33,63.83,42.66,41.48,12.98,69.65,54.92,35.47,42.99,30.5,23.76
24,Minority Interest in Earnings,0.28,-0.39,0.21,-0.35,0.67,-0.06,-0.06,0.46,-0.99,-1.01,-0.54,-0.78,-0.95,-0.51
25,Net Income,69.98,52.86,45.67,30.99,64.5,42.6,41.43,13.44,68.66,53.91,34.93,42.21,29.55,23.25
26,Net Income to Common,69.98,52.86,45.67,30.99,64.5,42.6,41.43,13.44,68.66,53.91,34.93,42.21,29.55,23.25
27,Net Income Growth,8.50%,24.07%,10.24%,130.59%,-6.07%,-20.98%,18.59%,-68.17%,132.38%,131.92%,-,-,-,-
28,Shares Outstanding (Basic),250,253,252,256,246,257,252,256,242,256,250,193,188,189
29,Shares Outstanding (Diluted),250,253,252,256,246,257,252,256,242,256,250,193,188,189
30,Shares Change (YoY),1.64%,-1.58%,0.02%,0.23%,1.64%,0.62%,0.93%,32.44%,28.73%,35.48%,-,-,-,-
31,EPS (Basic),0.28,0.21,0.18,0.12,0.26,0.17,0.16,0.05,0.28,0.21,0.14,0.22,0.16,0.12
32,EPS (Diluted),0.28,0.21,0.18,0.12,0.26,0.17,0.16,0.05,0.28,0.21,0.14,0.22,0.16,0.12
33,EPS Growth,6.75%,26.06%,10.21%,130.06%,-7.59%,-21.47%,17.50%,-75.96%,80.51%,71.19%,-,-,-,-
34,Free Cash Flow,57.22,-10.43,10.59,74.49,22.86,41.6,6.53,-15.63,93.8,93.12,-15.38,4.51,-31.03,-74.63
35,Free Cash Flow Per Share,0.23,-0.04,0.04,0.29,0.09,0.16,0.03,-0.06,0.39,0.36,-0.06,0.02,-0.16,-0.40
36,Dividend Per Share,-,-,-,0.260,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,33.13%,36.19%,32.67%,25.33%,35.51%,31.79%,32.95%,19.06%,41.05%,31.50%,31.46%,31.62%,25.87%,30.48%
38,Operating Margin,20.70%,15.50%,16.87%,12.85%,19.50%,12.85%,13.62%,-4.27%,27.22%,11.98%,11.27%,15.53%,11.88%,12.79%
39,Profit Margin,17.42%,17.57%,16.32%,9.30%,18.86%,14.33%,15.98%,4.66%,18.78%,13.54%,10.67%,13.14%,11.28%,10.65%
40,Free Cash Flow Margin,14.24%,-3.47%,3.79%,22.37%,6.68%,13.99%,2.52%,-5.42%,25.65%,23.38%,-4.70%,1.40%,-11.85%,-34.18%
41,EBITDA,95.84,58.3,59.91,55.5,77.29,50.91,45.91,-1.71,107.56,57.61,44.95,57.4,38.73,35.41
42,EBITDA Margin,23.86%,19.38%,21.41%,16.67%,22.60%,17.12%,17.71%,-0.59%,29.42%,14.46%,13.73%,17.86%,14.78%,16.22%
43,D&A For EBITDA,12.7,11.66,12.7,12.7,10.6,12.71,10.6,10.6,8.04,9.91,8.04,7.49,7.6,7.49
44,EBIT,83.14,46.64,47.21,42.8,66.69,38.2,35.31,-12.31,99.53,47.7,36.91,49.91,31.13,27.93
45,EBIT Margin,20.70%,15.50%,16.87%,12.85%,19.50%,12.85%,13.62%,-4.27%,27.22%,11.98%,11.27%,15.53%,11.88%,12.79%
46,Effective Tax Rate,11.18%,13.26%,16.35%,-,10.88%,10.06%,12.18%,-,16.52%,12.13%,7.77%,10.09%,7.52%,10.19%
47,Revenue as Reported,401.75,300.85,279.81,333.01,341.98,297.34,259.21,288.5,365.67,398.26,327.47,321.33,261.98,218.33
