,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3463,3413,3163,3838,3287,3219,3315,3244,3438,3219,3236,3443,-,-,-
1,Market Cap Growth,6.03%,6.03%,-4.56%,18.32%,-4.40%,0%,2.41%,-5.78%,-,-,-,-,-,-,-
2,Enterprise Value,2610,2637,2327,3002,2528,2463,2559,2524,2718,2600,2646,2823,-,-,-
3,Last Close Price,13.75,13.55,12.56,14.95,12.80,12.54,12.91,12.43,13.17,12.33,12.40,12.94,-,-,-
4,PE Ratio,17.43,17.11,16.31,20.89,18.31,19.87,19.95,18.28,20.11,16.12,20.15,26.50,-,-,-
5,PS Ratio,2.64,2.59,2.52,3.07,2.67,2.71,2.74,2.47,2.49,2.28,2.47,3.05,-,-,-
6,PB Ratio,2.05,2.01,1.94,2.34,2.06,2.06,-,2.14,2.34,2.21,2.33,2.49,-,-,-
7,P/TBV Ratio,2.16,2.16,2.09,2.52,2.22,2.23,-,2.33,2.55,2.42,2.56,2.73,-,-,-
8,P/FCF Ratio,26.26,25.88,-,25.67,22.59,58.15,26.24,18.24,-,18.28,63.19,-,-,-,-
9,P/OCF Ratio,16.10,16.10,16.10,16.45,14.06,22.83,15.90,11.12,-,9.54,13.84,34.39,-,-,-
10,EV/Sales Ratio,1.98,2.00,1.85,2.40,2.05,2.08,2.11,1.92,1.97,1.84,2.02,2.50,-,-,-
11,EV/EBITDA Ratio,10.04,9.78,9.27,12.32,11.01,14.29,12.63,12.05,-,9.72,13.32,16.00,-,-,-
12,EV/EBIT Ratio,13.29,12.00,11.45,15.40,13.81,19.26,15.92,14.82,-,11.11,15.97,19.35,-,-,-
13,EV/FCF Ratio,19.79,20.00,-,20.07,17.38,44.50,20.26,14.19,-,14.77,51.66,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,-,0.01,0.01,0.01,0.01,0.01,-,-,-
15,Debt / EBITDA Ratio,0.05,0.03,0.04,0.05,0.05,0.05,-,0.09,1.00,0.03,0.07,0.09,-,-,-
16,Debt / FCF Ratio,0.09,0.09,-,0.08,0.09,0.26,-,0.10,-,0.08,0.31,-,-,-,-
17,Asset Turnover,0.80,0.61,0.56,-,-,-,0.55,0.62,0.82,0.94,-,-,-,-,
18,Inventory Turnover,5.22,5.96,4.31,4.71,-,-,-,4.54,6.42,5.62,6.40,-,-,-,-
19,Quick Ratio,3.68,3.68,3.71,3.63,3.40,3.04,-,3.25,2.98,3.01,3.10,3.80,-,-,-
20,Current Ratio,4.49,4.49,4.56,4.36,3.95,3.69,-,3.92,3.51,3.63,3.85,4.93,-,-,-
21,Return on Equity (ROE),16.74%,13.01%,11.22%,-,-,-,11.12%,3.55%,19.58%,15.85%,-,-,-,-,
22,Return on Assets (ROA),10.31%,5.88%,5.94%,-,-,-,4.70%,-1.66%,14.02%,7.06%,-,-,-,-,
23,Return on Capital (ROIC),12.40%,7.08%,7.23%,-,-,-,5.84%,-2.08%,17.30%,8.51%,-,-,-,-,
24,Return on Capital Employed (ROCE),11.03%,12.34%,11.88%,11.30%,10.89%,7.73%,-,10.62%,-,15.22%,11.29%,9.96%,-,-,-
25,Earnings Yield,5.76%,5.85%,6.13%,4.79%,5.46%,5.03%,5.01%,5.47%,4.97%,6.20%,4.96%,3.77%,-,-,-
26,FCF Yield,3.81%,3.86%,3.08%,3.90%,4.43%,1.72%,3.81%,5.48%,4.53%,5.47%,1.58%,-3.38%,-,-,-
27,Dividend Yield,1.89%,-,-,-,2.03%,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,32.83%,-,123.89%,-,-,4.09%,117.95%,-,-,-,95.45%,4.21%,-,-,-
29,Buyback Yield / Dilution,-0.02%,-1.64%,1.58%,-0.02%,-0.23%,-1.64%,-0.62%,-0.93%,-32.44%,-28.73%,-35.48%,-,-,-,-
30,Total Shareholder Return,1.87%,-1.64%,1.58%,-0.02%,1.80%,-1.64%,-0.62%,-0.93%,-32.44%,-28.73%,-35.48%,-,-,-,-
