,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,227.25,223.44,424.16,583.77,-,45.22,-
1,Trading Asset Securities,186.49,221.75,271.63,190.05,-,-,-
2,Cash & Short-Term Investments,413.74,445.19,695.79,773.82,-,45.22,41.43
3,Cash Growth,-,884.50%,1579.63%,-,-,-,-
4,Accounts Receivable,345.66,323.34,241.07,292.08,-,287.03,-
5,Other Receivables,1.58,2.03,52.53,1.47,-,0.56,-
6,Receivables,347.24,325.36,293.6,293.55,-,287.59,-
7,Inventory,245.22,227.13,198.02,164.03,-,141.57,-
8,Other Current Assets,9.88,12.93,5.16,3.6,-,9.89,-
9,Total Current Assets,1016,1011,1193,1235,-,484.28,-
10,"Property, Plant & Equipment",715.55,677.26,581.06,557.28,-,499.18,-
11,Long-Term Investments,16.02,16.02,16,-,-,-,-
12,Other Intangible Assets,40.68,40.92,38.52,38.63,-,38.44,-
13,Long-Term Deferred Tax Assets,2.37,3.34,2.1,2.14,-,1.87,-
14,Long-Term Deferred Charges,9.3,7.47,6.95,6.46,-,5.01,-
15,Other Long-Term Assets,46.99,64.1,35.05,28.71,-,26.85,-
16,Total Assets,1847,1820,1872,1868,-,1056,-
17,Accounts Payable,231.52,243.19,195.02,186.36,-,146.75,-
18,Accrued Expenses,14.65,17.2,10.79,19.59,-,20.96,-
19,Short-Term Debt,28.5,28.52,14.01,11.01,-,36.24,-
20,Current Portion of Long-Term Debt,49.7,-,68.53,44.31,-,0.43,-
21,Current Portion of Leases,-,-,-,2.11,-,3.81,-
22,Current Income Taxes Payable,2.64,0.34,3.85,0.73,-,0.94,-
23,Current Unearned Revenue,1.29,2.45,2.04,0.37,-,0.43,-
24,Other Current Liabilities,12.02,11.77,7.83,8.29,-,11.33,-
25,Total Current Liabilities,340.32,303.47,302.06,272.78,-,220.89,-
26,Long-Term Debt,161.35,182.12,210.81,254.04,-,271.12,-
27,Long-Term Unearned Revenue,29.33,30.58,31.83,33.09,-,35.59,-
28,Long-Term Deferred Tax Liabilities,0.16,0.03,0.16,0.16,-,0.09,-
29,Total Liabilities,531.16,516.2,544.86,560.07,-,527.7,-
30,Common Stock,62,62,62,62,-,46.5,-
31,Additional Paid-In Capital,971.21,971.21,971.21,971.21,-,236.75,-
32,Retained Earnings,282.65,270.29,294.2,274.9,-,244.67,-
33,Comprehensive Income & Other,-0.01,0.02,-0.02,0.04,-,-0.02,-
34,Shareholders' Equity,1316,1304,1327,1308,-,527.91,486.4
35,Total Liabilities & Equity,1847,1820,1872,1868,-,1056,-
36,Total Debt,239.54,210.64,293.35,311.47,-,311.61,297.34
37,Net Cash (Debt),174.2,234.55,402.44,462.35,-,-266.39,-255.91
38,Net Cash Per Share,2.82,3.79,6.46,8.86,-,-5.75,-5.45
39,Filing Date Shares Outstanding,62,62,62,62,45.87,46.5,46.96
40,Total Common Shares Outstanding,62,62,62,62,45.87,46.5,46.96
41,Working Capital,675.76,707.14,890.52,962.22,-,263.38,-
42,Book Value Per Share,21.22,21.02,21.41,21.10,-,11.35,10.46
43,Tangible Book Value,1275,1263,1289,1270,-,489.47,447.37
44,Tangible Book Value Per Share,20.57,20.36,20.79,20.48,-,10.53,9.62
45,Buildings,-,144.55,-,144.55,-,143.47,-
46,Machinery,-,683.82,-,608.02,-,583.77,-
47,Construction In Progress,-,174.31,-,95.47,-,35.81,-
