,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,1790,1906,1784,2317,2646,2465,2478,2926,-,-,-,-
1,Market Cap Growth,-22.69%,-22.69%,-28.02%,-20.81%,-,-,-,-,-,-,-,-
2,Enterprise Value,1677,1757,1599,2052,2382,2165,2134,2883,-,-,-,-
3,Last Close Price,11.14,11.86,11.10,14.30,16.33,15.21,15.29,17.85,-,-,-,-
4,PE Ratio,50485.83,-,-,-,54.33,40.05,29.26,30.96,-,-,-,-
5,PS Ratio,1.66,1.81,1.56,1.80,1.84,1.52,1.40,1.63,-,-,-,-
6,PB Ratio,2.17,2.31,2.13,2.70,3.08,2.91,2.96,3.41,-,-,-,-
7,P/TBV Ratio,2.59,2.59,2.39,3.03,3.44,3.27,3.33,3.82,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-32.08,-,-57.74,-,-,-,-,-
9,P/OCF Ratio,-,-,1135.13,-,57.60,90.69,50.71,-,-,-,-,-
10,EV/Sales Ratio,1.59,1.67,1.40,1.60,1.66,1.33,1.21,1.60,-,-,-,-
11,EV/EBITDA Ratio,-,-,55.40,-,38.36,30.92,21.74,26.30,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,54.84,42.06,26.60,31.19,-,-,-,-
13,EV/FCF Ratio,-11.71,-,-,-,-28.87,-,-49.73,-,-,-,-,-
14,Debt / Equity Ratio,0.13,0.13,0.11,0.09,0.09,0.09,0.09,0.10,0.17,-,0.16,0.00
15,Debt / EBITDA Ratio,-,-,8.20,-,1.30,1.50,2.06,0.89,1.02,-,0.85,0.03
16,Debt / FCF Ratio,-,-,-,-,-0.91,-,-1.85,-,-1.29,-,-0.84,-
17,Asset Turnover,1.03,0.87,0.93,1.27,1.40,1.41,1.74,-,-,-,-,
18,Inventory Turnover,5.88,6.35,4.97,5.41,7.23,7.88,8.03,8.01,-,-,-,-
19,Quick Ratio,2.17,2.17,2.76,3.38,3.19,4.25,5.32,4.06,1.25,-,1.22,-
20,Current Ratio,3.46,3.46,4.30,5.33,4.70,6.34,7.45,5.63,2.67,-,2.38,-
21,Return on Equity (ROE),-5.05%,-0.17%,-1.72%,6.84%,4.37%,3.02%,10.73%,-,-,14.35%,-,
22,Return on Assets (ROA),-2.75%,-0.60%,-1.32%,2.25%,2.17%,1.06%,5.84%,-,-,-,-,
23,Return on Capital (ROIC),-3.03%,-0.65%,-1.46%,2.50%,2.38%,1.17%,6.72%,-,-,8.50%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,4.69%,5.57%,8.76%,9.85%,12.14%,-,3.47%,-
25,Earnings Yield,0.00%,0.00%,1.11%,1.14%,1.84%,2.50%,3.42%,3.23%,-,-,-,-
26,FCF Yield,-8.00%,-7.52%,-7.82%,-5.25%,-3.12%,-3.12%,-1.73%,-1.13%,-,-,-,-
27,Dividend Yield,1.07%,-,-,-,0.73%,-,-,-,-,-,-,-
28,Payout Ratio,64614.25%,-,-,-,6.15%,9.46%,465.05%,5.24%,3.60%,2.67%,4.28%,6.74%
29,Buyback Yield / Dilution,-7.67%,-25.20%,47.20%,-39.38%,-21.38%,-49.62%,-25.84%,-9.06%,-,-,-,-
30,Total Shareholder Return,-6.60%,-25.20%,47.20%,-39.38%,-20.64%,-49.62%,-25.84%,-9.06%,-,-,-,-
