,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023"
0,Cash & Equivalents,388.36,864.51,1118,1206,296.31,235.61,-,281.38
1,Trading Asset Securities,80,-,-,-,-,0.28,-,4.14
2,Cash & Short-Term Investments,468.36,864.51,1118,1206,296.31,235.89,285.52,285.52
3,Cash Growth,58.06%,266.49%,291.42%,322.47%,-,-,-,-
4,Accounts Receivable,218.69,204.1,168.43,146.79,124.75,97.89,-,93.3
5,Other Receivables,3.01,3.47,3.65,3.86,5.08,4.02,-,0.45
6,Receivables,221.7,207.57,172.08,150.65,129.84,101.92,-,93.74
7,Inventory,145.65,135.07,168.19,154.19,126.53,125.91,-,130.35
8,Other Current Assets,140.58,18.69,38.34,35.95,62.69,57.34,-,11.09
9,Total Current Assets,976.29,1226,1496,1547,615.36,521.06,-,520.7
10,"Property, Plant & Equipment",741.32,738.87,744.51,736.07,685.9,658.41,-,382.6
11,Long-Term Investments,19.94,19.94,19.94,19.94,20.15,19.66,-,20.15
12,Other Intangible Assets,218.46,219.81,221.19,127.62,124.6,125.34,-,126.95
13,Long-Term Deferred Tax Assets,3.32,3.33,3.38,3.38,3.38,2.68,-,3.4
14,Long-Term Deferred Charges,3.01,2.77,3.1,3.36,3.24,2.78,-,3.51
15,Other Long-Term Assets,315.53,29.59,29.81,31.8,9.66,2.03,-,5.7
16,Total Assets,2278,2240,2518,2469,1462,1332,-,1063
17,Accounts Payable,310.49,230.15,199.01,223.23,211.74,134.12,-,96.08
18,Accrued Expenses,20.74,19.01,10.55,19.81,8.85,8.06,-,29.5
19,Short-Term Debt,8.46,79.9,50,-,0.07,-,-,26.77
20,Current Portion of Long-Term Debt,-,-,9.8,10.31,2.78,2.67,-,0.94
21,Current Income Taxes Payable,5.54,0.05,2.61,-,5.23,2.42,-,2.14
22,Current Unearned Revenue,3.5,5.7,4.63,5.33,7.91,7.51,-,3.66
23,Other Current Liabilities,3.64,3.14,3.23,2.71,2.87,3.1,-,2.76
24,Total Current Liabilities,352.36,337.96,279.83,261.38,239.45,157.9,-,161.85
25,Long-Term Debt,18.43,15.14,316.03,311.39,300.55,286.54,-,75.1
26,Long-Term Unearned Revenue,4.1,4.36,4.63,4.9,5.17,5.44,-,5.98
27,Long-Term Deferred Tax Liabilities,7.03,7.03,7.69,7.69,5.18,4.77,-,5.18
28,Other Long-Term Liabilities,-,-,-,-,-,0.28,-,4.14
29,Total Liabilities,381.92,364.49,608.17,585.36,550.34,454.93,-,252.24
30,Common Stock,133.33,133.33,133.33,133.33,100,100,-,100
31,Additional Paid-In Capital,923.77,923.77,923.77,923.77,4.77,5.34,-,5.34
32,Retained Earnings,836.9,816.41,850.67,824.54,804.45,769.64,-,703.19
33,Comprehensive Income & Other,1.96,2.15,2.16,2.17,2.73,2.06,-,2.25
34,Shareholders' Equity,1896,1876,1910,1884,911.95,877.04,810.77,810.77
35,Total Liabilities & Equity,2278,2240,2518,2469,1462,1332,-,1063
36,Total Debt,26.89,95.04,375.83,321.7,303.39,289.21,102.82,102.82
37,Net Cash (Debt),441.47,769.46,741.74,884.51,-7.09,-53.33,182.7,182.7
38,Net Cash Growth,-,-,305.99%,384.14%,-,-,-,-
39,Net Cash Per Share,3.25,5.80,5.56,7.29,-0.07,-0.53,1.81,1.85
40,Filing Date Shares Outstanding,133.33,133.33,133.33,133.33,100,100,100,100
41,Total Common Shares Outstanding,133.33,133.33,133.33,133.33,100,100,100,100
42,Working Capital,623.92,887.88,1216,1286,375.92,363.16,-,358.86
43,Book Value Per Share,14.22,14.07,14.32,14.13,9.12,8.77,8.11,8.11
44,Tangible Book Value,1677,1656,1689,1756,787.35,751.7,683.82,683.82
45,Tangible Book Value Per Share,12.58,12.42,12.67,13.17,7.87,7.52,6.84,6.84
46,Buildings,-,274.89,-,274.89,-,124.32,-,124.32
47,Machinery,-,1026,-,858.35,-,676.48,-,671.61
48,Construction In Progress,-,46.73,-,189.92,-,428.41,-,142.76
