,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,422.51,380.81,430.47,381.24,314.59,399.57,344.39,348.33,299.73,350.53,368.58,293.18,410.33,324.14,255.97,250.52,247.93,109.98,157.86,134.74,Upgrade
1,Other Revenue,-2.98,2.98,-,6.01,-1.87,1.87,-,2.46,-1.14,1.14,-,2.69,-0.67,0.67,-,1.52,-0.46,0.46,-,1.39,Upgrade
2,Revenue,419.53,383.79,430.47,387.25,312.72,401.45,344.39,350.79,298.59,351.67,368.58,295.87,409.66,324.8,255.97,252.04,247.47,110.44,157.86,136.14,Upgrade
3,Revenue Growth (YoY),34.16%,-4.40%,24.99%,10.39%,4.73%,14.15%,-6.56%,18.56%,-27.11%,8.27%,43.99%,17.39%,65.54%,194.10%,62.15%,85.13%,128.62%,-11.23%,53.52%,69.02%,Upgrade
4,Cost of Revenue,361.76,372.63,376.53,424.42,268.7,329.14,278.81,315.7,243.66,250.53,253.67,209.03,294.66,252.83,217.9,290.92,206.74,94.87,144.11,144.8,Upgrade
5,Gross Profit,57.77,11.16,53.94,-37.17,44.02,72.3,65.58,35.09,54.93,101.15,114.91,86.84,115,71.97,38.08,-38.88,40.72,15.57,13.75,-8.66,Upgrade
6,"Selling, General & Admin",29.64,39.27,29.63,52.56,24.07,39.82,27.34,42.17,29.41,27.59,30.09,43.32,23.77,25.55,17.76,30.07,17.49,19.2,19.05,31.89,Upgrade
7,Research & Development,17.71,18.85,13.85,20.36,13.51,26.7,13.7,13.05,15.84,18.41,15.94,16.28,19.24,11.82,9.18,14.96,6.95,5.4,2.45,11.8,Upgrade
8,Other Operating Expenses,6.23,7.12,2.23,2.01,2.68,1.78,1.86,3.57,1.59,2.15,2.71,4.24,3.77,3.22,1.01,6.21,0.62,5.09,0.43,9.49,Upgrade
9,Operating Expenses,54.58,65.99,47.56,75.17,40.11,68.9,43.74,59.38,46.64,47.68,50.7,63.73,45.97,43.04,28.08,59.36,25.09,31.58,20.04,78.31,Upgrade
10,Operating Income,3.19,-54.82,6.38,-112.33,3.91,3.4,21.84,-24.28,8.29,53.47,64.21,23.12,69.03,28.93,10,-98.24,15.63,-16.01,-6.29,-86.97,Upgrade
11,Interest Expense,-5.91,-7.39,-7.23,-8.53,-8.62,-8.21,-6.26,-13.29,-4.52,-4.71,-3.37,-5.59,-4.09,-4.4,-9.32,-16.91,-13.87,-16.74,-25.64,-51.68,Upgrade
12,Interest & Investment Income,2.65,2.36,2.06,5.97,1.1,4.37,1.89,-,0.81,15.67,3.07,9.73,6.86,39.55,1.24,9.27,8.7,18.5,3.8,10.04,Upgrade
13,Currency Exchange Gain (Loss),11.96,-11.96,-,24.45,-10.67,10.67,-,9.92,-3.54,3.54,-,-3.06,1.38,-1.38,-,9.26,-2.59,2.59,-,2.65,Upgrade
14,Other Non Operating Income (Expenses),7.53,34.11,-35.57,18.07,-19.77,4.43,-7.13,-8.18,7.05,-1.96,1.7,3.54,-4.13,-0.68,-0.74,5.79,-2.3,16.39,-20.9,-5.67,Upgrade
15,EBT Excluding Unusual Items,19.42,-37.7,-34.37,-72.37,-34.05,14.67,10.33,-35.84,8.09,66.01,65.6,27.73,69.05,62.01,1.18,-90.83,5.58,4.73,-49.03,-131.64,Upgrade
16,Gain (Loss) on Sale of Investments,-0.8,-8.47,-2.18,-12.13,-,0.79,-0.79,0,0.01,0.02,1.53,-,-,-,-,-,-,-,-,-,Upgrade
17,Gain (Loss) on Sale of Assets,-0.11,-0.05,0,-0.11,-0.06,0.45,0.03,-0.01,-,-,-,0.07,0.23,-0,0.05,0.1,-0.01,-0.13,-,-2.82,Upgrade
18,Asset Writedown,0,3.22,-3.23,0.63,-0.69,-,-,-0.08,-0.06,0.06,-,-0.1,0.07,-0.07,-,-19.73,-0.31,-1.33,-,-102.67,Upgrade
19,Other Unusual Items,1.28,1.54,3.49,-0.3,-,-,-,1.77,-,-,-,-0.17,-,-,-,-1.99,-,-,-,5.64,Upgrade
20,Pretax Income,19.78,-41.46,-36.28,-84.28,-34.81,15.9,9.57,-34.15,8.04,66.09,67.13,27.54,69.35,61.94,1.23,-112.45,5.25,3.26,-49.03,-231.48,Upgrade
21,Income Tax Expense,4.57,1.71,1.54,1.02,1.36,2.13,1.86,-2.27,2.39,6.58,7.28,-0.82,5.69,4.61,0.16,0.93,1.16,-0.21,0.43,1.41,Upgrade
22,Earnings From Continuing Operations,15.22,-43.17,-37.82,-85.29,-36.17,13.77,7.71,-31.88,5.65,59.51,59.85,28.35,63.66,57.33,1.07,-113.39,4.09,3.46,-49.46,-232.89,Upgrade
23,Minority Interest in Earnings,3.34,16.9,4.23,15.21,2.03,2.98,2.12,2.7,2.68,0.33,0.22,-0.86,0.24,0.24,0.48,-1.84,-2.24,-5.91,4.45,19.18,Upgrade
24,Net Income,18.56,-26.26,-33.59,-70.08,-34.14,16.75,9.84,-29.18,8.33,59.84,60.07,27.49,63.9,57.57,1.55,-115.22,1.85,-2.45,-45.01,-213.71,Upgrade
25,Net Income to Common,18.56,-26.26,-33.59,-70.08,-34.14,16.75,9.84,-29.18,8.33,59.84,60.07,27.49,63.9,57.57,1.55,-115.22,1.85,-2.45,-45.01,-213.71,Upgrade
26,Net Income Growth,-,-,-,-,-,-72.01%,-83.62%,-,-86.96%,3.94%,3775.91%,-,3358.41%,-,-,-,240.93%,-,-,-,Upgrade
27,Shares Outstanding (Basic),774,765,746,885,756,741,723,673,726,726,706,749,705,708,704,520,768,543,643,688,Upgrade
28,Shares Outstanding (Diluted),774,765,746,885,756,741,723,673,726,726,706,749,705,708,704,520,768,543,643,688,Upgrade
29,Shares Change (YoY),2.44%,3.19%,3.18%,31.51%,4.13%,2.15%,2.49%,-10.26%,3.01%,2.49%,0.20%,44.23%,-8.27%,30.31%,9.56%,-24.46%,27.59%,-35.25%,1.03%,10.78%,Upgrade
30,EPS (Basic),0.02,-0.03,-0.04,-0.08,-0.05,0.02,0.01,-0.04,0.01,0.08,0.09,0.04,0.09,0.08,0.00,-0.22,0.00,-0.00,-0.07,-0.31,Upgrade
31,EPS (Diluted),0.02,-0.03,-0.04,-0.08,-0.05,0.02,0.01,-0.04,0.01,0.08,0.09,0.04,0.09,0.08,0.00,-0.22,0.00,-0.00,-0.07,-0.31,Upgrade
32,EPS Growth,-,-,-,-,-,-72.60%,-84.02%,-,-87.34%,1.41%,3768.18%,-,3671.71%,-,-,-,167.11%,-,-,-,Upgrade
33,Free Cash Flow,135.9,180.59,-5.52,203.31,-77.43,-231.79,-146.86,-174.98,-89.6,-66.24,42.69,-271.21,56.56,231.44,137.42,-85,98.79,34.97,-39.72,-63.89,Upgrade
34,Free Cash Flow Per Share,0.18,0.24,-0.01,0.23,-0.10,-0.31,-0.20,-0.26,-0.12,-0.09,0.06,-0.36,0.08,0.33,0.20,-0.16,0.13,0.06,-0.06,-0.09,Upgrade
35,Gross Margin,13.77%,2.91%,12.53%,-9.60%,14.08%,18.01%,19.04%,10.00%,18.40%,28.76%,31.18%,29.35%,28.07%,22.16%,14.87%,-15.43%,16.46%,14.10%,8.71%,-6.36%,Upgrade
36,Operating Margin,0.76%,-14.28%,1.48%,-29.01%,1.25%,0.85%,6.34%,-6.92%,2.78%,15.20%,17.42%,7.81%,16.85%,8.91%,3.90%,-38.98%,6.32%,-14.50%,-3.98%,-63.88%,Upgrade
37,Profit Margin,4.42%,-6.84%,-7.80%,-18.10%,-10.92%,4.17%,2.86%,-8.32%,2.79%,17.01%,16.30%,9.29%,15.60%,17.72%,0.61%,-45.72%,0.75%,-2.22%,-28.51%,-156.98%,Upgrade
38,Free Cash Flow Margin,32.39%,47.05%,-1.28%,52.50%,-24.76%,-57.74%,-42.64%,-49.88%,-30.01%,-18.83%,11.58%,-91.67%,13.81%,71.25%,53.69%,-33.73%,39.92%,31.67%,-25.16%,-46.93%,Upgrade
39,EBITDA,22.34,-35.08,25.53,-93.18,21.05,23.28,38.98,-7.14,25.97,70.78,81.89,40.79,87.36,46.01,28.33,-79.91,34.87,2.49,12.95,-67.73,Upgrade
40,EBITDA Margin,5.32%,-9.14%,5.93%,-24.06%,6.73%,5.80%,11.32%,-2.04%,8.70%,20.13%,22.22%,13.79%,21.33%,14.17%,11.07%,-31.71%,14.09%,2.25%,8.20%,-49.75%,Upgrade
41,D&A For EBITDA,19.15,19.75,19.15,19.15,17.14,19.88,17.14,17.14,17.68,17.31,17.68,17.68,18.33,17.08,18.33,18.33,19.24,18.5,19.24,19.24,Upgrade
42,EBIT,3.19,-54.82,6.38,-112.33,3.91,3.4,21.84,-24.28,8.29,53.47,64.21,23.12,69.03,28.93,10,-98.24,15.63,-16.01,-6.29,-86.97,Upgrade
43,EBIT Margin,0.76%,-14.28%,1.48%,-29.01%,1.25%,0.85%,6.34%,-6.92%,2.78%,15.20%,17.42%,7.81%,16.85%,8.91%,3.90%,-38.98%,6.32%,-14.50%,-3.98%,-63.88%,Upgrade
44,Effective Tax Rate,23.08%,-,-,-,-,13.40%,19.40%,-,29.72%,9.96%,10.84%,-,8.21%,7.44%,12.76%,-,22.11%,-,-,-,Upgrade
45,Revenue as Reported,419.53,383.79,430.47,397.25,312.72,401.45,344.39,350.79,298.59,351.67,368.58,295.87,409.66,324.8,255.97,252.04,247.47,110.44,157.86,136.14,Upgrade
